author,title,annotation,img_url,book_url,genre
Светлана Тимина,Я ставлю на Любовь. Книга 2,"Заключительная книга серии.
Она прошла семь кругов ада с целью отомстить тому, кто пустил ее жизнь под откос. 
Он выжил после предательства своих собратьев по оруж...",https://rust.litnet.com/uploads/covers/120/1615816454_25.jpg,https://litnet.com/ru/book/ya-stavlyu-na-lyubov-kniga-2-b324454,"Триллеры, Криминальный триллер "
Элли Лартер,Русская рулетка,"Она пять лет ждала его из тюрьмы, воспитывая их общего сына.
Он пять лет провел за решеткой, унижая свое достоинство и ломая собственный разум.
Но главные их испыта...",https://rust.litnet.com/uploads/covers/120/1603718317_36.png,https://litnet.com/ru/book/ya-stavlyu-na-lyubov-kniga-2-b324454,"Триллеры, Криминальный триллер "
Маргарита Ардо,"Его Снежинка, пятая справа","Сердце моё забилось учащённо: боже мой, вот он – мой шанс! Внутри всё загорелось, и я внезапно встретилась глазами с Дороховым. Я вытянула макушку к потолку и улыбну...",https://rust.litnet.com/uploads/covers/120/1578497192_43.jpg,https://litnet.com/ru/book/ya-stavlyu-na-lyubov-kniga-2-b324454,"Триллеры, Криминальный триллер "
Сергей Баунт,Нефрит,"Современная Россия на западе, за Уральским хребтом, почти забыла девяностые. А здесь, на севере Забайкалья, в глухой золотоносной тайге, основным методом решения пр...",https://rust.litnet.com/uploads/covers/120/1750128221_45.png,https://litnet.com/ru/book/ya-stavlyu-na-lyubov-kniga-2-b324454,"Триллеры, Криминальный триллер "
Ольга Лавин,Порок,"- У тебя свадьба, Аврора. Совсем скоро. Выбрось этот бред из головы.
- Это не бред, Габриэль. Мои чувства к тебе не бред. Это болезнь. Тяжелая и неизлечимая.
- Тогда ле...",https://rust.litnet.com/uploads/covers/120/1749666960_68.png,https://litnet.com/ru/book/ya-stavlyu-na-lyubov-kniga-2-b324454,"Триллеры, Криминальный триллер "
Исчадие Ада,Столкновение миров,"Каждый человек живёт в своем мире, с его правилами и законами. Мой был совершенным; любимая, заботливая бабушка, лучший друг, веселая учеба, огромное количество целе...",https://rust.litnet.com/uploads/covers/120/1737556412_7.png,https://litnet.com/ru/book/ya-stavlyu-na-lyubov-kniga-2-b324454,"Триллеры, Криминальный триллер "
Кара Райр,Под прицелом Диктатора,"— Не ожидала меня увидеть?— он скалился, сверля меня гневным взглядом.
— Вас точно нет, —  прошипела я в ответ, прижимаясь к стене,— не подходите.
&mda...",https://rust.litnet.com/uploads/covers/120/1729617095_68.jpeg,https://litnet.com/ru/book/ya-stavlyu-na-lyubov-kniga-2-b324454,"Триллеры, Криминальный триллер "
Светлана Тимина,Дьявол (не) носит маску,"Я хотела всего лишь любить его и быть любимой. Я носила розовые очки.
Глава мафии всегда живёт по своим законам, и в его мире моя роль - роль красивой игрушки, безмолв...",https://rust.litnet.com/uploads/covers/120/1724101275_44.jpg,https://litnet.com/ru/book/ya-stavlyu-na-lyubov-kniga-2-b324454,"Триллеры, Криминальный триллер "
Элли Лартер,Мальвина для Палача,"В первую же рабочую смену я случайно опрокинула поднос с напитками на какие-то важные документы, и этим перешла дорогу Палачу - главарю местной криминальной группи...",https://rust.litnet.com/uploads/covers/120/1716193381_58.png,https://litnet.com/ru/book/ya-stavlyu-na-lyubov-kniga-2-b324454,"Триллеры, Криминальный триллер "
Екатерина Ромеро ,Покровитель для Ангела. Невеста бандита,"Я стала невестой очень опасного мужчины вдвое старше себя и он покажет мне, что значит быть любимой бандита. Выберемся ли мы оттуда, где нет дверей? Когда нет шанса н...",https://rust.litnet.com/uploads/covers/120/1714755940_4.jpg,https://litnet.com/ru/book/ya-stavlyu-na-lyubov-kniga-2-b324454,"Триллеры, Криминальный триллер "
Виктория Богачева ,Громов: Бандитская любовь 2.,"Маша ввязалась в игру, правила которой не до конца понимает. Она солгала человеку, которого любит, чтобы его уберечь — так она думала. На самом же деле своим врань...",https://rust.litnet.com/uploads/covers/120/1727442749_6.png,https://litnet.com/ru/book/ya-stavlyu-na-lyubov-kniga-2-b324454,"Триллеры, Криминальный триллер "
Маша Ловыгина,"Прощай, Алиса!","Андрей Ольховский – профессиональный игрок и авантюрист, Робин Гуд, выстраивающий схемы по отъему денег у нечистоплотных бизнесменов и чиновников. В небольшой юж...",https://rust.litnet.com/uploads/covers/120/1697487779_26.jpg,https://litnet.com/ru/book/ya-stavlyu-na-lyubov-kniga-2-b324454,"Триллеры, Криминальный триллер "
