author,title,annotation,img_url,book_url,genre
Miroshnik Mariya ,Обещание Малфою,"Серый дым клубами поднимался все выше, постепенно растворяясь в воздухе. Резкий ожог на пальце напомнил девушке, сидящей на подоконнике, что сигарета уже давно дог...",https://rust.litnet.com/uploads/covers/120/1613016372_45.jpg,https://litnet.com/ru/book/obeshchanie-malfoyu-b314570,"Фанфик, Фанфики по фильмам"
Антонина Аркадьева,Любовь На Эгейском Море _aŞk Sana Benzer,"Лето, теплое море и любовь простых красивых душой и телом людей. Любовь во всех её проявлениях, но не сиропно-розовая, а сдобренная колоритным турецким перчиком!...",https://rust.litnet.com/uploads/covers/120/1597591314_85.jpg,https://litnet.com/ru/book/obeshchanie-malfoyu-b314570,"Фанфик, Фанфики по фильмам"
Этранжера,"Всё началось с поцелуя. (по сериалу ""Любовь напрокат"")","Омер и Дефне, знающий себе цену мужчина и неопытная девушка, представители разных социальных слоев... Их случайная встреча стала началом непреодолимого влечения, а ...",https://rust.litnet.com/uploads/covers/120/1588973263_79.jpg,https://litnet.com/ru/book/obeshchanie-malfoyu-b314570,"Фанфик, Фанфики по фильмам"
Люба ,Белла,Попаданка в тело Изабеллы Свон....,https://rust.litnet.com/uploads/covers/120/1587722704_97.png,https://litnet.com/ru/book/obeshchanie-malfoyu-b314570,"Фанфик, Фанфики по фильмам"
Cool blue lady,Мальчик голубых кровей. Испытание дружбой,"Драко Малфой опускает голову и руки его трясутся. Поднимает взгляд и в горле у него встает ком. Драко Малфой оказался распределён на Гриффиндор. На факультет, где да...",https://rust.litnet.com/uploads/covers/120/1546940248_23.jpg,https://litnet.com/ru/book/obeshchanie-malfoyu-b314570,"Фанфик, Фанфики по фильмам"
Леди_Х,Забыться в объятиях зельевара,Битва с Темным Лордом окончилась смертью Рональда Уизли. Гермиона очень горюет и находит специфичный способ утешения....,https://rust.litnet.com/uploads/covers/120/1527453472_46.png,https://litnet.com/ru/book/obeshchanie-malfoyu-b314570,"Фанфик, Фанфики по фильмам"
 Black Katy,Тайна злой королевы,"Она - зла, жестока, коварна и опасна. Её главная цель в жизни - быть самой прекрасной женщиной на свете. Но никто не знает почему и отчего она стала такой. Раскрыть её ...",https://rust.litnet.com/uploads/covers/120/1571566872_54.png,https://litnet.com/ru/book/obeshchanie-malfoyu-b314570,"Фанфик, Фанфики по фильмам"
Лили Раузе,Новолуние: обратная сторона.,"Как жил Эдвард Каллен, когда он решил, что должен оставить Форкс и свою любовь там. Да, мы знаем, что он был несчастлив, но как он провел эти месяцы одиночества? Перед ...",https://rust.litnet.com/uploads/covers/120/1521827710_12.png,https://litnet.com/ru/book/obeshchanie-malfoyu-b314570,"Фанфик, Фанфики по фильмам"
Анастасия Д-ва,Шериф Чарли Свон,"Небольшая зарисовка о не самом популярном персонаже сумеречной Саги. 
...",https://rust.litnet.com/uploads/covers/120/1491660602_79.jpg,https://litnet.com/ru/book/obeshchanie-malfoyu-b314570,"Фанфик, Фанфики по фильмам"
Лана Далтон,Бегущий в лабиринте. Другая история.,"Тот же лабиринт. Тот же Глэйд. Что если там будет девушка? Да к тому же, с самого начала? Как она повлияет на ребят? Как связана с Томасом и как изменит жизнь Ньюта? Чем ...",https://rust.litnet.com/uploads/covers/120/1604779308_83.jpg,https://litnet.com/ru/book/obeshchanie-malfoyu-b314570,"Фанфик, Фанфики по фильмам"
Рианн,Благие знамения: после Армагеддона. Книга 1,"Армагеддон отсрочен на неопределённый срок, но демону Кроули и ангелу Азирафаэль и без того хватает забот. Верхняя и Нижняя канцелярии не простили им выходки с пер...",https://rust.litnet.com/uploads/covers/120/1740336900_21.png,https://litnet.com/ru/book/obeshchanie-malfoyu-b314570,"Фанфик, Фанфики по фильмам"
Тоша Мур,Станешь моим братом?,"Тор давно просит братика. Его желание настолько велико, что он решает сам найти для себя брата, в тайне от родителей. Принц Асгарда отправляется в путешествие и нахо...",https://rust.litnet.com/uploads/covers/120/1588684849_2.jpg,https://litnet.com/ru/book/obeshchanie-malfoyu-b314570,"Фанфик, Фанфики по фильмам"
Ann Canta,Virgin mixture,"AU к первой серии второго сезона. У Ирен Адлер есть тайна, о которой она никому никогда не рассказывала и которую совершенно случайно узнал Шерлок Холмс.

Чистое PWP,...",https://rust.litnet.com/uploads/covers/120/1572709543_72.jpg,https://litnet.com/ru/book/obeshchanie-malfoyu-b314570,"Фанфик, Фанфики по фильмам"
Cool blue lady,Подари мне крылья,"Лорд больше не сомневался в том, что Дамблдор заслужил смерть. И не единожды. Это он виноват в том, что случилось. Это проделки чертового старика всё испортили. Именн...",https://rust.litnet.com/uploads/covers/120/1547397462_100.jpg,https://litnet.com/ru/book/obeshchanie-malfoyu-b314570,"Фанфик, Фанфики по фильмам"
Эльза Аренделл,От ненависти до любви,"Ганс вынимает из ножен меч и медленно подходит к Эльзе, чтобы она не слышала его приближения. Но лёд предательски скрипит под ногами, давая понять Снежной королеве, ...",https://rust.litnet.com/uploads/covers/120/1525632090_36.png,https://litnet.com/ru/book/obeshchanie-malfoyu-b314570,"Фанфик, Фанфики по фильмам"
Эльза Аренделл,Его больше нет...,Сваты. Смерть Юрия....,https://rust.litnet.com/uploads/covers/120/1523829715_31.png,https://litnet.com/ru/book/obeshchanie-malfoyu-b314570,"Фанфик, Фанфики по фильмам"
Мария Семенова,Мое Искушение,"Кхуши бедная девушка, которая попала 10 лет назад в дом Райзада и ее воспитали Нани и дедушка Арнава. Дедушка Арнава властный человек и считает, что все должно быть, т...",https://rust.litnet.com/uploads/covers/120/1488736715_34.jpg,https://litnet.com/ru/book/obeshchanie-malfoyu-b314570,"Фанфик, Фанфики по фильмам"
Aleksandra London,Любовь сильнее смерти,"История о новой ученице Александре, которая поступила на Слизерин на последнем курсе, и о сложных отношениях с Драко Малфоем, который скрывает свои чувства за насм...",https://rust.litnet.com/uploads/covers/120/1750163340_89.png,https://litnet.com/ru/book/obeshchanie-malfoyu-b314570,"Фанфик, Фанфики по фильмам"
Богдана Весна,Отражение. Сумерки,"Фанфик по Сумеркам.
В одно (из вполне обычных) утро я проснулась и поняла что оказалась не в своем теле.
Никогда не думала что смогу оказаться в подобной ситуаци...",https://rust.litnet.com/uploads/covers/120/1749412515_15.jpg,https://litnet.com/ru/book/obeshchanie-malfoyu-b314570,"Фанфик, Фанфики по фильмам"
Олеся Григр,Гарри Поттер и наследие предков,"В книге ""Гарри Поттер и наследие предков"" Гарри и его друзья сталкиваются с новыми загадками и тайнами, скрытыми в прошлом. После обнаружения древнего артефак...",https://rust.litnet.com/uploads/covers/120/1748925086_90.png,https://litnet.com/ru/book/obeshchanie-malfoyu-b314570,"Фанфик, Фанфики по фильмам"
