author,title,annotation,img_url,book_url,genre
Марина Хрусталь,Чужая душа,"Элизабет - абсорбер. Это особые маги, которые не имеют собственных способностей. А ещё она - заноза в заднице своему руководителю, Кристоферу Баррету, в которого та...",https://rust.litnet.com/uploads/covers/120/1598484954_7.jpg,https://litnet.com/ru/book/chuzhaya-dusha-b264842,"Детективы, Фантастический детектив"
Нат Жарова,Гипнотизер. Реальность невозможного. Книга 1,"Здесь 1-3 часть романа
Московский психотерапевт Евгений Ромашов считает себя успешным человеком, но его жизнь в одночасье рушится: из родных остается одна племянни...",https://rust.litnet.com/uploads/covers/120/1568636643_71.jpg,https://litnet.com/ru/book/chuzhaya-dusha-b264842,"Детективы, Фантастический детектив"
Алёна Никитина,Хозяйка жизни,"Я - сирота.
       Без дома, без роду, без племени. Я - свободная птица...
       Так хотелось думать мне, когда за мной закрылись двери приюта, но жизнь штука сложная. И когда ...",https://rust.litnet.com/uploads/covers/120/1608651513_31.jpg,https://litnet.com/ru/book/chuzhaya-dusha-b264842,"Детективы, Фантастический детектив"
Нат Жарова,Долго будет Карелия сниться. Книга 2,"Егерь Андрей Никольский помог журналистке Валерии Гусевой  сбежать от черных колдунов, однако выбраться из затерянного в карельской глуши городка девушке пока не ...",https://rust.litnet.com/uploads/covers/120/1619444787_73.jpg,https://litnet.com/ru/book/chuzhaya-dusha-b264842,"Детективы, Фантастический детектив"
"Dmitry  Tsybin, Лика Ясинская",Actum ne agas. Забыть прошлое,"Когда-то у них была одна ночь на двоих. Для неё - первая, для него - одна из многих. А утром судьба их развела в разные стороны. Чтобы свести снова через десять лет. Но о...",https://rust.litnet.com/uploads/covers/120/1595782087_37.jpg,https://litnet.com/ru/book/chuzhaya-dusha-b264842,"Детективы, Фантастический детектив"
Эшли,Отдел тайн,"Я была ловцом душ, пока не совершила фатальную ошибку. Теперь мне жить с чувством вины и расплачиваться за халатность. Но в моей жизни появился он, Лиар Блэквуд, мрач...",https://rust.litnet.com/uploads/covers/120/1576861990_44.jpg,https://litnet.com/ru/book/chuzhaya-dusha-b264842,"Детективы, Фантастический детектив"
Ivanna M,Мечта,"Вы когда-нибудь ошибались? Я – да. Переоценивали себя? Я – да. Не были прощены за это? Тоже да. Отмотай все назад, поступила бы так же. Я сделала свой выбор, теперь нужн...",https://rust.litnet.com/uploads/covers/120/1576593962_27.jpeg,https://litnet.com/ru/book/chuzhaya-dusha-b264842,"Детективы, Фантастический детектив"
Татьяна Губоний,Именем Анны,"Октябрь 2018 г. 

В Париже творится неладное – город светлых в эпицентре прорыва из-за Черты. На защиту парижан выезжает охотник за незваными гостями, столетний ведь...",https://rust.litnet.com/uploads/covers/120/1591546138_58.jpg,https://litnet.com/ru/book/chuzhaya-dusha-b264842,"Детективы, Фантастический детектив"
Горан,Книга вторая. Тоннель в один конец - 2. Дачники.,"Деньги есть, документы есть. А дальше что? Нужно жильё, нужна работа и нужно, наконец, определиться - что им, попавшим в 1936 год, делать: плыть по воле исторического теч...",https://rust.litnet.com/common/img/empty_cover_litnet.png,https://litnet.com/ru/book/chuzhaya-dusha-b264842,"Детективы, Фантастический детектив"
Лямина Софья,Заговор в империи,"В отдел «Реального волшебства» пришло новое письмо! И только посмотрите, отправитель – родной брат императора другого мира, который заявляет, что в их государстве ...",https://rust.litnet.com/uploads/covers/120/1680962971_80.png,https://litnet.com/ru/book/chuzhaya-dusha-b264842,"Детективы, Фантастический детектив"
Ольга Капралова,Феномено. Черный цвет,"Потерять зрение, наверное, самое страшное для человека, особенно для журналиста. Поэтому Савин легко соглашается на эксперимент с установкой зрительного импланта...",https://rust.litnet.com/uploads/covers/120/1699038850_34.jpg,https://litnet.com/ru/book/chuzhaya-dusha-b264842,"Детективы, Фантастический детектив"
