author,title,annotation,img_url,book_url,genre
Ирэн Санлайт,Шерлок Холмс. По следам смерти,В современном мире для Шерлока тоже найдётся дело. ...,https://rust.litnet.com/uploads/covers/120/1547687258_51.jpg,https://litnet.com/ru/book/sherlok-xolms-po-sledam-smerti-b115459,"Детективы, Классический детектив"
Владимир Ключников,Преступление с того света,"БЕСПЛАТНО!!!! Эксклюзивно на Литнет до издания в бумаге! Русскому детективу давно не хватало таких книг! Окутанная тайной загадка, где кроется ответ на извечный вопр...",https://rust.litnet.com/uploads/covers/120/1598091472_32.jpg,https://litnet.com/ru/book/sherlok-xolms-po-sledam-smerti-b115459,"Детективы, Классический детектив"
AnniLora,Малый народец в Лондоне,"В 1882 году Лондон всколыхнули новости о загадочных убийствах крупных землевладельцев, знатных и влиятельных подданных короны. Преступники появлялись из ниоткуда и...",https://rust.litnet.com/uploads/covers/120/1543858701_68.jpg,https://litnet.com/ru/book/sherlok-xolms-po-sledam-smerti-b115459,"Детективы, Классический детектив"
Ани Смок,Старая история,"Они встретились случайно еще несколько лет назад, и уже тогда меньше чем за минуту он сумел вывести ее из себя. Теперь им пришлось работать над общим делом. Уйти у Се...",https://rust.litnet.com/uploads/covers/120/1534931106_87.jpg,https://litnet.com/ru/book/sherlok-xolms-po-sledam-smerti-b115459,"Детективы, Классический детектив"
Эмиль Коста,Свинья или Гусь,"Франция, XVI век. В захолустной гостинице собирается весьма пестрое общество. Волей случая купец, дворянин, семья состоятельных горожан и бродячий авантюрист вынужд...",https://rust.litnet.com/uploads/covers/120/1494048377_36.jpg,https://litnet.com/ru/book/sherlok-xolms-po-sledam-smerti-b115459,"Детективы, Классический детектив"
Елена Франс,"Та самая виолончель, или одно дело Шерлока Холмса",Одно дело великого Шерлока Холмса глазами его любимой скрипки...,https://rust.litnet.com/uploads/covers/120/1639124271_22.jpg,https://litnet.com/ru/book/sherlok-xolms-po-sledam-smerti-b115459,"Детективы, Классический детектив"
Капустин Е А,Личное Дело,"Однажды полковник, поручил подполковнику и майору, выполнить его личную просьбу.
Которую поведала, сотрудница налоговой. Переговорив лично, с полковником, намекну...",https://rust.litnet.com/uploads/covers/120/1635830080_1.jpg,https://litnet.com/ru/book/sherlok-xolms-po-sledam-smerti-b115459,"Детективы, Классический детектив"
Квочка,Жизнь за жизнь,"""В чем смысл жизни"" - этот вопрос гложет каждого. А смысл простой - живешь сам, и не мешаешь жить другим. Иначе последствия не замедлят прийти....",https://rust.litnet.com/uploads/covers/120/1630184559_35.jpg,https://litnet.com/ru/book/sherlok-xolms-po-sledam-smerti-b115459,"Детективы, Классический детектив"
MeloMara,Интуиция или чистое везение,Тихий город. Красивый парк. Что ещё нужно для спокойной жизни? Но однажды кто-то прервал это спокойствие. В парке начали появляться трупы. Инна решает вычислить убий...,https://rust.litnet.com/uploads/covers/120/1629980969_95.png,https://litnet.com/ru/book/sherlok-xolms-po-sledam-smerti-b115459,"Детективы, Классический детектив"
Weird girl ,Вопреки воле,"Вздыхаю, возможно последний раз в своей жизни. Но в этот момент кто-то хватает меня в объятия и срывает от перил.
- Тебе не нужно этого делать. 
Отпускает на землю. И я...",https://rust.litnet.com/uploads/covers/120/1628973729_18.jpg,https://litnet.com/ru/book/sherlok-xolms-po-sledam-smerti-b115459,"Детективы, Классический детектив"
Эльза Манн,Я тебя найду!,"Жена чикагского сыщика Декстера Мэллори ушла от него к гангстеру-миллионеру, за которым тщетно охотился ее муж. А спустя восемь лет ее труп находят в одном из крупн...",https://rust.litnet.com/uploads/covers/120/1621711496_91.jpg,https://litnet.com/ru/book/sherlok-xolms-po-sledam-smerti-b115459,"Детективы, Классический детектив"
Андрей Лоскутов,Мерлон и Мерлон. Черный алмаз.,"Лоуренс Мерлон  и его брат Ральф бывшие полицейские они основали детективное агентство, и расследуют различного рода мелкие преступления, начиная от похищени...",https://rust.litnet.com/uploads/covers/120/1598629804_80.jpg,https://litnet.com/ru/book/sherlok-xolms-po-sledam-smerti-b115459,"Детективы, Классический детектив"
Виктор Мардони,Чужая эпоха.,"Вторая книга о приключениях и жизни Ивана Ангелова, предпринимателя и бывшего бойца специального подразделения, продолжение книги ""Обратный билет"" ...",https://rust.litnet.com/uploads/covers/120/1598438739_9.png,https://litnet.com/ru/book/sherlok-xolms-po-sledam-smerti-b115459,"Детективы, Классический детектив"
Анна Колесова,Лилино хобби,"Дана, исследователь и преподаватель, приезжает в маленький городок к друзьям отдохнуть. Но в день ее приезда оказывается, что пропали четверо друзей, одного из кото...",https://rust.litnet.com/uploads/covers/120/1597489540_86.jpg,https://litnet.com/ru/book/sherlok-xolms-po-sledam-smerti-b115459,"Детективы, Классический детектив"
Вадим Володарський,Клыки,"Любовь к собакам - это хорошо. Но, как говорится, то, что  слишком - то не здраво (по-украински с польским акцентом звучит: ""Що занадто - то не здраво""). И может закончитьс...",https://rust.litnet.com/uploads/covers/120/1595098217_28.jpg,https://litnet.com/ru/book/sherlok-xolms-po-sledam-smerti-b115459,"Детективы, Классический детектив"
Anastasia Amber,"Командировка, или Смертельная Игра","Безлюдный отель, четыре случайных постояльца и одна невинная жертва. Детективный триллер, в котором банальная командировка четырех менеджеров превратилась в азар...",https://rust.litnet.com/uploads/covers/120/1594744048_2.jpg,https://litnet.com/ru/book/sherlok-xolms-po-sledam-smerti-b115459,"Детективы, Классический детектив"
Андрей Рогачёв,Пиб или Бип и загадка шапито,"В город приехал цирк, но всё веселье омрачается таинственной пропажей клоуна. За расследование принимаются отважные юные сыщики - Всеволод Пупыркин и Алевтина Бру...",https://rust.litnet.com/uploads/covers/120/1590948339_59.jpg,https://litnet.com/ru/book/sherlok-xolms-po-sledam-smerti-b115459,"Детективы, Классический детектив"
Вадим Володарський,Без тормозов,"Продолжение цикла, начинается рассказом ""Черное дело"".
Не успели Эдуард с Линой оправиться от истории, когда девушка едва не погибла, - а уже попадают в новую. Возвра...",https://rust.litnet.com/uploads/covers/120/1587892247_22.jpg,https://litnet.com/ru/book/sherlok-xolms-po-sledam-smerti-b115459,"Детективы, Классический детектив"
золотина,Квартирант,"Не всегда и не у всех жизнь меняется так быстро. Маша – управдом  обычной девятиэтажки буквально за считанные дни получает от судьбы: убийства и их расследования, л...",https://rust.litnet.com/uploads/covers/120/1579194726_89.jpg,https://litnet.com/ru/book/sherlok-xolms-po-sledam-smerti-b115459,"Детективы, Классический детектив"
Юрий Пересичанский,Анатомия лабиринта,"В городе Южноморске убит местный бизнесмен и авторитет Леонид Басов, расследование ведут знаменитый майор Полозов и лейтенант Савчук... 
        И с первых страниц чит...",https://rust.litnet.com/uploads/covers/120/1573290138_47.jpg,https://litnet.com/ru/book/sherlok-xolms-po-sledam-smerti-b115459,"Детективы, Классический детектив"
Дарья Булатникова,Французское наследство,"«Французское наследство» возникло из ничего, нахально втерлось в параллель к совсем другой, куда более серьезной книге. И зажило своей жизнью, обрастая событиями и...",https://rust.litnet.com/uploads/covers/120/1533401247_99.jpg,https://litnet.com/ru/book/francuzskoe-nasledstvo-b86800,"Детективы, Классический детектив"
Арина Алинская,Отчет по практике,"– А если сам и звонил? – предположил Паша. – Но сначала умер. Знаешь, Нинок, до тебя у нас такой неразберихи не было. Все жмурики были дисциплинированными. Если звони...",https://rust.litnet.com/uploads/covers/120/1749059850_60.jpg,https://litnet.com/ru/book/francuzskoe-nasledstvo-b86800,"Детективы, Классический детектив"
Жанна  Даниленко,Там где цветут эдельвейсы,"Возвращаются все — кроме лучших друзей, 
Кроме самых любимых и преданных женщин.
 Возвращаются все — кроме тех, кто нужней, 
— Я не верю судьбе, а себе — еще меньше.


...",https://rust.litnet.com/uploads/covers/120/1629441618_29.png,https://litnet.com/ru/book/francuzskoe-nasledstvo-b86800,"Детективы, Классический детектив"
Вадим Володарський,Изоляция,"В наше время можно знакомиться и назначать свидания в интернете. Можно переждать эпидемию там, куда вирус не доберется. Можно создать удаленный рай с системой ""все ...",https://rust.litnet.com/uploads/covers/120/1616914780_97.jpg,https://litnet.com/ru/book/francuzskoe-nasledstvo-b86800,"Детективы, Классический детектив"
Ясмина Сапфир,Поиграй со мной,"Я – неправильная химера. Такие, как я, должны видеть заклятья, различать их рисунок, вид. Я не вижу. С открытыми глазами. Но с закрытыми могу разговаривать с магией, и ...",https://rust.litnet.com/uploads/covers/120/1710482884_19.jpg,https://litnet.com/ru/book/francuzskoe-nasledstvo-b86800,"Детективы, Классический детектив"
Игорь Ривер,Последний из Баскервилей,"Представьте, что доктор Джеймс Мортимер не пришел к Шерлоку Холмсу перед тем, как встретить приехавшего из Америки наследника. Понадеялся на себя и не обратил вним...",https://rust.litnet.com/uploads/covers/120/1641726487_45.jpg,https://litnet.com/ru/book/francuzskoe-nasledstvo-b86800,"Детективы, Классический детектив"
Екатерина Гитман,Тайна Багрового пика,"Шерлок Холмс не верит в призраков и магические проклятия — это противно его трезвому уму и холодной логике. Однако молодой человек по имени Томас Шарп, который одн...",https://rust.litnet.com/uploads/covers/120/1635186579_56.png,https://litnet.com/ru/book/francuzskoe-nasledstvo-b86800,"Детективы, Классический детектив"
Маргарита Гришаева,Шорох,"1980 год. Известная писательница ужасов Кейси Хейден покупает особняк Блэквудов, расположенный на окраине Ротбери, маленького городка в английском графстве Нортумб...",https://rust.litnet.com/uploads/covers/120/1517686776_78.jpg,https://litnet.com/ru/book/francuzskoe-nasledstvo-b86800,"Детективы, Классический детектив"
Мари Анатоль,Палач или Жертва,"Полиция Сан-Франциско подозревает немолодого писателя детективов в убийстве, совершенном в точности по его книге. Единственная надежда автора — редактор Хэлен Хо...",https://rust.litnet.com/uploads/covers/120/1642232831_15.jpg,https://litnet.com/ru/book/francuzskoe-nasledstvo-b86800,"Детективы, Классический детектив"
Александр Булахов,Ритори,"Небольшая компания, состоящая из взрослых и детей, возвращается вечером с рыбалки к своей базе отдыха по лесу. И проходя мимо здания старой и заброшенной базы отдых...",https://rust.litnet.com/uploads/covers/120/1634056162_52.jpg,https://litnet.com/ru/book/francuzskoe-nasledstvo-b86800,"Детективы, Классический детектив"
Доми Тим (Domi Tim),Вне эфира,"24-летний оператор Энди Флинн старается удержаться на новой работе и найти общий язык со своим эксцентричным репортером Кимом Даймлером, в которого медленно влюбля...",https://rust.litnet.com/uploads/covers/120/1600703193_19.jpg,https://litnet.com/ru/book/francuzskoe-nasledstvo-b86800,"Детективы, Классический детектив"
Ирина Муравьева,Монстры,"Алиса становится жертвой похищения. Детектив Кельн расследует дело о серийном маньяке, выпивающем кровь своих жертв. Балерина Анна ""ссорится"" с лучшей подругой. А В...",https://rust.litnet.com/uploads/covers/120/1479241962_.jpg,https://litnet.com/ru/book/francuzskoe-nasledstvo-b86800,"Детективы, Классический детектив"
Юлия Михалева,Что скрывает снег,"1907 год. Восточная граница Российской империи. 
Нечто странное пришло в прежде тихий провинциальный город об руку с затяжной метелью. Внезапно стали исчезать люди. ...",https://rust.litnet.com/uploads/covers/120/1662175640_4.jpg,https://litnet.com/ru/book/francuzskoe-nasledstvo-b86800,"Детективы, Классический детектив"
Юлия Эйч,Яр,Книга придется по вкусу любителям классического английского детектива. Крупный нефтяной магнат убит в собственном доме. Неизвестный проткнул горло жертвы золоты...,https://rust.litnet.com/uploads/covers/120/1527071714_50.jpeg,https://litnet.com/ru/book/francuzskoe-nasledstvo-b86800,"Детективы, Классический детектив"
Артур Сунгуров,Тайна Дамы Дождя,"Модный художник приезжает в Англию по приглашению престарелого аристократа, поклонника живописи и роз. Всё складывается весьма удачно – в наличии уютная деревушк...",https://rust.litnet.com/uploads/covers/120/1467790448_.jpg,https://litnet.com/ru/book/francuzskoe-nasledstvo-b86800,"Детективы, Классический детектив"
Наталия Згама,Найти компромат,"Её зовут Джозефина Бутби, и она сделает всё, чтобы отобрать наследство у семейства Сеймур. Долго же ей приходилось терпеть глупого богатого старикашку и его сыночк...",https://rust.litnet.com/uploads/covers/120/1631249403_29.png,https://litnet.com/ru/book/francuzskoe-nasledstvo-b86800,"Детективы, Классический детектив"
Ника Самсонова,Добро пожаловать в Турцию или Смертельный способ выйти замуж,"Лена всегда мечтала о безумной любви и заморском принце. Но она совершает роковую ошибку, отправляясь на отдых в Турцию. Чем завершится для девушки страстный роман ...",https://rust.litnet.com/uploads/covers/120/1576231878_90.png,https://litnet.com/ru/book/francuzskoe-nasledstvo-b86800,"Детективы, Классический детектив"
Учайкин Ася,Внимание! Ведётся видеонаблюдение,"Намеки и все такое прочее, немного пошлости.
Повторяю, намеки имеются. Чур, не ругать меня потом за это. А основном все вполне прилично. 
Слово не воробей, вылетит - н...",https://rust.litnet.com/uploads/covers/120/1493622069_36.jpg,https://litnet.com/ru/book/francuzskoe-nasledstvo-b86800,"Детективы, Классический детектив"
Андрей Рогачёв,Пиб или Бип и секрет видеокассеты,Новые приключения юных детективов - Севы Пупыркина и Алевтины Брусничкиной. На этот раз им предстоит разгадать тайну исчезновения маленького мальчика из летнего л...,https://rust.litnet.com/uploads/covers/120/1637414441_97.png,https://litnet.com/ru/book/francuzskoe-nasledstvo-b86800,"Детективы, Классический детектив"
Александра Косарева,По следам черного кота,"Брат наконец нашел себе невесту. Гордая красивая женщина, живущая в старинном родовом поместье и её маленькая дочь. Какие тайны скрывает эта семья? 
Анна приехала п...",https://rust.litnet.com/uploads/covers/120/1633020353_40.png,https://litnet.com/ru/book/francuzskoe-nasledstvo-b86800,"Детективы, Классический детектив"
Елена Тюрина,Забытые временем,"Группа поисковиков, в числе которых студентка Женя, приезжает в отдалённый посёлок на раскопки захоронения девушки в подвенечном платье. В руках у покойницы зажат...",https://rust.litnet.com/uploads/covers/120/1746869798_10.jpg,https://litnet.com/ru/book/zabytye-vremenem-b439243,"Детективы, Классический детектив"
Светлана Нарватова,"Дело Чести, или Семь дней из жизни принца","– Я настаиваю, чтобы все обсуждения, которые имеют отношение к этому делу, велись только в моём присутствии, - потребовала принцесса.
Нет, такое откровенное внимани...",https://rust.litnet.com/uploads/covers/120/1680003514_83.jpg,https://litnet.com/ru/book/zabytye-vremenem-b439243,"Детективы, Классический детектив"
Ирина Пушкарёва,Проститурция или Восток - дело тёмное.,"Жила-была девочка.
Простая такая девочка - из обычной советской семьи, без запросов и претензий.
А потом - БАЦ!!! - и все стало сильно по-другому. Настолько сильно и нас...",https://rust.litnet.com/uploads/covers/120/1603483933_16.jpg,https://litnet.com/ru/book/zabytye-vremenem-b439243,"Детективы, Классический детектив"
Лана Марино,Чей мужчина?!,"Даже если вам немного за... А вес стремится или достиг трёхзначного числа, то это ещё не повод поставить на себе крест! Ведь впереди самый чудесный и романтичный праз...",https://rust.litnet.com/uploads/covers/120/1680946092_19.png,https://litnet.com/ru/book/zabytye-vremenem-b439243,"Детективы, Классический детектив"
Лана Марино,Письмо из Петрограда,"Случайно найденное в старом петербургском доме письмо,датированное 1923-м годом,которое содержало отрывок инструкции для поиска фамильных сокровищ,запускает махов...",https://rust.litnet.com/uploads/covers/120/1680437308_2.jpg,https://litnet.com/ru/book/zabytye-vremenem-b439243,"Детективы, Классический детектив"
Лана Марино,Дело о четырёх пальцах,"""Пойди туда, не скажу куда. Найди то, не скажу что"". Думаете,что такое только в русских сказках бывает? Вовсе нет! Теперь эту сказочную методику освоили контрабандист...",https://rust.litnet.com/uploads/covers/120/1680443054_6.jpg,https://litnet.com/ru/book/zabytye-vremenem-b439243,"Детективы, Классический детектив"
Карманный мудрец,Ключ от Зла,"… Итак, мы имеем застрелившегося студента в собственной квартире. Жил студент счастливой студенческой жизнью, проблем серьезных не имел и причин застрелиться, на ...",https://rust.litnet.com/uploads/covers/120/1625127870_48.png,https://litnet.com/ru/book/zabytye-vremenem-b439243,"Детективы, Классический детектив"
Ирина Судакова,Защита рода,"Детективная история о том, как тайны прошлого приводят к тому, что несчастная одинокая молодая женщина, сталкиваясь с предательством, изменой мужа, убийствами, пох...",https://rust.litnet.com/uploads/covers/120/1633779579_58.jpg,https://litnet.com/ru/book/zabytye-vremenem-b439243,"Детективы, Классический детектив"
Карманный мудрец,Вонючий случай,"Все не так, как кажется! Писатель детективов, Александра Получкина, в очередной раз становится несущей конструкцией провала криминальных затей.
Случайно, от сердеч...",https://rust.litnet.com/uploads/covers/120/1643016609_40.png,https://litnet.com/ru/book/zabytye-vremenem-b439243,"Детективы, Классический детектив"
Виктор Зорин   Дарья Семикопенко,Стилет с головой змеи,"Блистательный Санкт-Петербург, 1890 год. 
   Молодой повеса и будущий юрист Михаил Гальский отправляется в гости к своему дядюшке, чтобы ознакомиться с условиями за...",https://rust.litnet.com/uploads/covers/120/1461405703_.jpg,https://litnet.com/ru/book/zabytye-vremenem-b439243,"Детективы, Классический детектив"
Tatiana Larina,Лабиринт моей жизни,"Начать жить с чистого листа - как многие об этом мечтают? Но что делать, если вы в один момент  действительно лишитесь прошлой жизни? Стася проснулась утром, не помня ...",https://rust.litnet.com/uploads/covers/120/1630255403_9.jpg,https://litnet.com/ru/book/zabytye-vremenem-b439243,"Детективы, Классический детектив"
Валентина Ушакова,Дом с горгульями,"В дом внезапно скончавшегося олигарха прибывает гастарбайтерша с Украины. Новенькая, помощница кухарки Соня, сразу же подмечает взаимную неприязнь домочадцев, их ...",https://rust.litnet.com/uploads/covers/120/1517223606_59.jpg,https://litnet.com/ru/book/zabytye-vremenem-b439243,"Детективы, Классический детектив"
