author,title,annotation,img_url,book_url,genre
Тася Огонек,Измена. ( Не )нужная жена дракона,"Мужчина и женщина лежали на роскошной кровати. Их обнаженные тела переплелись в сладком экстазе. А я стояла и смотрела, не в силах пошевелиться, вдыхая мерзкий резк...",https://rust.litnet.com/uploads/covers/120/1686175303_38.jpg,https://litnet.com/ru/book/izmena-ne-nuzhnaya-zhena-drakona-b439849,"Детективы, Магический детектив"
Яна Мелевич,Принц и я,"Каждый житель королевства Данмар знал: младший сын короля Агора Трастамара — взбалмошный болван. Наша случайная встреча изменила мою жизнь навсегда.
Теперь я &mda...",https://rust.litnet.com/uploads/covers/120/1704737011_60.png,https://litnet.com/ru/book/izmena-ne-nuzhnaya-zhena-drakona-b439849,"Детективы, Магический детектив"
Лоя Дорских,Прятки с драконом. Профессия: беглянка,"С самого детства меня учили лишь одному — любить герцога Блэйка Элмерза и… любить то, что любит он.
Одеваться и выглядеть так, как предпочитает он. Говорить то,...",https://rust.litnet.com/uploads/covers/120/1699907874_98.jpg,https://litnet.com/ru/book/izmena-ne-nuzhnaya-zhena-drakona-b439849,"Детективы, Магический детектив"
Анна Ланц,Мой личный дракон. Наследие старого маяка,"Мачеха решила меня продать… точнее, выдать замуж за старика. А я мечтала учиться в Академии! Пришлось бежать, да еще и прихватить с собой дракона, который числилс...",https://rust.litnet.com/uploads/covers/120/1748282468_76.jpeg,https://litnet.com/ru/book/izmena-ne-nuzhnaya-zhena-drakona-b439849,"Детективы, Магический детектив"
Юлия Зимина,Огненный дар ледяного дракона,"Ледяные драконы… Холодные, своенравные, высокомерные. Они вступились за мой народ, спасая его от страшной участи. Правитель каждый год выражает им благодарност...",https://rust.litnet.com/uploads/covers/120/1736195210_38.jpg,https://litnet.com/ru/book/izmena-ne-nuzhnaya-zhena-drakona-b439849,"Детективы, Магический детектив"
Анита Жарова,(не) любимая жена дракона или вернуть истинную,"Я очнулась в теле жены дракона…прямо на ее похоронах, явив миру чудо воскрешения. Только никто моему оживлению не рад. Дракон 
рычит и обещает мне кару с право...",https://rust.litnet.com/uploads/covers/120/1734903270_36.jpg,https://litnet.com/ru/book/izmena-ne-nuzhnaya-zhena-drakona-b439849,"Детективы, Магический детектив"
Лана Кроу,Скандальное наследство. Книга 2,"- Жить с вами невыносимо! – со злостью бросила я.
- Вы всегда можете уйти, – с ухмылкой сказал Дэйн.
Он откинулся на спинку кресла и издевательски закинул ноги на то...",https://rust.litnet.com/uploads/covers/120/1692307499_45.png,https://litnet.com/ru/book/izmena-ne-nuzhnaya-zhena-drakona-b439849,"Детективы, Магический детектив"
Валентина Елисеева,Охотница на магов желает познакомиться,"Ярой Тегран всегда знал, что попасть в другой мир невозможно, а ментальной магии не существует, и сильно ошибался! Почему именно на него наткнулась охотница на маго...",https://rust.litnet.com/uploads/covers/120/1636862583_23.jpg,https://litnet.com/ru/book/izmena-ne-nuzhnaya-zhena-drakona-b439849,"Детективы, Магический детектив"
Диана Маш,Заноза для драконьего военачальника,"Весь цикл ""Виверн"" вышел в бумаге от издательства АСТ!

☘️Родная академия подложила мне свинью. 
Вместо шикарного королевского дворца, где я должна была проходить...",https://rust.litnet.com/uploads/covers/120/1718613765_5.png,https://litnet.com/ru/book/izmena-ne-nuzhnaya-zhena-drakona-b439849,"Детективы, Магический детектив"
Алёна Макарова,Ловушка для попаданки. Развод на выживание,"ПРОМИКИ в главах!
Простенькая вроде бы операция закончилась неожиданно. Я получила вторую молодость, знатного супруга и… обвинение в убийстве!
Таких осложнений...",https://rust.litnet.com/uploads/covers/120/1743858782_41.jpg,https://litnet.com/ru/book/izmena-ne-nuzhnaya-zhena-drakona-b439849,"Детективы, Магический детектив"
Рина Вергина,Попаданка и Инквизитор. Любовь не предлагать!,"Бросил жених накануне свадьбы - это еще полбеды. Хуже - оказаться в другом мире и попасть в лапы инквизиции.
Мне повезло. Мой магический дар способен найти преступни...",https://rust.litnet.com/uploads/covers/120/1742154374_86.jpg,https://litnet.com/ru/book/izmena-ne-nuzhnaya-zhena-drakona-b439849,"Детективы, Магический детектив"
