author,title,annotation,img_url,book_url,genre
Анюта Тимофеева,Госпожа для эльфийского принца,"Наследник эльфийского трона очнулся в темной комнате в цепях. Все, что было дальше, нельзя пересказать его сородичам, и он молился только о том, чтобы никто ничего н...",https://rust.litnet.com/uploads/covers/120/1748973576_85.jpg,https://litnet.com/ru/book/gospozha-dlya-elfiiskogo-princa-b533226,"Мини, Мини: фэнтези"
Ефимия Летова,Светлый властелин скучать изволит,"Непроста доля Светлого Властелина! Любовница закатывает скандалы, невеста ушла в монастырь, мама требует свадьбы и наследников, лучший друг жаждет покуролесить... ...",https://rust.litnet.com/uploads/covers/120/1748672551_50.png,https://litnet.com/ru/book/gospozha-dlya-elfiiskogo-princa-b533226,"Мини, Мини: фэнтези"
Pandora Li,Анна и Аид. Обжигающая страсть,"- Господин, господин… Да кто это, в конце-концов? - Анна скрестила руки.
Возможно, подумала она, разговор с этим загадочным господином будет более продуктивным.
- Р...",https://rust.litnet.com/uploads/covers/120/1748012801_17.jpg,https://litnet.com/ru/book/gospozha-dlya-elfiiskogo-princa-b533226,"Мини, Мини: фэнтези"
Дана Данберг,Адепт Порядка 4,"На этот раз Екатерина Окская, капитан подразделения по борьбе с магическими преступлениями, отправится в Лондон. Ей придется распутать еще одно дело, не менее запу...",https://rust.litnet.com/uploads/covers/120/1747995531_60.jpg,https://litnet.com/ru/book/gospozha-dlya-elfiiskogo-princa-b533226,"Мини, Мини: фэнтези"
Раиса Борисовна Николаева,Месть полукровки,"Я ненавижу тебя. Я ненавижу тебя так сильно, что у меня от этой ненависти кружится голова и путается сознание. Я ненавижу тебя за то, что ты сделал с моим отцом, заста...",https://rust.litnet.com/uploads/covers/120/1747345473_68.jpg,https://litnet.com/ru/book/gospozha-dlya-elfiiskogo-princa-b533226,"Мини, Мини: фэнтези"
Эстер Рейн,Проклятье для вождей орков,"Меня не принял огонь.
Я выжила, хотя близкие желали мне смерти, но очутилась среди чудовищ.
Сильных. Пугающих. Опасных.
Кто я для них, проклятье или дар?  Гибель или ...",https://rust.litnet.com/uploads/covers/120/1747218813_11.jpg,https://litnet.com/ru/book/gospozha-dlya-elfiiskogo-princa-b533226,"Мини, Мини: фэнтези"
Нэт Бояр,Попаданка для драконов 2,"Я проснулась от томного ощущения и сладкого предвкушения, но сразу же охватила паника: где я? Последнее, что я помню, — это как мой бывший снова продал меня. Но куда? ...",https://rust.litnet.com/uploads/covers/120/1745231608_41.png,https://litnet.com/ru/book/gospozha-dlya-elfiiskogo-princa-b533226,"Мини, Мини: фэнтези"
Екатерина Кариди,"Тайная наследница. Операция ""Украсть невесту""","- Я слышал, у вас есть дочь-дебютантка? - скучающим тоном поинтересовался король.
- Да, ваше величество, - закивал лорд. - Она в данный момент находится в монастыре, но я ...",https://rust.litnet.com/uploads/covers/120/1745178179_38.png,https://litnet.com/ru/book/gospozha-dlya-elfiiskogo-princa-b533226,"Мини, Мини: фэнтези"
Юлия Журавлева,Анджела в стране эльфов,"Анджела Страйк – известная писательница эротических романов, чьи книги про эльфов сметают как горячие пирожки. Даже сами эльфы впечатлились ее творчеством и приг...",https://rust.litnet.com/uploads/covers/120/1744024814_71.jpg,https://litnet.com/ru/book/gospozha-dlya-elfiiskogo-princa-b533226,"Мини, Мини: фэнтези"
Дана Данберг,Адепт Порядка 3,"Приключения Екатерины Окской - сотрудника подразделения по борьбе с магическими преступлениями, продолжаются.

В прошлый раз все прошло не совсем удачно, но кто в э...",https://rust.litnet.com/uploads/covers/120/1743761509_92.jpg,https://litnet.com/ru/book/gospozha-dlya-elfiiskogo-princa-b533226,"Мини, Мини: фэнтези"
Дарина Кас,Спасенная орком. Ведьмина любовь,"Ведьма без силы — всего лишь добыча. Ловчие ведут охоту на нас, и мы с сестрой угодили в их лапы. Что нас ждет дальше? Я не знаю, но Старший ловчий требует выдать други...",https://rust.litnet.com/uploads/covers/120/1739946441_54.png,https://litnet.com/ru/book/gospozha-dlya-elfiiskogo-princa-b533226,"Мини, Мини: фэнтези"
Катарина Елан,(не) Пара для  орка или  Танцовщица из другого мира,"За один вечер Ева   потеряла  любимую  работу  и  жениха.  Она   думала, что  хуже и быть не может.  Оказалось,   может.   Ева  ...",https://rust.litnet.com/uploads/covers/120/1739689002_12.jpg,https://litnet.com/ru/book/gospozha-dlya-elfiiskogo-princa-b533226,"Мини, Мини: фэнтези"
Кристина Миляева,Строптивый орк для полковника,"Я полковник императорской гвардии, сосланная с глаз великого правителя на окраину страны, поближе к диким землям. Найти в такой дыре свидание на одну ночь без обяза...",https://rust.litnet.com/uploads/covers/120/1739526568_58.jpg,https://litnet.com/ru/book/gospozha-dlya-elfiiskogo-princa-b533226,"Мини, Мини: фэнтези"
Молли Н,Три эльфа для Даши: тайные фантазии,"🔥 В начале отношений мы стараемся казаться лучше, чем мы есть. Потом боимся оттолкнуть. А вот после этого расслабляемся и смелеем) Вот и Даша начала доверять своим ...",https://rust.litnet.com/uploads/covers/120/1739345709_98.jpg,https://litnet.com/ru/book/gospozha-dlya-elfiiskogo-princa-b533226,"Мини, Мини: фэнтези"
Тая Вальд,В объятиях зверя,"Я не выбирала этот мир, не выбирала быть похищенной орком. Но если судьба решила сыграть со мной, я сыграю в ответ.

Он мой похититель. Мой защитник. Мой орк.

🔥Попала ...",https://rust.litnet.com/uploads/covers/120/1739345176_88.jpg,https://litnet.com/ru/book/gospozha-dlya-elfiiskogo-princa-b533226,"Мини, Мини: фэнтези"
Татьяна Абалова,Упс. Главное правило племени Гхы-гхы,"Полюбить орка легко – они мужественные, сильные и ласковые. А вот женить на себе представителя Красной степи та еще задача.  Веста – студентка факультета Ар...",https://rust.litnet.com/uploads/covers/120/1739341118_24.jpg,https://litnet.com/ru/book/gospozha-dlya-elfiiskogo-princa-b533226,"Мини, Мини: фэнтези"
Мария Соник,Строптивая жена для короля орков,"Когда я засыпала в своей кровати накануне Дня всех влюблённых, я никак не ожидала, что наутро окажусь в чужой постели, да ещё и без одежды.

Огромный орк, лежащий рядо...",https://rust.litnet.com/uploads/covers/120/1739294741_63.png,https://litnet.com/ru/book/gospozha-dlya-elfiiskogo-princa-b533226,"Мини, Мини: фэнтези"
Екатерина Кариди,"Пышка в (с)аду, или Кажется, Темный Властелин попал","Вика всегда была упитанной, и такой она себе нравилась. А еще у Вики был потрясающий садово-огороднический талант. У нее все росло, цвело и пахло. Даже если просто во...",https://rust.litnet.com/uploads/covers/120/1738755532_25.jpg,https://litnet.com/ru/book/gospozha-dlya-elfiiskogo-princa-b533226,"Мини, Мини: фэнтези"
Леси Филеберт,Следствие ведут чудаки,"Иногда, чтобы вляпаться в чудеса, достаточно просто прогуляться по Невскому проспекту и столкнуться со странным мужчиной, который затянет в водоворот невероятных ...",https://rust.litnet.com/uploads/covers/120/1738217778_38.jpg,https://litnet.com/ru/book/gospozha-dlya-elfiiskogo-princa-b533226,"Мини, Мини: фэнтези"
Julia Shi,Кекс с пряностями или любовная ведьма для драконов,"Вакансия преподавателя в академии драконов, что может быть лучше для нищей ведьмы? Ну разве что ректор-красавчик, три молодых симпатичных дракона, да непыльный фак...",https://rust.litnet.com/uploads/covers/120/1737895408_4.jpg,https://litnet.com/ru/book/gospozha-dlya-elfiiskogo-princa-b533226,"Мини, Мини: фэнтези"
Леси Филеберт,"Стоять, бояться!.. Вырезанные сцены","18+, очень откровенно. Это вырезанные сцены к книге ""Стоять, бояться! Ревизор в академии"". Здесь - исключительно горячие эпизоды, написанные по многочисленным просьба...",https://rust.litnet.com/uploads/covers/120/1737104500_54.jpg,https://litnet.com/ru/book/stoyat-boyatsya-vyrezannye-sceny-b511815,"Мини, Мини: фэнтези"
