author,title,annotation,img_url,book_url,genre
Учайкин Ася,Право на выстрел,"Счастливая жизнь семьи Морель рухнула в одночасье, когда глава семьи, проиграв все, застрелился возле клуба, где это произошло. В один день Сара с матерью и маленьки...",https://rust.litnet.com/uploads/covers/120/1480616580_72.jpg,https://litnet.com/ru/book/pravo-na-vystrel-b19968,"Детективы, Полицейский детектив"
Ольга Чехова и Екатерина Чертова,Зодиак,"Счастливая, сытая, довольная жизнь. Казалось бы, чего еще не хватает? Но вечные пьяные тусовки приводят мажорную девочку к совершенно другой жизни. Как на человека м...",https://rust.litnet.com/uploads/covers/120/1480961311_16.jpg,https://litnet.com/ru/book/pravo-na-vystrel-b19968,"Детективы, Полицейский детектив"
Михаил Небрицкий,Икона,"В заброшенном здании на окраине города найден труп, который, на первый взгляд, стал жертвой оккультного жертвоприношения таинственными сектантами. Однако, выяснив...",https://rust.litnet.com/uploads/covers/120/1630318143_54.jpg,https://litnet.com/ru/book/pravo-na-vystrel-b19968,"Детективы, Полицейский детектив"
Мишель Лафлер,Убийства в Вестебро,"Лето 2002 года. Накануне торжеств, посвященных 700-летию небольшого шведского городка, происходит серия чудовищных убийств. Вести расследование уполномочен столичны...",https://rust.litnet.com/uploads/covers/120/1602887246_89.jpg,https://litnet.com/ru/book/pravo-na-vystrel-b19968,"Детективы, Полицейский детектив"
Гаан Лилия,Тимбилдинг в Весёлых вечерах,"Вот есть такие особи в многострадальных русских селениях! Казалось, Максим Павлович Умников задался целью посвятить всю свою жизнь без остатка доказательству тез...",https://rust.litnet.com/uploads/covers/120/1588709327_73.jpg,https://litnet.com/ru/book/pravo-na-vystrel-b19968,"Детективы, Полицейский детектив"
Вадим Володарський,Западноафриканская Партия.,"Если у тебя есть принципы и убеждения, - тебе не рады на родине .Но Валентину Талану повезло-он нашел себя в экзотической африканской Стране. Его, высокопоставленног...",https://rust.litnet.com/uploads/covers/120/1588102695_17.jpg,https://litnet.com/ru/book/pravo-na-vystrel-b19968,"Детективы, Полицейский детектив"
Доми Тим (Domi Tim),"Я рядом, бойся","Детектив Чарли Грейс находит мертвым своего соседа Джека в месте, куда ему не было смысла идти, а рядом — солнцезащитные очки. С этого дня его жизнь превращается в н...",https://rust.litnet.com/uploads/covers/120/1600864159_44.jpg,https://litnet.com/ru/book/pravo-na-vystrel-b19968,"Детективы, Полицейский детектив"
Гаан Лилия,Романтика,"Такое ""Сельпо"" как в Агаповке можно было найти в центре любого маленького поселка СССР. Проржавевшая вывеска сразу же бросалась в глаза, как и два чудовищно грязных ...",https://rust.litnet.com/uploads/covers/120/1576850191_82.jpg,https://litnet.com/ru/book/pravo-na-vystrel-b19968,"Детективы, Полицейский детектив"
Громов Сергей,Дежурные сутки,"«Дежурные сутки» ‒ это книга, повествующая о сложностях и опасностях жизни людей, находящихся на страже спокойной жизни общества. С достоинством выполняя свой дол...",https://rust.litnet.com/uploads/covers/120/1734083933_41.jpg,https://litnet.com/ru/book/pravo-na-vystrel-b19968,"Детективы, Полицейский детектив"
Захар Цыбченко,Паспортист,"Удивительно, как один человек может разрушить тихую и спокойную жизнь целого города. Держать в страхе каждого из его жителей, включая полицию, которая обязана найт...",https://rust.litnet.com/uploads/covers/120/1622021305_71.jpeg,https://litnet.com/ru/book/pravo-na-vystrel-b19968,"Детективы, Полицейский детектив"
Михаил Небрицкий,Новые времена,"В и без того нелёгкое время в одном из городских банков происходит захват заложников неким психопатом, возомнившим себя Святым Духом. Всё бы ничего, однако, идущие ...",https://rust.litnet.com/uploads/covers/120/1610479610_80.jpg,https://litnet.com/ru/book/pravo-na-vystrel-b19968,"Детективы, Полицейский детектив"
Михаил Небрицкий,Секрет,"В своей квартире найден убитым известный в городе бизнесмен. Взявшись за расследование, следователь Михайлова и её помощник Лисовой узнают новые подробности, заст...",https://rust.litnet.com/uploads/covers/120/1586376820_55.jpg,https://litnet.com/ru/book/pravo-na-vystrel-b19968,"Детективы, Полицейский детектив"
