author,title,annotation,img_url,book_url,genre
Анастасия Франц,"Я тебе изменил, родная","— Стас, я так больше не могу, — женский всхлип, доносящий со стороны кухни, заставил меня резко замереть на месте.
— Успокойся, Марина. Сейчас не время.
— Я два года ж...",https://rust.litnet.com/uploads/covers/120/1749063612_31.jpeg,https://litnet.com/ru/book/ya-tebe-izmenil-rodnaya-b533398,"Проза, Современная проза"
Дарья Словник,Развод - подарок на свадьбу,"Вы когда-нибудь заставали своего мужа с любовницей? А в день свадьбы?

Я вот застала!

Теперь мне нужно начать жизнь с чистого листа. И я готова. Только мне постоянн...",https://rust.litnet.com/uploads/covers/120/1748856323_40.jpg,https://litnet.com/ru/book/ya-tebe-izmenil-rodnaya-b533398,"Проза, Современная проза"
Чарли Ви,После развода. Моя исповедь,"Еще вчера муж говорил, что новенькая официантка «абсолютно непригодна для работы», а сегодня во всей своей нагой «красе» прижимает ее же к стене подсобк...",https://rust.litnet.com/uploads/covers/120/1745095051_54.png,https://litnet.com/ru/book/ya-tebe-izmenil-rodnaya-b533398,"Проза, Современная проза"
Дарья Белова,Клятва,"— Ты его знаешь? Того, кто заплатил за танец с тобой? Это же такие деньги! — быстро лепечет Мария.
— Знаю, — сухо отвечаю. 
— И кто он? — не отстает.
&mdash...",https://rust.litnet.com/uploads/covers/120/1749493773_35.jpeg,https://litnet.com/ru/book/ya-tebe-izmenil-rodnaya-b533398,"Проза, Современная проза"
Хелен Кир,Бывшие. Между нами ненависть и твоя дочь,"Суворов бросил меня накануне свадьбы. В тот день жизнь раскололась вдребезги.

- Прости, Маш. Я полюбил другую.

- Дань, мне уже свадебное платье купили.

- Чек остался? ...",https://rust.litnet.com/uploads/covers/120/1746001226_7.jpg,https://litnet.com/ru/book/ya-tebe-izmenil-rodnaya-b533398,"Проза, Современная проза"
Юлия Крынская,Измена. Я тебя (не) предавал,"— Кто эта женщина, Егор? — с изумлением заглядываю через плечо мужа.
Муж быстро убирает телефон в карман.
— Никто.
— Тогда почему она шлёт тебе свои фото?
&mda...",https://rust.litnet.com/uploads/covers/120/1743885290_34.jpg,https://litnet.com/ru/book/ya-tebe-izmenil-rodnaya-b533398,"Проза, Современная проза"
Чарли Ви,Цена его неверности,"– Что ты здесь делаешь? – с недоумением смотрю как муж придерживает за плечо подругу нашей дочери.
– Асе помогаю…сориентироваться, – отвечает и прошив...",https://rust.litnet.com/uploads/covers/120/1742330881_53.jpg,https://litnet.com/ru/book/ya-tebe-izmenil-rodnaya-b533398,"Проза, Современная проза"
Анна Арно,Измена. Я тебя (не) любил,"НОВИНКА АВТОРА ❤️ ""(не) фиктивная жена офицера"": https://litnet.com/shrt/9iMQ
— Как тебе… — слышу прерывистый голос подруги, — мой подарок в честь твоего дня р...",https://rust.litnet.com/uploads/covers/120/1718622430_84.jpg,https://litnet.com/ru/book/ya-tebe-izmenil-rodnaya-b533398,"Проза, Современная проза"
Тина Рамм,После развода. Вернуть семью,"– Так ты еще ребенка от него родила, – бывший муж испепеляет меня своими иссиня черными глазами. – Сразу после нашего развода залететь умудрилась.

Моя выдер...",https://rust.litnet.com/uploads/covers/120/1745007879_79.jpg,https://litnet.com/ru/book/ya-tebe-izmenil-rodnaya-b533398,"Проза, Современная проза"
Соня Менделеева,Я тебя разведу,"Какого черта?
Меня должны были привезти в тот шикарный особняк, а это...
Это какая-то дыра! Должно быть ошибка.
Тут явно не может жить та богатая семья, к которой я уст...",https://rust.litnet.com/uploads/covers/120/1723448191_30.png,https://litnet.com/ru/book/ya-tebe-izmenil-rodnaya-b533398,"Проза, Современная проза"
