,author,title,annotation,img_url,book_url,genre
0,"Таша Тонева, Татьяна Демидова",Незабудка для генералов орков,"Мой отец продал меня. Оркам. Трем грозным и безжалостным генералам. Я думала, на этом для меня все закончится. Невероятно, но я ошибалась. Моя настоящая жизнь только ...",https://rust.litnet.com/uploads/covers/120/1741377785_24.png,https://litnet.com/ru/book/nezabudka-dlya-generalov-orkov-b519653,Фэнтези
1,Анастасия Милославская,"Истинные, или Выжить в империи ненависти","Я потеряла всё. Отец моего ребёнка – самый влиятельный и жестокий дракон империи – унизил и отверг меня, отказавшись от нашей истинной связи в тот момент, когд...",https://rust.litnet.com/uploads/covers/120/1743142704_9.jpg,https://litnet.com/ru/book/nezabudka-dlya-generalov-orkov-b519653,Фэнтези
2,Анастасия Милославская,Скандальная история старой жены,"Двенадцать лет брака закончились скандальным разбирательством и разводом. Меня обвиняют в связи с восемнадцатилетним воспитанником – племянником мужа, которо...",https://rust.litnet.com/uploads/covers/120/1746300980_90.jpg,https://litnet.com/ru/book/nezabudka-dlya-generalov-orkov-b519653,Фэнтези
3,Елена Солт,Изгнанная жена дракона или таверна попаданки,"Вот это попала в новый мир!

Муж-дракон после двадцати лет бездетного брака сказал, что устал от меня и никогда не любил. Сравнил с поношенной старой сандалией, котор...",https://rust.litnet.com/uploads/covers/120/1736931688_94.png,https://litnet.com/ru/book/nezabudka-dlya-generalov-orkov-b519653,Фэнтези
4,"Алиса Ардова, Ольга Райская","Поддельная невеста, или Как приворожить негодяя","💥Его Светлость — надменный и холодный, как ледяная статуя на главной площади в праздничный день — шагнул ко мне, перекрывая пути к отступлению…
Сердце зас...",https://rust.litnet.com/uploads/covers/120/1736022564_58.jpg,https://litnet.com/ru/book/nezabudka-dlya-generalov-orkov-b519653,Фэнтези
5,Виктория Вера,Служанка для прокаженного лорда,"Говорят, новый хозяин замка обезображен и нелюдим. Говорят, он принёс королевству победу… но сюда его сослали в наказание, и никто не знает за что. 
Многое гово...",https://rust.litnet.com/uploads/covers/120/1741248455_91.png,https://litnet.com/ru/book/nezabudka-dlya-generalov-orkov-b519653,Фэнтези
6,Светлана Шёпот,Госпожа Медвежьего угла,"Однажды Валентина Ивановна умерла в своем мире, а очнулась в чужом, в теле сироты, которую жестокие родственники держали при себе как служанку. Полуразрушенный дом ...",https://rust.litnet.com/uploads/covers/120/1732612706_58.jpg,https://litnet.com/ru/book/nezabudka-dlya-generalov-orkov-b519653,Фэнтези
7,Таня Акентьева,Развод в 45 Хозяйка заброшенного имения,"ПРОМО в главах📚
После двадцати лет, казалось бы, счастливого брака, дракон привёл в наш дом свою истинную.
Её он хочет видеть своей женой, а меня…
Любовницей?
Но ...",https://rust.litnet.com/uploads/covers/120/1747018754_92.png,https://litnet.com/ru/book/nezabudka-dlya-generalov-orkov-b519653,Фэнтези
8,Адель Хайд,Хозяйка Северных гор 2,"🔥Цена скоро вырастет! 🔥
Книга 1 здесь https://litnet.com/shrt/giBX

Попала в прошлое, в графиню без графства, сосланную в замок на краю королевства, в суровый край, где длинны...",https://rust.litnet.com/uploads/covers/120/1744406239_33.jpg,https://litnet.com/ru/book/nezabudka-dlya-generalov-orkov-b519653,Фэнтези
9,Натали Лансон,Фаворитка изумрудного змея,"Было трудно, но я справилась! Влилась в новый мир и расположила к себе людей. Спасла от голодной смерти целое герцогство и умудрилась пополнить казну, хотя это совсе...",https://rust.litnet.com/uploads/covers/120/1743362386_47.png,https://litnet.com/ru/book/nezabudka-dlya-generalov-orkov-b519653,Фэнтези
