author,title,annotation,img_url,book_url,genre
Оксана Гринберга,Цена соблазна,"Она вернулась в родной город после шестилетнего отсутствия, решив встретиться лицом к лицу со своим прошлым. Все еще надеялась, что взгляд серых глаз Артёма Спасск...",https://rust.litnet.com/uploads/covers/120/1585423112_29.jpg,https://litnet.com/ru/book/cena-soblazna-b97484,"Детективы, Женский детектив"
Наталья Лакота (Ната Лакомка),Жемчужина дракона,"Чтобы вырваться из монастыря, я согласилась заменить кузину и отправилась под чужим именем на смотрины невест для герцога-дракона. Но небеса распорядились по-свое...",https://rust.litnet.com/uploads/covers/120/1737635435_98.jpg,https://litnet.com/ru/book/cena-soblazna-b97484,"Детективы, Женский детектив"
"Алиса Вангель, Аланна Браун!",Поймай меня,"Первое письмо от незнакомца меня заинтриговало. Второе – разозлило. Третье – взволновало. А после четвертого я поняла, что моим спокойным и размеренным будням при...",https://rust.litnet.com/uploads/covers/120/1614879103_9.jpg,https://litnet.com/ru/book/cena-soblazna-b97484,"Детективы, Женский детектив"
Маргарита Смирновская,Крутая Бамбина,"Казалось бы, жизнь Вики должна была наладиться: убийцу Высоковского нашли и посадили, Михаил ее снова ждет на работе… Но череда странных событий продолжается. Вика...",https://rust.litnet.com/uploads/covers/120/1644912173_4.jpg,https://litnet.com/ru/book/cena-soblazna-b97484,"Детективы, Женский детектив"
Ирина Муравьева,Опять беременна,"Все ведь знают о ""дне сурка""? Да-да, это когда один и тот же день все повторяется и повторяется. Не самый лучший вариант. Особенно когда ты беременна. И когда каждый де...",https://rust.litnet.com/uploads/covers/120/1599561364_89.jpg,https://litnet.com/ru/book/cena-soblazna-b97484,"Детективы, Женский детектив"
Наталья Сапункова,Раздвоение личности,"Итак, жила-была женщина. Муж, сын, работа. Другие родственники. Всё в меру уныло. И вот с ней случилось таааакое...
Что именно, вы узнаете уже в первой главе.
Сразу скаж...",https://rust.litnet.com/uploads/covers/120/1494486315_22.jpg,https://litnet.com/ru/book/cena-soblazna-b97484,"Детективы, Женский детектив"
Юлия Николаева,Хочу быть твоей,"Привет, я Вика Царева. Хочешь разрушить свою жизнь, спроси меня, как. Потеряв все, я катилась по наклонной вниз. Пока в моей жизни не появился он. Я его ненавижу, и он о...",https://rust.litnet.com/uploads/covers/120/1684923364_20.jpg,https://litnet.com/ru/book/cena-soblazna-b97484,"Детективы, Женский детектив"
"Илона Волынская, Кирилл Кащеев",Любовь и опасности,В тихие 80-е они учились в школе и терпеть не могли друг друга. В бурные 90-е они не вспоминали друг о друге: Танька стала высокооплачиваемым специалистом по кибербезо...,https://rust.litnet.com/uploads/covers/120/1587998676_31.jpg,https://litnet.com/ru/book/cena-soblazna-b97484,"Детективы, Женский детектив"
Марина Владимирова-Бойко,Пламя любви,"Выбор ее сердца не поддерживает отец и Каролина вынуждена уйти из дома. Но как оказывается ее возлюбленный, который покрыл свое тело с головы до пят татуировками - н...",https://rust.litnet.com/uploads/covers/120/1607531146_21.png,https://litnet.com/ru/book/cena-soblazna-b97484,"Детективы, Женский детектив"
Татьяна Семакова,Не торопись с выводами,"Быть учителем не так-то просто, особенно, когда один из родителей учеников застаёт вываливающейся из такси возле питейного заведения, а на утро - в квартире с двумя ...",https://rust.litnet.com/uploads/covers/120/1704216575_3.jpg,https://litnet.com/ru/book/cena-soblazna-b97484,"Детективы, Женский детектив"
