author,title,annotation,img_url,book_url,genre
Владислав Погадаев,Бытовая магия. История первая. Приворотное зелье.,"Брак по расчёту? Почему бы нет? Лишь бы расчёт был правильным
Рассказ - лишь начало истории. Полный текст - в романе ""Комбикорм для птицы счастья""...",https://rust.litnet.com/uploads/covers/120/1538597330_72.png,https://litnet.com/ru/book/bytovaya-magiya-istoriya-pervaya-privorotnoe-zele-b96234,"Мистика/Ужасы, Паранормальное"
Алина Кононова,Третья палата от Солнца,"Эвелину преследует призрак её сестры-близнеца. 
Ник считает себя оборотнем. 
Ольга помешана на чистоте. Кит не разговаривает. Эда потерялась в своих сюрреалистичн...",https://rust.litnet.com/uploads/covers/120/1580631754_49.jpg,https://litnet.com/ru/book/bytovaya-magiya-istoriya-pervaya-privorotnoe-zele-b96234,"Мистика/Ужасы, Паранормальное"
Елена Чалова,Легенда о Ши,"...Много ходит легенд по деревням и сёлам, но есть та, что передаётся из уст в уста и почти не изменилась за годы – легенда о Ши.
Кто она и откуда взялась доподлинно ни...",https://rust.litnet.com/uploads/covers/120/1498001531_93.jpg,https://litnet.com/ru/book/bytovaya-magiya-istoriya-pervaya-privorotnoe-zele-b96234,"Мистика/Ужасы, Паранормальное"
Танюра Драгоценная,Принцесса вампиров и оборотней,"Я пытаюсь выжить здесь, в этом мире, среди вампиров, оборотней и другой нечисти. Таким как я нет места в природе новых видов. Нас бояться. Пытаются взять кровь, считая...",https://rust.litnet.com/uploads/covers/120/1736183734_36.png,https://litnet.com/ru/book/bytovaya-magiya-istoriya-pervaya-privorotnoe-zele-b96234,"Мистика/Ужасы, Паранормальное"
Николай Антонец,Серебряные Нити,В годовщину смерти возлюбленной одинокий писатель вынужден столкнуться с воплощением кошмаров из забытого прошлого и вновь перелистнуть страницы своего роковог...,https://rust.litnet.com/uploads/covers/120/1484483240_40.jpg,https://litnet.com/ru/book/bytovaya-magiya-istoriya-pervaya-privorotnoe-zele-b96234,"Мистика/Ужасы, Паранормальное"
Денис Бушлатов,Алеша,"Что может быть ужасней, чем смерть ребенка?  И есть ли та грань, за которую нельзя заступать?...",https://rust.litnet.com/uploads/covers/120/1478075934_.jpg,https://litnet.com/ru/book/bytovaya-magiya-istoriya-pervaya-privorotnoe-zele-b96234,"Мистика/Ужасы, Паранормальное"
Денис Бушлатов,Тихая Гавань,"Первый рассказ, в котором упоминается потерянный город Олиум.  Рассказ был впервые опубликован в журнале ""Кругозор"", переведен на английский язык и опубликован в жу...",https://rust.litnet.com/uploads/covers/120/1478000135_.jpg,https://litnet.com/ru/book/bytovaya-magiya-istoriya-pervaya-privorotnoe-zele-b96234,"Мистика/Ужасы, Паранормальное"
Светлана Гольшанская,Дом сновидений,"Каждую ночь Лерке снится один и тот же сон. Неодолимая сила тянет ее к обгоревшему дому, что стоит на отшибе дачного поселка. Какую же тайну хранят почерневшие от са...",https://rust.litnet.com/uploads/covers/120/1461231415_.jpg,https://litnet.com/ru/book/bytovaya-magiya-istoriya-pervaya-privorotnoe-zele-b96234,"Мистика/Ужасы, Паранормальное"
Татиана,Сияние,"Я ехала по шоссе на встречу Нового года,  как внезапно, какое-то непонятное сияние сбило меня с пути. Застряла в сугробе, оказалась в незнакомом месте, где посреди ле...",https://rust.litnet.com/uploads/covers/120/1645126064_31.png,https://litnet.com/ru/book/bytovaya-magiya-istoriya-pervaya-privorotnoe-zele-b96234,"Мистика/Ужасы, Паранормальное"
Саша Молох,Охота на некроманта,"Пожарный борется с огнем, спасатель приходит на помощь в момент смертельной опасности, полицейский охраняет от преступников. А некромант? Некромант делает все, что...",https://rust.litnet.com/uploads/covers/120/1710258301_63.jpg,https://litnet.com/ru/book/bytovaya-magiya-istoriya-pervaya-privorotnoe-zele-b96234,"Мистика/Ужасы, Паранормальное"
