author,title,annotation,img_url,book_url,genre
"Дмитрий Лим, Полина Ром",Соединенные Штаты России,"Нет магии. 
Нет кланов. 
Есть вшивый испанский городишко, Святая Инквизиция, эпидемии чумы и оспы. 
Есть корабли и целый неисследованный континент — Америка. А обяз...",https://rust.litnet.com/uploads/covers/120/1676663534_13.jpg,https://litnet.com/ru/book/soedinennye-shtaty-rossii-b428106,"Попаданцы, Попаданцы во времени "
Теплая Елена,Когда-то много лет назад...,( БЕСПЛАТНО) Забытая родней пенсионерка Валерия по воле рока оказывается в теле юной девушки и переносится в далекую доисторическую эпоху. Здесь ей предстоит не то...,https://rust.litnet.com/uploads/covers/120/1696765165_91.jpg,https://litnet.com/ru/book/soedinennye-shtaty-rossii-b428106,"Попаданцы, Попаданцы во времени "
Анна Лерн,Солнечная тайна Изабель,"Что делать, если ты всю жизнь занималась недвижимостью, жила роскошно и ни в чем себе не отказывала, а потом вдруг, попала в чужое тело и стала хозяйкой виноградника?...",https://rust.litnet.com/uploads/covers/120/1688497628_98.jpg,https://litnet.com/ru/book/soedinennye-shtaty-rossii-b428106,"Попаданцы, Попаданцы во времени "
Наталья Лакота (Ната Лакомка),Мельничиха из Тихого Омута-2,"Моя жизнь в деревне Тихий Омут продолжается. Теперь я - не забитая и запуганная вдова мельника, а почти что деловая леди. Вот поставлю на поток производство бумаги, к...",https://rust.litnet.com/uploads/covers/120/1610463777_15.jpg,https://litnet.com/ru/book/soedinennye-shtaty-rossii-b428106,"Попаданцы, Попаданцы во времени "
Полина Никитина,Гроза пришла в Зелёные Холмы,"Уверена, это был заговор! Я - Соника Тану, чемпионка по рестлингу, должна была одержать сокрушительную победу в решающем матче. 
НО! Всё пошло не по плану - меня удари...",https://rust.litnet.com/uploads/covers/120/1724521983_20.jpg,https://litnet.com/ru/book/soedinennye-shtaty-rossii-b428106,"Попаданцы, Попаданцы во времени "
Юлия Меллер,"Не жизнь, а роман!","— Что это? Телепорт, машина времени или звёздные врата? – усмехнулась Катюша.
— А вот это тебе предстоит узнать самой, – и он с силой втолкнул её внутрь.
Кат...",https://rust.litnet.com/uploads/covers/120/1692197685_64.png,https://litnet.com/ru/book/soedinennye-shtaty-rossii-b428106,"Попаданцы, Попаданцы во времени "
Руслан Светлый,Княжий долг,"Третий роман цикла Княжий долг. Бывшие бандиты из 90-х Андрюха Старцев и Сашка Рокотов осваиваются в Полоцке и делают первые шаги к изменению Истории. 
...",https://rust.litnet.com/uploads/covers/120/1749926511_9.png,https://litnet.com/ru/book/soedinennye-shtaty-rossii-b428106,"Попаданцы, Попаданцы во времени "
Мелиса Ригер,Фальшивая невеста для графа,"Я всегда оставалась в тени своей идеальной сестры, Адель — гордости семьи Ланкастер. Но всё изменилось, когда она сбежала с любовником, бросив нашу семью на гр...",https://rust.litnet.com/uploads/covers/120/1738877576_33.png,https://litnet.com/ru/book/soedinennye-shtaty-rossii-b428106,"Попаданцы, Попаданцы во времени "
Джейд Дэвлин,Трудовые будни барышни-попаданки 2,"У кого-то после попадания сказка, принцы, драконы и приключения. А у меня одни сплошные трудовые будни, ну что ты скажешь! 19 век, самое начало. Хозяйство, прогрессорст...",https://rust.litnet.com/uploads/covers/120/1678174026_68.jpeg,https://litnet.com/ru/book/soedinennye-shtaty-rossii-b428106,"Попаданцы, Попаданцы во времени "
Жанна Штиль,Леди из будущего. Приглашение на казнь,"Книга вторая
Волей судьбы Наташа попала из двадцать первого века в одиннадцатый. Ей ничего не остаётся как с болью и мукой принять действительность.
Жизнь продолжа...",https://rust.litnet.com/uploads/covers/120/1704838854_61.jpg,https://litnet.com/ru/book/soedinennye-shtaty-rossii-b428106,"Попаданцы, Попаданцы во времени "
