author,title,annotation,img_url,book_url,genre
Арина Теплова,Наследница Дивной усадьбы,"Я очутилась в теле юной графини Шереметьевой. Двадцати двух лет от роду и с маленькой дочкой на руках. С неверным мужем, который жаждет выгнать меня из своего помест...",https://rust.litnet.com/uploads/covers/120/1719331871_65.jpg,https://litnet.com/ru/book/naslednica-divnoi-usadby-b483842,"Фэнтези, Историческое фэнтези "
Яна Павлова,Все люди как люди. Княгиня,"Высшие силы дали Акулине шанс - если она справится с заданием, то сможет вернуться к мужу и прожить жизнь так, как сама захочет. Но задача поставлена со звездочкой. Н...",https://rust.litnet.com/uploads/covers/120/1749484561_16.png,https://litnet.com/ru/book/naslednica-divnoi-usadby-b483842,"Фэнтези, Историческое фэнтези "
Боярова Мелина,Брак по расчету. Счастью не прикажешь,"Рядовая поездка в приют для одаренных сирот приводит княжну Орлову в лапы к мастеру крови и темных искусств. Кошмар, преследующий в снах со студенческих времен, воз...",https://rust.litnet.com/uploads/covers/120/1710366938_84.jpg,https://litnet.com/ru/book/naslednica-divnoi-usadby-b483842,"Фэнтези, Историческое фэнтези "
Теплая Елена,Когда-то много лет назад...,( БЕСПЛАТНО) Забытая родней пенсионерка Валерия по воле рока оказывается в теле юной девушки и переносится в далекую доисторическую эпоху. Здесь ей предстоит не то...,https://rust.litnet.com/uploads/covers/120/1696765165_91.jpg,https://litnet.com/ru/book/naslednica-divnoi-usadby-b483842,"Фэнтези, Историческое фэнтези "
Вернэлия Хайд,Пленница его величества,"‍❤️‍Промо первые 7 дней ‍❤️‍
Бежав от ненавистного брака, я и представить не могла, что очнусь в теле пленной принцессы, чье королевство на грани гибели. Еди...",https://rust.litnet.com/uploads/covers/120/1745982877_97.jpg,https://litnet.com/ru/book/naslednica-divnoi-usadby-b483842,"Фэнтези, Историческое фэнтези "
Александр Зимовец,Военный сезон,"Прошло полгода после окончания Дуэльного сезона в Маринбурге. Даша с тех пор не видала Кирилла Стужева, с которым они нынче служат на разных участках Разлома – ж...",https://rust.litnet.com/uploads/covers/120/1741680090_44.jpg,https://litnet.com/ru/book/naslednica-divnoi-usadby-b483842,"Фэнтези, Историческое фэнтези "
Тата Шах,Верю или не верю!,"Девушка не верит никому и ничему, но даже она поддается любопытству и оказывается в другом мире, совсем не похожем на ее родной. Стать ведьмочкой? Пожалуйста. Найти ...",https://rust.litnet.com/uploads/covers/120/1605293752_1.jpg,https://litnet.com/ru/book/naslednica-divnoi-usadby-b483842,"Фэнтези, Историческое фэнтези "
Наталья Лакота (Ната Лакомка),Мельничиха из Тихого Омута-2,"Моя жизнь в деревне Тихий Омут продолжается. Теперь я - не забитая и запуганная вдова мельника, а почти что деловая леди. Вот поставлю на поток производство бумаги, к...",https://rust.litnet.com/uploads/covers/120/1610463777_15.jpg,https://litnet.com/ru/book/naslednica-divnoi-usadby-b483842,"Фэнтези, Историческое фэнтези "
Юлия Меллер,"Не жизнь, а роман!","— Что это? Телепорт, машина времени или звёздные врата? – усмехнулась Катюша.
— А вот это тебе предстоит узнать самой, – и он с силой втолкнул её внутрь.
Кат...",https://rust.litnet.com/uploads/covers/120/1692197685_64.png,https://litnet.com/ru/book/naslednica-divnoi-usadby-b483842,"Фэнтези, Историческое фэнтези "
Такаббир,Династия. Белая Кость,"Первая часть цикла

Правительница Шамидана скончалась. Герцог Рэн Хилд возвращается из изгнания, чтобы взойти на престол и стать родоначальником династии Хилдов. ...",https://rust.litnet.com/uploads/covers/120/1714138726_67.jpg,https://litnet.com/ru/book/naslednica-divnoi-usadby-b483842,"Фэнтези, Историческое фэнтези "
Кати Владмар,"Нежеланный брак, или уроки любви для герцога","Говорят, учитель должен находить подход к любому ученику. Но что делать учительнице начальных классов, если её задача: воспитать не школьника, а высокомерного герц...",https://rust.litnet.com/uploads/covers/120/1742569943_0.jpg,https://litnet.com/ru/book/naslednica-divnoi-usadby-b483842,"Фэнтези, Историческое фэнтези "
Елена Милютина,"Боярин Воеводин, или чересчур громкий Тишайший","Бегут года, взрослеют и даже стареют герои. Что способствовало смерти Михаила, первого царя династии Романовых? Откуда взялась пресловутая меланхолия и ""водяная бо...",https://rust.litnet.com/uploads/covers/120/1736873590_32.jpg,https://litnet.com/ru/book/naslednica-divnoi-usadby-b483842,"Фэнтези, Историческое фэнтези "
Мелиса Ригер,Фальшивая невеста для графа,"Я всегда оставалась в тени своей идеальной сестры, Адель — гордости семьи Ланкастер. Но всё изменилось, когда она сбежала с любовником, бросив нашу семью на гр...",https://rust.litnet.com/uploads/covers/120/1738877576_33.png,https://litnet.com/ru/book/naslednica-divnoi-usadby-b483842,"Фэнтези, Историческое фэнтези "
Наталья Лакота (Ната Лакомка),(с)нежная роза,"В нашей семье меня считают умной, а мою сестру Айрис - красивой. Но говорят: не родись красивой, а родись счастливой. И странная женщина со странной белой кошкой нага...",https://rust.litnet.com/uploads/covers/120/1737367353_67.jpg,https://litnet.com/ru/book/naslednica-divnoi-usadby-b483842,"Фэнтези, Историческое фэнтези "
Юлия Марлин,Жена Хозяина темного замка,"Один поворот Колеса, и я очнулась в теле бывшей фаворитки Императора. Месть ревнивой правительницы была страшна. Она сослала меня на самый край Империи и отдала в ж...",https://rust.litnet.com/uploads/covers/120/1726745037_29.png,https://litnet.com/ru/book/naslednica-divnoi-usadby-b483842,"Фэнтези, Историческое фэнтези "
