author,title,annotation,img_url,book_url,genre
Лариса Шубникова,Одно твоё слово,"Дочь шотландского лэрда, Эдме Уимс, приняв в наследство небольшое поместье, отправляется в городок Стоунхейвен. Знакомство с лордом Дави Хоггом меняет ее жизнь. Са...",https://rust.litnet.com/uploads/covers/120/1749246335_38.png,https://litnet.com/ru/book/odno-tvoe-slovo-b340314,"Роман, Исторический роман"
Жемчужина Аделина (Жемчужева Аделина),Заложница дьявола,"Он дьявол! Именно так я его называю. Дьявол, Псих, Ненормальный, Идиот, Жестокий король! У него столько отвратительных имён, что мне не хватает слов, чтобы перечислит...",https://rust.litnet.com/uploads/covers/120/1749921253_13.png,https://litnet.com/ru/book/odno-tvoe-slovo-b340314,"Роман, Исторический роман"
Наталья Смеречинская,Второй шанс Виктории,"После убийства подругами-предательницами, героиня неожиданно оказывается в теле отвергнутой аристократки-инвалида викторианской эпохи. Её жизнь меняется, и прав...",https://rust.litnet.com/uploads/covers/120/1728836284_70.jpg,https://litnet.com/ru/book/odno-tvoe-slovo-b340314,"Роман, Исторический роман"
Оксана Головина,Сероглазый ангел,"Подчиняясь прихоти короля, Райан вынужден принять в жёны малолетнее дитя из ненавистного ему рода. Но оказалось, малышка не разделяла кровной ненависти странных в...",https://rust.litnet.com/uploads/covers/120/1563972454_15.jpg,https://litnet.com/ru/book/odno-tvoe-slovo-b340314,"Роман, Исторический роман"
Сироткин Николай,Изумруды Урала,"Москва, осень, 1797 год. Уральский купец предлагает молодому ювелиру купить партию камней весом один фунт и оставляет два камня для проверки. Этой же ночью купца убив...",https://rust.litnet.com/uploads/covers/120/1731094126_17.png,https://litnet.com/ru/book/odno-tvoe-slovo-b340314,"Роман, Исторический роман"
Анастасия Чудная,Сиротка для графа,"- Наш брак был ошибкой, - яростно сверкнула глазами Лорейн.
- Я не смог бы выразиться точнее, - колко ухмыльнулся граф.
- Мы должны развестись.
- Ни за что.
***
Между жизнел...",https://rust.litnet.com/uploads/covers/120/1708341960_97.jpg,https://litnet.com/ru/book/odno-tvoe-slovo-b340314,"Роман, Исторический роман"
Наталья Бочка,Барыня,"Барыня Варвара Гусева в одиночестве истосковалась. Да так, что полюбила слугу. И завела любовь эта в такие дали, о каких Варвара и помыслить не могла....",https://rust.litnet.com/uploads/covers/120/1562021223_22.jpg,https://litnet.com/ru/book/odno-tvoe-slovo-b340314,"Роман, Исторический роман"
Юлия Обушная ,Английское лакомство,"Англия, XIX век, Хэмпшир.
Двадцатисемилетняя Виктория Флоранс Констанс Калверт, давно привыкшая к роли старой девы, мечтает о том, чтобы покинуть родной дом, где влас...",https://rust.litnet.com/uploads/covers/120/1747348099_89.png,https://litnet.com/ru/book/odno-tvoe-slovo-b340314,"Роман, Исторический роман"
Анна Прохорова,Невеста скифа.,"Она — дочь царицы, выросшая в прекрасном городе, наполненном женщинами.

Он — суровый степной воин, не знающий пощады.

Но их судьбы переплетутся по воле варваров,...",https://rust.litnet.com/uploads/covers/120/1743675568_70.png,https://litnet.com/ru/book/odno-tvoe-slovo-b340314,"Роман, Исторический роман"
Анна Ведова,Когда шторм утихнет,"После яростного шторма к берегу у стен монастыря прибивает обессиленного викинга — сына ярла с суровых норвежских фьордов. Его находят монахини и, несмотря на с...",https://rust.litnet.com/uploads/covers/120/1748803166_14.png,https://litnet.com/ru/book/odno-tvoe-slovo-b340314,"Роман, Исторический роман"
