author,title,annotation,img_url,book_url,genre
Амира Ангелос,Арабская ночь. Табу на любовь,"– Тебе нужно сменить обстановку, – твердо заявляет моя подруга Ирина. – Мохито, солнце, пустыня. И горячие мужчины. 
– Из всего списка мне нравится только пустыня, ...",https://rust.litnet.com/uploads/covers/120/1747089051_33.png,https://litnet.com/ru/book/arabskaya-noch-tabu-na-lyubov-b529664,"Роман, Короткий роман"
Мария Зайцева,"Сладкий привкус горечи, или 14 февраля не считается","— Хочу тебя адски. 

— Уходи. — Это я говорю, правда? Мой же голос? А чего такой хриплый? 

— Настя… — он наклоняется ниже, приподнимает меня за подбородок, и взгляд е...",https://rust.litnet.com/uploads/covers/120/1739534927_88.jpg,https://litnet.com/ru/book/arabskaya-noch-tabu-na-lyubov-b529664,"Роман, Короткий роман"
Алая Бетти,Одна на троих. Девочка боссов-морозов,"❗ БЕСПЛАТНО ❗
Рецепт новогоднего коктейля “Босс-Мороз”: трёх порочных, властных боссов замешать с простой студенткой в аварийном офисном здании на всю ночь. ...",https://rust.litnet.com/uploads/covers/120/1734409497_76.png,https://litnet.com/ru/book/arabskaya-noch-tabu-na-lyubov-b529664,"Роман, Короткий роман"
Алиса Ковалевская,Предатель. Ты убил мою любовь,"— Отпусти! – закричала я в истерике, пытаясь вырваться из железной хватки мужа. — Скажи мне, что это всё ложь!
— Что случилось, Лиза?
Я всё-таки отшатнулась от него.
...",https://rust.litnet.com/uploads/covers/120/1749802434_94.jpg,https://litnet.com/ru/book/arabskaya-noch-tabu-na-lyubov-b529664,"Роман, Короткий роман"
Алена Московская ,Жена по ошибке. Измена по любви,"— Костя, кто эта женщина?! Твоя любовница?

— Маша, ты что, с ума сошла? Это просто клиентка.

— Угу. Только клиентки не рожают от тебя  детей.

Я думала, у меня ...",https://rust.litnet.com/uploads/covers/120/1749898473_100.jpeg,https://litnet.com/ru/book/arabskaya-noch-tabu-na-lyubov-b529664,"Роман, Короткий роман"
Мария Мендес,Измена. Ты выжгла мне душу,"— Чего тебе не хватало в наших отношениях?! За что ты так со мной поступил?! Ты же просто убил нашу любовь, растоптал её, как ненужный мусор!

Руслан молчал, сжимая рул...",https://rust.litnet.com/uploads/covers/120/1749940268_46.jpg,https://litnet.com/ru/book/arabskaya-noch-tabu-na-lyubov-b529664,"Роман, Короткий роман"
Кира Шарм,(не) Его девочки,"– Я… Я беременна, Ярослав.
Замираю, выпалив на одном дыхании.
Но красивое лицо остается до боли беспристрастным.
– Вот деньги на аборт.
Тот, кого я люблю больше жизн...",https://rust.litnet.com/uploads/covers/120/1693494102_85.png,https://litnet.com/ru/book/arabskaya-noch-tabu-na-lyubov-b529664,"Роман, Короткий роман"
Алайна Салах,Соблазни мою жену,"ИСТОРИЯ ЛЕОНА УЖЕ НА САЙТЕ!!!🔥https://litnet.com/shrt/uehO

— У меня есть для тебя задача. 

— О чём идёт речь? - осторожно переспрашивает парень.

— Я хочу, чтобы ты ...",https://rust.litnet.com/uploads/covers/120/1740670343_26.jpeg,https://litnet.com/ru/book/arabskaya-noch-tabu-na-lyubov-b529664,"Роман, Короткий роман"
Ксения Фави,Маленькое чудо для злодея,"❤️ Что может быть общего у матери-одиночки и главного ловеласа города? У нее особенное маленькое счастье и ветер в карманах. У него в карманах деньги, а в ящике стол...",https://rust.litnet.com/uploads/covers/120/1549248094_12.jpg,https://litnet.com/ru/book/arabskaya-noch-tabu-na-lyubov-b529664,"Роман, Короткий роман"
Алиса Климова,"Бывшие. Никогда не говори ""никогда""","— Артур, меня зовут Ярослава, я ваш…
Крепкими руками он развернул кресло. Слова застыли на языке.
Я смотрела в тёмные непроницаемые глаза Артура Седакова, и не могл...",https://rust.litnet.com/uploads/covers/120/1749575533_68.jpg,https://litnet.com/ru/book/arabskaya-noch-tabu-na-lyubov-b529664,"Роман, Короткий роман"
