author,title,annotation,img_url,book_url,genre
Дарья Данина,Клим,"Близкие люди уходят, друзья предают, а жизнь не такая уж и сладкая вата. Скорее, наоборот. Тебе приходится глотать этот дёготь и пытаться не подавиться им. Я думала, ч...",https://rust.litnet.com/uploads/covers/120/1661026432_89.jpg,https://litnet.com/ru/book/klim-b408979,"Роман, Криминальный роман"
Мария Акулова,За семью замками. Внутри,"Ему 29. Он плюёт на правила и не видит берега. Он привык добиваться своего. Однажды он решает, что хочет ее.
Ей 23. Она боится людей, избегает их, знает: они слишком легко...",https://rust.litnet.com/uploads/covers/120/1620073415_73.jpg,https://litnet.com/ru/book/klim-b408979,"Роман, Криминальный роман"
Маша Драч,Во власти Шрама,"Единственным нашим с братом спасением был ОН. Уродливый и грубый бандит, к которому я среди ночи притащилась в клуб, моля о защите. Если не поможет, то не знаю, что де...",https://rust.litnet.com/uploads/covers/120/1639139427_72.jpg,https://litnet.com/ru/book/klim-b408979,"Роман, Криминальный роман"
Кира Астина,Во власти главы клана,"В последний день своей жизни отец передал мне трон. Власть. Клан. И кучу проблем в придачу.
И всё бы ничего, да вот только я... женщина. В криминальном мире женщин...",https://rust.litnet.com/uploads/covers/120/1744710075_83.jpg,https://litnet.com/ru/book/klim-b408979,"Роман, Криминальный роман"
Анастасия Шерр,Грешник 2. Продолжение,"История Шамиля и Валерии после событий в книге ""Саид 5. Рождение клана""!

Я полюбила социопата - человека, который никогда не полюбит ни меня, ни наших детей. Иног...",https://rust.litnet.com/uploads/covers/120/1731430816_31.jpg,https://litnet.com/ru/book/klim-b408979,"Роман, Криминальный роман"
Екатерина Орлова,Принц криминальной империи,"Я не собирался становиться преемником отца и брать на себя бразды правления его криминальной империей. Но обстоятельства изменились, и теперь мне из принца при...",https://rust.litnet.com/uploads/covers/120/1731319782_41.jpg,https://litnet.com/ru/book/klim-b408979,"Роман, Криминальный роман"
Екатерина Орлова,Сделка с Дьяволом,"- У него одно желание! Такое же, как у Плюханова! Просто они хотят... Это не альтруизм, папа! И Громов не оставит меня в покое, как только я стану его женой! Замужество за...",https://rust.litnet.com/uploads/covers/120/1720631305_51.jpg,https://litnet.com/ru/book/klim-b408979,"Роман, Криминальный роман"
Эша Киртис,Под прикрытием Барса,"Я бросила всё ради любимого мужчины, так думала….
А теперь стою босая в зале особняка, где-то высоко в горах.

— Раздевайся. Мои братья хотят познакомиться с тоб...",https://rust.litnet.com/uploads/covers/120/1719118826_61.png,https://litnet.com/ru/book/klim-b408979,"Роман, Криминальный роман"
Саша Кей,Деспот,"– И чем расплачиваться за вашу помощь? Тем же наследством? Не проще ли сразу отнять?
– Дерзкая комнатная болонка. И глупая, – качает Марич головой и окидывает меня т...",https://rust.litnet.com/uploads/covers/120/1719328969_5.jpg,https://litnet.com/ru/book/klim-b408979,"Роман, Криминальный роман"
Екатерина Орлова,Ангел для Демона,"- Это правда? - шепчу я, изо всех сил сдерживая слезы.
- Что правда, маленькая? - Дима делает шаг ко мне. 
- Правда, что ты сын Громова… Грома? Ты же Громов, - бормочу растер...",https://rust.litnet.com/uploads/covers/120/1682585427_48.jpg,https://litnet.com/ru/book/klim-b408979,"Роман, Криминальный роман"
