author,title,annotation,img_url,book_url,genre
Майя Марук,Звездная пыль,"Всю жизнь я считала себя обыкновенной женщиной. А оказалась идеальным генетическим материалом для какого-то космического урода. Ранним утром меня похитили, вывезл...",https://rust.litnet.com/uploads/covers/120/1682532862_62.jpg,https://litnet.com/ru/book/zvezdnaya-pyl-b259608,"Роман, Любовная фантастика"
Магда Макушева,Огни Аль-Тура. Желанная,"Что делать простой журналистке колонки о путешествиях, когда редакция «Межгалактических новостей» отправляет тебя на далекий Аль-Тур за эксклюзивом?
Паковать че...",https://rust.litnet.com/uploads/covers/120/1646783961_79.png,https://litnet.com/ru/book/zvezdnaya-pyl-b259608,"Роман, Любовная фантастика"
Кира Стрельнева ,"Отбор для Луны, или Похищенная с Земли","Предал жених? Пустяки! Настоящий кошмар случился, когда инопланетяне похитили нас с подругой и переместили в будущее, сделав товаром на черном рынке. Спасение приш...",https://rust.litnet.com/uploads/covers/120/1741704971_31.png,https://litnet.com/ru/book/zvezdnaya-pyl-b259608,"Роман, Любовная фантастика"
Елена Сергеева,Землянка на продажу,"- Ты предал меня? Продал этим монстрам за пару кредитов? – в шоке переспрашиваю я.
- Во-первых, не за пару, а гораздо больше. А во-вторых, никакого предательства. Прос...",https://rust.litnet.com/uploads/covers/120/1713043923_47.png,https://litnet.com/ru/book/zvezdnaya-pyl-b259608,"Роман, Любовная фантастика"
Магда Макушева,Огни Аль-Тура. Завоеванная,"Как следователя управления безопасности девятой колонии Земли, планеты Нум, меня включили в бригаду, расследующую запутанное дело, связанное с далекими планетами ...",https://rust.litnet.com/uploads/covers/120/1649627408_36.png,https://litnet.com/ru/book/zvezdnaya-pyl-b259608,"Роман, Любовная фантастика"
"Анна Шепард, Влада Салтыкова",На страже галактики. Проблема для маршала,"🌌 БⲈⲤПЛⲀⲦⲎⲞ 🌌

Прибывший в нашу Академию самый опасный и таинственный из всех Стражей должен выбрать будущего напарника.

Естественно, все хотят занять это ме...",https://rust.litnet.com/uploads/covers/120/1735762843_61.png,https://litnet.com/ru/book/zvezdnaya-pyl-b259608,"Роман, Любовная фантастика"
Лея Арис,Мой властный звёздный адмирал,"Я выпускница Имперской академии космофлота. Меня назначили служить на межгалактический эсминец. Как мне быть, если теперь за мной гонится воинственная раса роргов...",https://rust.litnet.com/uploads/covers/120/1741399006_15.png,https://litnet.com/ru/book/zvezdnaya-pyl-b259608,"Роман, Любовная фантастика"
Астрея Небесная,Одержимость звёздного ректора,"Мой уникальный дар стал причиной тесного знакомства с пугающе властным ректором Академии Орбис, чьё имя произносят только шёпотом.
Теперь он мой наставник. И это н...",https://rust.litnet.com/uploads/covers/120/1735590256_97.png,https://litnet.com/ru/book/zvezdnaya-pyl-b259608,"Роман, Любовная фантастика"
Саша Скай,Лакомый кусочек для космических волков,"НЕ ОБОРОТНИ)) Попав на черный рынок, где торгуют землянками, я попыталась сбежать.
Меня вернули и хотели наказать, но внезапно вмешались двое мужчин, в которых я врез...",https://rust.litnet.com/uploads/covers/120/1734380868_97.png,https://litnet.com/ru/book/zvezdnaya-pyl-b259608,"Роман, Любовная фантастика"
Сумеречная грёза,Три звездочки для принцессы,"Она — утонченная дворянка с планеты Баллу, высокородная и нежная, как прекрасная бархатная роза. 
Он — суровый вояка с планеты Земля, который не видел в свое...",https://rust.litnet.com/uploads/covers/120/1745464050_57.jpg,https://litnet.com/ru/book/zvezdnaya-pyl-b259608,"Роман, Любовная фантастика"
"Лана Воронецкая, Маша Бакурова",Землянка для его звёздного величества,Я провалилась в пространственную трещину и попала на борт космического корабля! Прямо в объятия звёздного императора. Он напугал до чёртиков и… мурашек под кож...,https://rust.litnet.com/uploads/covers/120/1729110513_71.png,https://litnet.com/ru/book/zvezdnaya-pyl-b259608,"Роман, Любовная фантастика"
Ольга Силаева,Прощание Тёмного принца,"Ещё вчера ты стояла на его похоронах, но незадолго до смерти твой Тёмный принц проделал путешествие во времени и пространстве. И теперь вы наконец-то встретились &nda...",https://rust.litnet.com/uploads/covers/120/1747859224_88.jpg,https://litnet.com/ru/book/zvezdnaya-pyl-b259608,"Роман, Любовная фантастика"
Лира Элиан,Бедовая для звездных маршалов,"Я — курсантка, владеющая редким даром. Меня несправедливо обвинили в преступлении, и я вынуждена бороться за свою честь и свободу на звездном суде. Но по воле слу...",https://rust.litnet.com/uploads/covers/120/1748118007_71.png,https://litnet.com/ru/book/zvezdnaya-pyl-b259608,"Роман, Любовная фантастика"
"Алиса Линд, Ксения Хоши",Избранная для магната с планеты Аксилор,"Что может потребоваться известному магнату от обычной землянки?
Трой Дайрен, Векс, два метра ростом, с телом бога и грацией хищника, уверяет, что ему нужны лишь мои з...",https://rust.litnet.com/uploads/covers/120/1744420098_66.png,https://litnet.com/ru/book/zvezdnaya-pyl-b259608,"Роман, Любовная фантастика"
Лана Отилия ,Землянка для стражей галактики,"Я – ученая с Земли, создавшая уникальную сыворотку, способную сделать расу валькийцев непобедимой. 
При перевозке экспериментальной дозы мой корабль атакова...",https://rust.litnet.com/uploads/covers/120/1737922933_63.png,https://litnet.com/ru/book/zvezdnaya-pyl-b259608,"Роман, Любовная фантастика"
Ксения Рева,Землянка и семь Альф,"Я вместе с подругами отправилась в аквапарк, а попала в водоворот событий на другом конце вселенной. Обещали прекрасное место для женщин, но я получила только внеза...",https://rust.litnet.com/uploads/covers/120/1733303046_20.png,https://litnet.com/ru/book/zvezdnaya-pyl-b259608,"Роман, Любовная фантастика"
Майя Марук,Под крылом дракона,Однажды мне предложили выбор: год работы на военной базе Эйбран или увольнение из университета и возвращение на родную планету. Любая предпочла бы вернуться домой....,https://rust.litnet.com/uploads/covers/120/1677686641_50.png,https://litnet.com/ru/book/zvezdnaya-pyl-b259608,"Роман, Любовная фантастика"
Лена Хейди,Прочнее цепей,"Пойти в кондитерскую, а оказаться в другом мире и стать обладательницей мужского гарема? Невероятно, но факт: только что я отходила от витрины с печеньками, как оказ...",https://rust.litnet.com/uploads/covers/120/1609061457_43.jpg,https://litnet.com/ru/book/zvezdnaya-pyl-b259608,"Роман, Любовная фантастика"
Лия Валери,Землянка для (не)уязвимого маршала,"– Мне нужна помощница, – говорит маршал, сверкая синими глазами из-под нахмуренных бровей. 
– Я? – хлопаю глазами от удивления. – Так я же в вашем мире ...",https://rust.litnet.com/uploads/covers/120/1728764878_5.png,https://litnet.com/ru/book/zvezdnaya-pyl-b259608,"Роман, Любовная фантастика"
Елена Сергеева,Невезучая или брачная лотерея для землянки,"Асе не везет по жизни. Мало того, что с родной планеты закинуло в самый эпицентр брачной лотереи пришельцев. Так еще и номер выделили самый несчастливый – тринадцат...",https://rust.litnet.com/uploads/covers/120/1739957485_81.png,https://litnet.com/ru/book/zvezdnaya-pyl-b259608,"Роман, Любовная фантастика"
Ниизла Холлей,Обретенная,"Никогда не пытайтесь сократить путь, пройдя через безлюдный парк! Потому, что, может так случиться, что путь приведет вас в смертельные объятия одинокого инопланет...",https://rust.litnet.com/uploads/covers/120/1683633424_54.jpg,https://litnet.com/ru/book/obretennaya-b55134,"Роман, Любовная фантастика"
Елена Золотарева,"Невеста для вождей, или окольцевать землянку","Решила показать свою гордость и ушла от мужа-изменщика. Он в отместку оставил меня без всего, и чтобы выжить, мне пришлось устраиваться лаборанткой на кафедру физик...",https://rust.litnet.com/uploads/covers/120/1718831699_33.jpg,https://litnet.com/ru/book/obretennaya-b55134,"Роман, Любовная фантастика"
Лия Валери,Мой космический дикарь,"❤️БЕСПЛАТНО❤️
Хашиец буквально прожигает меня взглядом.
– Ты доставишь меня на мою планету, – рычит наглый невольник.
– Я не обязана тебя никуда доставля...",https://rust.litnet.com/uploads/covers/120/1717759606_49.png,https://litnet.com/ru/book/obretennaya-b55134,"Роман, Любовная фантастика"
"Tommy Glub, Tory Moore",Последняя землянка в подарок,"✧ |1| БУКТРЕЙЛЕР! НОВИНКА АВТОРА! Невеста изумрудных принцев: https://litnet.com/shrt/9rgY

Я стала ценным и редким товаром, оставшись единственной землянкой во всей вселен...",https://rust.litnet.com/uploads/covers/120/1716603719_3.jpg,https://litnet.com/ru/book/obretennaya-b55134,"Роман, Любовная фантастика"
Юлия Марлин,"Его право, или Замуж за ледяного командора","Мечты о настоящей семье обернулись для меня сущим испытанием. Не успела я забеременеть в медицинском центре, как на меня открыли охоту неизвестные люди. Чтобы спас...",https://rust.litnet.com/uploads/covers/120/1676650069_73.jpg,https://litnet.com/ru/book/obretennaya-b55134,"Роман, Любовная фантастика"
Мария Лунёва,"В объятьях страха, или За котом на край Вселенной","В общем, дело было так. Одним явно не прекрасным днем, малочисленное население станции «Ойкон —13» не вышло на связь. Погибли? Ну, допустим! «Но, как же кот? — спросите...",https://rust.litnet.com/uploads/covers/120/1632465538_51.jpg,https://litnet.com/ru/book/obretennaya-b55134,"Роман, Любовная фантастика"
Алиса Чернышова,Объект номер 13,"Кто такой Объект номер 13? 
Он - мой враг, представитель враждебной расы. Он умён и опасен. Ему нельзя верить. Его глаза сияют в темноте алым. Его способности не изучен...",https://rust.litnet.com/uploads/covers/120/1640858671_16.jpg,https://litnet.com/ru/book/obretennaya-b55134,"Роман, Любовная фантастика"
Виктория Рейнер,Рожденная под счастливой звездой,"Одна неосторожность, даже не по моей вине - и вот моя жизнь перевернулась с ног на голову и я уже лечу на другой конец Вселенной навстречу неизвестности, где меня ожи...",https://rust.litnet.com/uploads/covers/120/1642876875_19.jpg,https://litnet.com/ru/book/obretennaya-b55134,"Роман, Любовная фантастика"
