author,title,annotation,img_url,book_url,genre
Яся Светлая,Заброшенная академия. Чудо в подарок,"- Командир, разве мы имеем право отправить девушек именно в эту академию?
- А что нам остается? – ответил незнакомцу командующий распределением нас по академиям, - ...",https://rust.litnet.com/uploads/covers/120/1736790049_61.jpg,https://litnet.com/ru/book/zabroshennaya-akademiya-chudo-v-podarok-b511323,"Роман, Любовное фэнтези"
Кристина Юраш,Попаданка для не(к)романтического властелина,"Попасть в другой мир не проблема, проблема — это загадочные принцы, чье появление ждут академии. Они красивы, высокомерны и ядовиты…Как выбраться из чужого мира, е...",https://rust.litnet.com/uploads/covers/120/1740005733_37.jpg,https://litnet.com/ru/book/zabroshennaya-akademiya-chudo-v-podarok-b511323,"Роман, Любовное фэнтези"
Тереза Нильская,"Я найду тебя, ведьма!","Я не верю своим глазам. Неужели это она? Пять лет поисков, отчаяния, ненависти, борьбы с попаданцами… Я уже проклял этих попаданцев, объявил их врагами короны…...",https://rust.litnet.com/uploads/covers/120/1748083978_30.png,https://litnet.com/ru/book/zabroshennaya-akademiya-chudo-v-podarok-b511323,"Роман, Любовное фэнтези"
Тая Шуи,Дракон в цепях,"Он потерял свободу и уже забыл, когда принимал человеческое обличье. Она потеряла семью и много лет ищет способ изменить прошлое. Заключив сделку, дракон и его нова...",https://rust.litnet.com/uploads/covers/120/1746975822_29.jpg,https://litnet.com/ru/book/zabroshennaya-akademiya-chudo-v-podarok-b511323,"Роман, Любовное фэнтези"
Ольга Иконникова,Твоя на одну ночь,"Чтобы избежать брака с герцогом де Трези, я провела ночь с незнакомцем, который принял меня за дочку лавочника. Наутро он исчез, отставив на кровати наполненный зол...",https://rust.litnet.com/uploads/covers/120/1629290435_25.jpg,https://litnet.com/ru/book/zabroshennaya-akademiya-chudo-v-podarok-b511323,"Роман, Любовное фэнтези"
Ирайра Конири,Дикса. Второй шанс… или истинная для пятерых?,"По нелепой прихоти судьбы, я оказалась в другом мире, пропитанном магией. Но это была совсем не та сказка, что я читала в книгах, где избранных переносят ради великой...",https://rust.litnet.com/uploads/covers/120/1743324887_28.png,https://litnet.com/ru/book/zabroshennaya-akademiya-chudo-v-podarok-b511323,"Роман, Любовное фэнтези"
Анжелика Янчевская,Отбор.Пламя в твоей крови,"БЕСПЛАТНЫЙ РОМАН!  Я была никем — сиротой и служанкой в грязном постоялом дворе, пока магический шар в руках надменного аристократа-дракона не вспыхнул, выбра...",https://rust.litnet.com/uploads/covers/120/1741294895_1.jpg,https://litnet.com/ru/book/zabroshennaya-akademiya-chudo-v-podarok-b511323,"Роман, Любовное фэнтези"
Екатерина Гераскина,Бывшие. ( Не ) покорная истинная для адмирала,"Я толкнула дверь и… перестала дышать. Торгард был с другой.
Мой дракон разбил мне сердце.

— Ты долго будешь там стоять? — его голос прозвучал холодно и безразлично....",https://rust.litnet.com/uploads/covers/120/1730124627_86.png,https://litnet.com/ru/book/zabroshennaya-akademiya-chudo-v-podarok-b511323,"Роман, Любовное фэнтези"
Виктория Свободина,Попаданка в злодейку. Невеста дракона-императора,"Вот как избавиться от жениха, если он император? Ладно, как хотя бы просто выжить? Меня все ненавидят, особенно тот самый жених, мечтающий видеть в качестве невесты с...",https://rust.litnet.com/uploads/covers/120/1726605944_70.jpg,https://litnet.com/ru/book/zabroshennaya-akademiya-chudo-v-podarok-b511323,"Роман, Любовное фэнтези"
Тина Солнечная,Мелисса,"Я долго пряталась в техногенном мире от своей судьбы. Но время истекло и пора садится на трон. А что, если я не готова? А для этого выйду замуж и спихну все самое сложн...",https://rust.litnet.com/uploads/covers/120/1574283324_84.jpg,https://litnet.com/ru/book/zabroshennaya-akademiya-chudo-v-podarok-b511323,"Роман, Любовное фэнтези"
Виктория Хорошилова,Дар за гранью,"В один момент я тону в море, а в следующий — прихожу в себя в теле той, кого считают калекой. Брошенная роднёй, вынужденная справляться с тяготами взрослой жизни о...",https://rust.litnet.com/uploads/covers/120/1745763304_62.jpg,https://litnet.com/ru/book/zabroshennaya-akademiya-chudo-v-podarok-b511323,"Роман, Любовное фэнтези"
Северина Рэй,Измена. Вторая жена моего дракона,"– Когда ты скажешь ей, что разводишься и женишься на мне? – произнесла моя сестра Аиша.
– Как только ее сын окрепнет, не зверь же я, – голос моего мужа. 
– Скоро буде...",https://rust.litnet.com/uploads/covers/120/1701119515_67.jpg,https://litnet.com/ru/book/zabroshennaya-akademiya-chudo-v-podarok-b511323,"Роман, Любовное фэнтези"
Яна Ясная,Игры с огнем,"За все в жизни надо платить. 
Моей платой за обучение в наипрестижнейшем университете Андервуд стал Эдвард Феррерс. Аристократ, огненный лорд, мерзавец и заноза в з...",https://rust.litnet.com/uploads/covers/120/1538993496_52.jpg,https://litnet.com/ru/book/zabroshennaya-akademiya-chudo-v-podarok-b511323,"Роман, Любовное фэнтези"
"Марина Эльденберт, Марина Индиви",Драконье золото,"🔥 ОДНОТОМНИК! 🔥 Драконы нашего мира не встречали истинных уже более пятисот лет. Именно поэтому в наши дни истинных называют «Драконье золото», и избежать э...",https://rust.litnet.com/uploads/covers/120/1750130625_46.png,https://litnet.com/ru/book/zabroshennaya-akademiya-chudo-v-podarok-b511323,"Роман, Любовное фэнтези"
Терин Рем,Призванная быть любимой,"Как жить если однажды очнулась в другом мире спасительницей народов, но не можешь спасти даже свою семью? Где найти силы пережить предательство и простить? Как науч...",https://rust.litnet.com/uploads/covers/120/1520173055_10.jpg,https://litnet.com/ru/book/zabroshennaya-akademiya-chudo-v-podarok-b511323,"Роман, Любовное фэнтези"
Ольга Обская,"Безупречная невеста, или Страшный сон проректора","Меня сосватали влиятельному столичному красавцу. Что-о?! Отказался, даже не взглянув на меня?! Смертник!
Ничего, я покажу столичному выскочке, что собой представляют...",https://rust.litnet.com/uploads/covers/120/1601446187_67.jpg,https://litnet.com/ru/book/zabroshennaya-akademiya-chudo-v-podarok-b511323,"Роман, Любовное фэнтези"
Юлия Нова,Нежеланная невеста. Целительница для генерала,"— Это вынужденная помолвка, леди Ковентри, не питайте иллюзий.

Я смотрела в его глаза и понимала, там ничего нет для меня. Он ненавидел меня всей душой, и его прене...",https://rust.litnet.com/uploads/covers/120/1747301020_53.jpg,https://litnet.com/ru/book/zabroshennaya-akademiya-chudo-v-podarok-b511323,"Роман, Любовное фэнтези"
Кристина Юраш,Ложь для генерала дракона,"Однажды я не нашла могилу своего ребенка. Она просто исчезла. Малыш, которого я ни разу не держала на руках, потерю которого я не смогла пережить, оказался в Доме Мил...",https://rust.litnet.com/uploads/covers/120/1746965516_66.jpg,https://litnet.com/ru/book/zabroshennaya-akademiya-chudo-v-podarok-b511323,"Роман, Любовное фэнтези"
Валентина Елисеева,Демон на одну ночь,"ОДНОТОМНИК! Относится к циклу ""Тайный мир Иных"". Можно читать отдельно!
Случайная встреча способна круто изменить жизнь самой умной, сильной, многоопытной вед...",https://rust.litnet.com/uploads/covers/120/1718610577_14.jpg,https://litnet.com/ru/book/zabroshennaya-akademiya-chudo-v-podarok-b511323,"Роман, Любовное фэнтези"
Светлана Рыжехвост,"Драко-няня, или Целительница для Черного Дракона","Меня зовут Гарриет и я открыла свою шоковерну на Драконьем Пике. Вот только крылатые никак не могут привыкнуть к новому слову и норовят его исковеркать! Но ничего, з...",https://rust.litnet.com/uploads/covers/120/1702399359_18.png,https://litnet.com/ru/book/zabroshennaya-akademiya-chudo-v-podarok-b511323,"Роман, Любовное фэнтези"
Кристина Юраш,"Жена Нави, или прижмемся, перезимуем!","Есть Бук!!!
Наши предки никогда не ходили в зимние леса, зная, что там царствует Он. 
Ему приносили дары и боялись настолько, что готовы были отдать дочерей. Лишь бы он ...",https://rust.litnet.com/uploads/covers/120/1740058143_3.jpg,https://litnet.com/ru/book/zhena-navi-ili-prizhmemsya-perezimuem-b375726,"Роман, Любовное фэнтези"
Анна Шаенская,Дракон предпочитает Злодейку,"🎀👑Нормальным попаданкам Боги дарят дракона и корону, а мне вручили флакон яда и вагон проблем!
Меня обвиняют в покушении на принца и королеву. Генерал и архимаг, к...",https://rust.litnet.com/uploads/covers/120/1749627463_80.jpg,https://litnet.com/ru/book/zhena-navi-ili-prizhmemsya-perezimuem-b375726,"Роман, Любовное фэнтези"
Кристина Юраш,Генерал - Дракон! Будь моим папой!,"Все, кто это видел, уверены, что я - худшая мать на свете!  Такого позора я точно не переживу! Но я даже в мыслях не могла представить, что моя маленькая дочь броситс...",https://rust.litnet.com/uploads/covers/120/1744575200_100.jpg,https://litnet.com/ru/book/zhena-navi-ili-prizhmemsya-perezimuem-b375726,"Роман, Любовное фэнтези"
Эйрена Космос,Бракованная жена. Хозяйка приюта неугодных,"Я попала в тело сироты. Безумная свекровь и тиран-муж жаждут моей смерти.
Но что делать, если умирать в мои планы не входит?
Правильно, бежать в Глухие земли и стать Х...",https://rust.litnet.com/uploads/covers/120/1739420562_69.png,https://litnet.com/ru/book/zhena-navi-ili-prizhmemsya-perezimuem-b375726,"Роман, Любовное фэнтези"
