author,title,annotation,img_url,book_url,genre
Ниса Ахмедова,Развод. Никогда не прощу...,"Авария .

Жизнь на грани смерти...

Твоё тело лежит подключенный в аппарате, а ты сама наблюдаешь со стороны...

И тогда открывается ящик "" Пандоры"" Думая ,что ты ничего н...",https://rust.litnet.com/uploads/covers/120/1746189344_81.png,https://litnet.com/ru/book/razvod-nikogda-ne-proshchu-b528050,"Роман, Мистический роман"
Светлана Воропаева,А что скажет психолог?,"К﻿ак же хочется жить счастливо!
Но как жить счастливо, если тебе далеко за тридцать, ты мать одиночка и с подросткового возраста любишь неправильного парня, которы...",https://rust.litnet.com/uploads/covers/120/1745865135_73.jpg,https://litnet.com/ru/book/razvod-nikogda-ne-proshchu-b528050,"Роман, Мистический роман"
Таша His ,(не)случайное обращение,"Репортаж, который должен был стать сенсацией, оборачивается для амбициозной журналистки Айлин Конте сущим кошмаром. Мало того, что она случайно узнаëт о существ...",https://rust.litnet.com/uploads/covers/120/1748213322_31.jpg,https://litnet.com/ru/book/razvod-nikogda-ne-proshchu-b528050,"Роман, Мистический роман"
Анна Свидерская,Отголоски Этерны,"«Отголоски Этерны» — тёмный магический триллер с элементами психологической драмы, истории любви и жестокого выбора. Это роман о боли, жертве и вечной наде...",https://rust.litnet.com/uploads/covers/120/1745422514_12.png,https://litnet.com/ru/book/razvod-nikogda-ne-proshchu-b528050,"Роман, Мистический роман"
Стелла Александрова,Теперь смеюсь я всей душой,"Ушел муж, ушла и жизнь, сказала себе Марина. Но Вселенная решила, что пора жить для того, зачем ее направили на Землю.
...",https://rust.litnet.com/uploads/covers/120/1743822081_87.jpg,https://litnet.com/ru/book/razvod-nikogda-ne-proshchu-b528050,"Роман, Мистический роман"
Xenia Sinitsyna,Иная. Связанные луной.,"Я - Ольга Королёва, вампир... Точнее целитель-вампир клана Демьяна Князева... И я его ненавижу, но каждую ночь провожу в его постели. 

Из-за него моя жизнь прервалась...",https://rust.litnet.com/uploads/covers/120/1743791972_78.jpg,https://litnet.com/ru/book/razvod-nikogda-ne-proshchu-b528050,"Роман, Мистический роман"
Олеся Стром,Как же так получилось?,"Хищники носят костюмы, улыбаются и говорят правильные слова. Алиса знала это — но не была готова, когда один из них выломал её дверь.

Он преследовал её тенью, шеп...",https://rust.litnet.com/uploads/covers/120/1743749922_77.png,https://litnet.com/ru/book/razvod-nikogda-ne-proshchu-b528050,"Роман, Мистический роман"
Клара Совин,Проклятие Чёрного Рыцаря,"XVI век, Англия, Йоркшир. Молодая аристократка Элис де Равенскрофт возвращается в родовое поместье после смерти отца. В стенах замка Равенхолл Элис встречает напуг...",https://rust.litnet.com/uploads/covers/120/1743624379_12.jpeg,https://litnet.com/ru/book/razvod-nikogda-ne-proshchu-b528050,"Роман, Мистический роман"
Sofia Mayer,Призрак прошлого,"Эмма любила жизнь — каждый её вдох, каждый тёплый момент, каждое утро, наполненное ароматом кофе и светом надежд. У неё было всё: любимая семья, верная подруга, неж...",https://rust.litnet.com/uploads/covers/120/1744120327_1.png,https://litnet.com/ru/book/razvod-nikogda-ne-proshchu-b528050,"Роман, Мистический роман"
Мунлайт Шадоу,В Дальнем Синем Море,"Группа пассажиров яхты «Uncharted waters» вместо разоблачения легенд о «Море дьявола» оказываются в Мундо дел Амор – мире морских оборотней, мире где царит м...",https://rust.litnet.com/uploads/covers/120/1743359012_44.jpg,https://litnet.com/ru/book/razvod-nikogda-ne-proshchu-b528050,"Роман, Мистический роман"
Оксана Ибрагимова ,Венец Тьмы,"После ожесточённой войны между вампирами и магами, победу одержали вампиры, благодаря магическому артефакту. Теперь, чтобы закрепить окончательное перемирие, доч...",https://rust.litnet.com/uploads/covers/120/1743111704_88.png,https://litnet.com/ru/book/razvod-nikogda-ne-proshchu-b528050,"Роман, Мистический роман"
Н Савченко,Русские ведьмы: тайна профессора истории,"У студентки Маргариты Аксёновой есть дар: всё, к чему она прикасается, раскрывает свои секреты. Но самая страшная тайна ещё впереди.

С появлением в университете Кон...",https://rust.litnet.com/uploads/covers/120/1742974260_24.png,https://litnet.com/ru/book/razvod-nikogda-ne-proshchu-b528050,"Роман, Мистический роман"
Вера Анмут,Ливень в Графстве Регенплатц,"Молодой правитель земель Регенплатца, ландграф Генрих, должен жениться на девушке, равной ему по статусу. Вот только сердце его принадлежит другой – простой горож...",https://rust.litnet.com/uploads/covers/120/1742710871_28.jpg,https://litnet.com/ru/book/razvod-nikogda-ne-proshchu-b528050,"Роман, Мистический роман"
Людмила Володина,Крылья ангела,"Эта история родилась одной бессонной ночью. Она так назойливо лезла в голову, что пришлось встать и записывать в тетрадь. Что из этого получится пока не знаю. Потому...",https://rust.litnet.com/uploads/covers/120/1742651098_66.png,https://litnet.com/ru/book/razvod-nikogda-ne-proshchu-b528050,"Роман, Мистический роман"
Татьяна Пин,Оковы Долга,"Алисия, молодая девушка из беднеющей семьи, вынуждена выйти замуж за жестокого мужчину, чтобы покрыть долги своего отца. Оказавшись в плену брака с Густаво , она тер...",https://rust.litnet.com/uploads/covers/120/1742298288_85.png,https://litnet.com/ru/book/razvod-nikogda-ne-proshchu-b528050,"Роман, Мистический роман"
RoMan,Вирус: монстры из лаборатории,"Деревню огораживают барьером и выпускают туда существ, созданных в лаборатории. Жители оказываются в ловушке, став невольными жертвами этих кошмарных созданий. Но...",https://rust.litnet.com/uploads/covers/120/1740811924_83.jpg,https://litnet.com/ru/book/razvod-nikogda-ne-proshchu-b528050,"Роман, Мистический роман"
Мария Комягина,Звенья одной цепи,"Бывает, что одна встреча меняет всё. И что кажется после нее случайностью: знакомства, новые люди, места, сны, слова, мысли, желания - в действительности становятся зв...",https://rust.litnet.com/uploads/covers/120/1739689442_96.jpeg,https://litnet.com/ru/book/razvod-nikogda-ne-proshchu-b528050,"Роман, Мистический роман"
Елена Ветка ,Не будите в ней ведьму,"Каково это – 30 лет жить обычной жизнью, а потом узнать, что ты ведьма и магия существует? Что делать, если все бабушкины волшебные сказки – не сказки вовсе? Как з...",https://rust.litnet.com/uploads/covers/120/1739616314_13.png,https://litnet.com/ru/book/razvod-nikogda-ne-proshchu-b528050,"Роман, Мистический роман"
Julia Candore,"Профессор, я вас не боюсь!","Вы – двойной агент с преступным прошлым. По совместительству – профессор в академии.
И сердце собственной ученицы завоюете с тем же успехом, с каким уничтожите маф...",https://rust.litnet.com/uploads/covers/120/1738589444_24.jpg,https://litnet.com/ru/book/razvod-nikogda-ne-proshchu-b528050,"Роман, Мистический роман"
Алесто Нойманн,Легенды Сьеррвуда,Мощная заключительная часть трилогии «Сьеррвуд» продолжает истории из романов «Стая» и «Тайный уровень». Вал оказывается в плену у безжалостного ...,https://rust.litnet.com/uploads/covers/120/1737756983_35.jpg,https://litnet.com/ru/book/razvod-nikogda-ne-proshchu-b528050,"Роман, Мистический роман"
Аватара,Её кровь на его щеке,"Щёлк…
Раньше, чем кто-либо опомнился, девочка отрезала свою косу под самый корень и положила перед мальчиком.
— Тебе ведь она понравилась? Возьми, мне не жалко, их у ...",https://rust.litnet.com/uploads/covers/120/1737142581_58.jpg,https://litnet.com/ru/book/ee-krov-na-ego-shcheke-b511878,"Роман, Мистический роман"
Катя Вранова,Незнакомец на пороге,"Частный детектив и некромант Сэра Картер берется за самые необычные дела. Чаще всего ее клиентами становятся мертвецы, а не живые люди. Однако когда за помощью к не...",https://rust.litnet.com/uploads/covers/120/1736114607_32.jpg,https://litnet.com/ru/book/ee-krov-na-ego-shcheke-b511878,"Роман, Мистический роман"
Вирьава,"Сон или явь, или ведунья по незнанию","Жила себе спокойно, в школе училась, в университет поступила, казалось бы все как у всех. И тут началось..Знаки, сны странные, в которых двое незнакомцев то спасают ме...",https://rust.litnet.com/uploads/covers/120/1735083507_38.png,https://litnet.com/ru/book/ee-krov-na-ego-shcheke-b511878,"Роман, Мистический роман"
Алесто Нойманн,Тайный уровень,"В уединенной гостинице на окраине леса скрывается таинственный этаж Тенеброн, населенный сверхъестественными созданиями. Уставшая от городской суеты ведьма К...",https://rust.litnet.com/uploads/covers/120/1736585606_74.png,https://litnet.com/ru/book/ee-krov-na-ego-shcheke-b511878,"Роман, Мистический роман"
Ольга Ильченко-Лячина,"В день, когда я умерла","В день, когда я умерла, я встретила его. Своего ангела хранителя. Он пришел встретить мою душу в переходном слое-шлюзе. Я еще не освободилась от печати забвения, посл...",https://rust.litnet.com/uploads/covers/120/1740636225_70.jpg,https://litnet.com/ru/book/ee-krov-na-ego-shcheke-b511878,"Роман, Мистический роман"
Алесто Нойманн,Стая,"Ради нее я готов хоть в ад спуститься, ведь даже он пугает меня меньше, чем признание в любви. Она – живое воплощение принципа «спать будешь после революции»...",https://rust.litnet.com/uploads/covers/120/1734648941_38.png,https://litnet.com/ru/book/ee-krov-na-ego-shcheke-b511878,"Роман, Мистический роман"
Виктория Блум,Дневники чародейки,"Если жизнь подкинула лимон, сделай из него лимонад.
А если она щедро сбросила на тебя целую тонну лимонов?.. Что делать тогда?
Я вернулась в дом моего детства, чтобы п...",https://rust.litnet.com/uploads/covers/120/1734506003_0.png,https://litnet.com/ru/book/ee-krov-na-ego-shcheke-b511878,"Роман, Мистический роман"
KarinMiner,Девушка с татуировкой ворона,"Когда-то давно четыре ведьмы основали свой шабаш. И стали они называться ""Кланом Ворона"". У каждой из них была татуировка ворона на запястье, пугающая остальны...",https://rust.litnet.com/uploads/covers/120/1733771028_68.jpg,https://litnet.com/ru/book/ee-krov-na-ego-shcheke-b511878,"Роман, Мистический роман"
