author,title,annotation,img_url,book_url,genre
"Рина Каримова, Валерия Ангелос",Буйный,"— Мы же договорились, — мрачно говорит мужчина.
От его хриплого голоса бросает в холод. Все четче осознаю, как легко он может сломать мою жизнь, ведь сейчас его ...",https://rust.litnet.com/uploads/covers/120/1726691427_30.png,https://litnet.com/ru/book/buinyi-b493693,"Роман, Остросюжетный любовный роман"
Мария Зайцева,Заплатить за все,"Когда-то я перешла дорогу очень опасному мужчине. Сделала все, чтоб он понес заслуженное наказание, сел в тюрьму. Он обещал, что вернется, и я заплачу за все. Но я была...",https://rust.litnet.com/uploads/covers/120/1725216125_43.jpg,https://litnet.com/ru/book/buinyi-b493693,"Роман, Остросюжетный любовный роман"
Марья Коваленко,Я тебя заберу,"— Мы с мужем хотим ребенка. – Второй раз повторяет пациентка.
— Да, понимаю, — после долгого рабочего дня меня хватает лишь на пару слов.
— Мы надеемся на...",https://rust.litnet.com/uploads/covers/120/1689535575_7.png,https://litnet.com/ru/book/buinyi-b493693,"Роман, Остросюжетный любовный роман"
"Мира Спарк, Рита Святая",Отец жениха. Запретное влечение,"❤️НОВИНКА ""РАЗВОД В 30. НОВАЯ ЖИЗНЬ https://litnet.com/shrt/9EtM❤️
– Думала сбежать от меня, не расплатившись? – он надвигается, как огромный хищник.
– Н-нет, – лепеч...",https://rust.litnet.com/uploads/covers/120/1745783725_77.jpg,https://litnet.com/ru/book/buinyi-b493693,"Роман, Остросюжетный любовный роман"
Ноа Хоуп,Две жизни - одно сердце,"Чужое сердце спасло её. Но принадлежала ли она себе после этого?

Лиана Миллер пыталась выжить, цепляясь за надежду. Но её сердце сдалось. Когда врачи объявили, что б...",https://rust.litnet.com/uploads/covers/120/1745066863_38.jpg,https://litnet.com/ru/book/buinyi-b493693,"Роман, Остросюжетный любовный роман"
Мария Летова,Вожак,"- Я люблю тебя… - говорю вкрадчиво.
Я хочу, чтобы она это поняла. Я не говорил этих слов никому и никогда. Только ей одной.
- Я ждала тебя всю ночь… - шепчет Мира. - Я зва...",https://rust.litnet.com/uploads/covers/120/1612896669_75.jpg,https://litnet.com/ru/book/buinyi-b493693,"Роман, Остросюжетный любовный роман"
Аелла Мэл,Измена. Сквозь боль,"Пять лет брака, пять лет доверия - и всё это было ложью. Его нежные взгляды, заботливые прикосновения, клятвы в вечной любви - всё было ложью.
Реальность такова: муж из...",https://rust.litnet.com/uploads/covers/120/1747302273_29.jpg,https://litnet.com/ru/book/buinyi-b493693,"Роман, Остросюжетный любовный роман"
Маша Малиновская,Найду тебя,"🔥🔥🔥

— Будешь делать всё, что я захочу, — его пальцы скользят по горлу, как раз там, где бешено бьётся пульс.

— Клянусь, я никому не скажу, что видела... &mdas...",https://rust.litnet.com/uploads/covers/120/1743935406_47.png,https://litnet.com/ru/book/buinyi-b493693,"Роман, Остросюжетный любовный роман"
Кира Кан,Отец моего парня. Хаджаев,"До чего похожа, просто невероятно!
Вижу ее второй раз в жизни, а мысль возникает в голове та же, что и в первый: она реальная?
Девочка смогла устроить короткое замыкан...",https://rust.litnet.com/uploads/covers/120/1743364532_38.jpg,https://litnet.com/ru/book/buinyi-b493693,"Роман, Остросюжетный любовный роман"
Ульяна Соболева,Рабыня Шейха. Пепел надежды,"Он забрал у меня даже право на голос, но не смог забрать мою волю. Он думает, что может приходить ко мне, заявлять свои права, причинять мне боль и снова уходить, будто...",https://rust.litnet.com/uploads/covers/120/1729635591_51.jpg,https://litnet.com/ru/book/buinyi-b493693,"Роман, Остросюжетный любовный роман"
