author,title,annotation,img_url,book_url,genre
Евгения Вечер ,Развод в 50. Оставайся в прошлом,"- Ну а что ты хочешь, Зоя? Чтобы я оправдывался? Как в анекдоте тебя уверял, что ты не так все поняла? - он делает паузу, а его глаза становятся темнее, скулы острее. - Ты ...",https://rust.litnet.com/uploads/covers/120/1748810737_13.png,https://litnet.com/ru/book/razvod-v-50-ostavaisya-v-proshlom-b532928,"Роман, Романы о неверности"
"Салиева Александра, Анастасия Пырченкова",Развод с тираном,"— Ну сколько ещё я должна это терпеть? Сколько ещё ты будешь притворяться примерным мужем? Ты ведь ни разу не такой, — слышится из-за приоткрытой двери женским ...",https://rust.litnet.com/uploads/covers/120/1750101370_39.jpg,https://litnet.com/ru/book/razvod-v-50-ostavaisya-v-proshlom-b532928,"Роман, Романы о неверности"
Анна Гранина,(не)вернуть. Цена искупления,"— Ты носишь моего ребёнка, — его взгляд прожигает меня насквозь

— Так в чём проблема? — огрызаюсь я, скрывая дрожь в голосе.  

— Он будет расти только в полной семь...",https://rust.litnet.com/uploads/covers/120/1742329080_98.jpg,https://litnet.com/ru/book/razvod-v-50-ostavaisya-v-proshlom-b532928,"Роман, Романы о неверности"
Ирина Манаева (Dulsinta),Измена. Последняя просьба,"Даже не думала, что на похоронах моего отца муж объявит о своём уходе.

- Больше нет смысла притворяться. Юль, у меня другая женщина. И она в положении.

Мы были в браке ...",https://rust.litnet.com/uploads/covers/120/1740686008_49.jpg,https://litnet.com/ru/book/razvod-v-50-ostavaisya-v-proshlom-b532928,"Роман, Романы о неверности"
Яна Клюква,Месть. Твоя роковая ошибка,"– Так ты всё заранее продумал? – удивлённо спрашивает его друг. – Ну ты даёшь! А не боишься, что Ленка про всё узнает и ты лишишься её и ребёнка?

– Да куда она денетс...",https://rust.litnet.com/uploads/covers/120/1749676146_18.jpg,https://litnet.com/ru/book/razvod-v-50-ostavaisya-v-proshlom-b532928,"Роман, Романы о неверности"
Агата Ковальская,Развод = новая жизнь,".– Волноваться больше не о чем, – произнес он ровно, будто зачитывал по бумажке.  – По крайней мере, нам, Александра. Я принял решение – я подаю  на развод.

Тишина.

Г...",https://rust.litnet.com/uploads/covers/120/1749751681_18.jpg,https://litnet.com/ru/book/razvod-v-50-ostavaisya-v-proshlom-b532928,"Роман, Романы о неверности"
Лада Зорина,Развод. Я (не) верю в любовь,"— Скандал мне устроишь? — цинично усмехается муж, даже не пытаясь прикрыться. — Кать, не стой столбом. Иначе из драматичной эта сцена превратится в неловкую.
А я от ...",https://rust.litnet.com/uploads/covers/120/1746983399_78.jpg,https://litnet.com/ru/book/razvod-v-50-ostavaisya-v-proshlom-b532928,"Роман, Романы о неверности"
Ева Лавина,Развод. Цена лжи,"Книга — ‍❤️‍ ПОДАРОК‍❤️‍

— Неужели забыла? Ты моя жена. И я не собираюсь тебя отпускать. Такая корова нужна самому… 
— Закон на моей стороне...",https://rust.litnet.com/uploads/covers/120/1746045094_55.png,https://litnet.com/ru/book/razvod-v-50-ostavaisya-v-proshlom-b532928,"Роман, Романы о неверности"
Хелен Кир,Измена. Любовь умирает в 44,"- Аня, я встретил другую женщину, – спокойный голос мужа режет тишину.

Хлопаю глазами, пытаясь принять слова Глеба. 

У нас сын. Двадцать лет вместе. Он серьезно?

- Она...",https://rust.litnet.com/uploads/covers/120/1742797828_42.jpg,https://litnet.com/ru/book/razvod-v-50-ostavaisya-v-proshlom-b532928,"Роман, Романы о неверности"
Дарья Словник,Развод - подарок на свадьбу,"Вы когда-нибудь заставали своего мужа с любовницей? А в день свадьбы?

Я вот застала!

Теперь мне нужно начать жизнь с чистого листа. И я готова. Только мне постоянн...",https://rust.litnet.com/uploads/covers/120/1748856323_40.jpg,https://litnet.com/ru/book/razvod-v-50-ostavaisya-v-proshlom-b532928,"Роман, Романы о неверности"
