author,title,annotation,img_url,book_url,genre
Элен Форс,Накал страстей,"Если бы в греческой мифологии была бы Богиня оплошностей и неловких ситуаций, то её звали бы Элина. Богиня невезения – как она сама себя называет. Элина не ищет от...",https://rust.litnet.com/uploads/covers/120/1748799734_65.png,https://litnet.com/ru/book/nakal-strastei-b532896,"Роман, Романтическая комедия"
Ксюша Иванова,Есть ли жизнь после развода?,"— А вот и я-я-а! - расплываюсь в улыбке, как только муж открывает дверь.  Он так удивлён, что, кажется, потерял дар речи!   — Вау! - скольжу взглядом по его те...",https://rust.litnet.com/uploads/covers/120/1738265048_73.jpg,https://litnet.com/ru/book/nakal-strastei-b532896,"Роман, Романтическая комедия"
Кира Лейн,Запретная любовь мажора,"- Слабо за месяц вот эту блондиночку соблазнить?
- Это скучно. Вот, чтобы в любви призналась…
- Замётано. Признается через месяц в любви, я тебе второй мотоцикл отд...",https://rust.litnet.com/uploads/covers/120/1749759202_56.jpg,https://litnet.com/ru/book/nakal-strastei-b532896,"Роман, Романтическая комедия"
Наталья Юнина,Аномалия,"❤️Первая встреча с заносчивым внуком моей соседки закончилась полным провалом. Окрестив меня охотницей за жилплощадью и залежавшимся б/у товаром, он получил от м...",https://rust.litnet.com/uploads/covers/120/1743004938_53.jpg,https://litnet.com/ru/book/nakal-strastei-b532896,"Роман, Романтическая комедия"
Ася Андреева,Жена для босса вне расписания,"Я тайно забеременела. Как мне это удалось? О, это отдельная история. Я украла... эмм... биоматериал. Даже не знаю, какое мне там положено наказание по закону. Я не собира...",https://rust.litnet.com/uploads/covers/120/1702544591_5.jpg,https://litnet.com/ru/book/nakal-strastei-b532896,"Роман, Романтическая комедия"
Тала Тоцка,Миллионер против миллиардера,"БУКТРЕЙЛЕР!!!
После расставания с Авериным жизнь входит в привычное русло, но однажды вечером Ольгу привозят в роскошный загородный особняк и делают предложение, о...",https://rust.litnet.com/uploads/covers/120/1713141129_18.jpg,https://litnet.com/ru/book/nakal-strastei-b532896,"Роман, Романтическая комедия"
Ольга Рог,Жаль твою новую,"— Женька-а-а! Слышала? Нет, ты слышала-а-а? — трясла ее за плечо подруга.

М? — оторвалась Брусникина от замачивая поджаристой гренки в желток яичницы-болтуньи и пове...",https://rust.litnet.com/uploads/covers/120/1749629212_90.jpg,https://litnet.com/ru/book/nakal-strastei-b532896,"Роман, Романтическая комедия"
Татьяна Любимая ,Помощница с секретом,"– Даниил Мимосра… Милосла… Милосра… Ай, да пофиг уже, увольняйте! – сдуваюсь.

Босс четко сказал: кто будет коверкать его имя, будет уволен. Немедленно...",https://rust.litnet.com/uploads/covers/120/1744952859_9.jpg,https://litnet.com/ru/book/nakal-strastei-b532896,"Роман, Романтическая комедия"
Лана Пиратова,Заноза для правильного босса,"🌟🌟🌟 - Как же ты меня бесишь! – цедит он мне почти в губы, крепко сжимая мою шею сзади.
Он мог бы и не говорить об этом. Потому что все его эмоции искрами сверкают в...",https://rust.litnet.com/uploads/covers/120/1738181726_51.png,https://litnet.com/ru/book/nakal-strastei-b532896,"Роман, Романтическая комедия"
Наталья Шагаева,Ищу Мужа. Интим не предлагать!,"«Ищу мужа. Интим не предлагать!
Требуется мужчина от тридцати до сорока лет на временную роль фиктивного мужа.
Требования: рост выше среднего, желательно спортив...",https://rust.litnet.com/uploads/covers/120/1729761070_24.jpg,https://litnet.com/ru/book/nakal-strastei-b532896,"Роман, Романтическая комедия"
Екатерина Васина,"Разбуди меня, если сможешь","У каждого свои чудовища под кроватью.

У Ника — страх, что его время вот-вот закончится.

У Иланы — страх довериться мужчине.

Иногда, чтобы победить своего монстра, н...",https://rust.litnet.com/uploads/covers/120/1748320004_18.png,https://litnet.com/ru/book/nakal-strastei-b532896,"Роман, Романтическая комедия"
Ольга Ромина,Измена под марш Мендельсона,Сыграть свадьбу в День Всех Влюбленных – что может быть романтичнее? Но я застукала жениха со своей лучшей подругой прямо в ЗАГСе! Перед церемонией! И самый счастли...,https://rust.litnet.com/uploads/covers/120/1750155731_39.jpg,https://litnet.com/ru/book/nakal-strastei-b532896,"Роман, Романтическая комедия"
Анна Варшевская,Фиктивный бывший и кот в придачу,"– Вам бы спортом заняться!
– Намекаете, что я толстая?!
– Нет, намекаю, что с вашими способностями вам придётся быть быстрой, чтобы вовремя убегать от пациент...",https://rust.litnet.com/uploads/covers/120/1749419288_77.jpg,https://litnet.com/ru/book/nakal-strastei-b532896,"Роман, Романтическая комедия"
Оксана Волконская,Ненавижу любя,Любить нельзя ненавидеть - каждый ставит запятую сам. Василина знала - любви с заслуженным Казановой Кириллом не быть. Ненависть? Отлично. Вот только жизнь не готови...,https://rust.litnet.com/uploads/covers/120/1587411668_82.png,https://litnet.com/ru/book/nakal-strastei-b532896,"Роман, Романтическая комедия"
Аня Истомина,Как приручить соседа,"Мне не везёт с мужчинами.
Бывший муж отобрал ребенка. Начальник - тиран.
Даже красавчик-сосед ведёт себя как высокомерный гад.

Но, ничего, я все преодолею!
Я верну ...",https://rust.litnet.com/uploads/covers/120/1737931131_11.png,https://litnet.com/ru/book/nakal-strastei-b532896,"Роман, Романтическая комедия"
Алайна Салах,Поменяемся?,"-- Мы с Рафой собираемся на Мальдивы. Не хотите присоединиться?

-- Нет, спасибо.  – Я машинально смотрю на своего парня. – Мы поедем в горы. 

-- На Мальдивы ...",https://rust.litnet.com/uploads/covers/120/1723652260_3.jpeg,https://litnet.com/ru/book/nakal-strastei-b532896,"Роман, Романтическая комедия"
Ольга Обская,"Невеста на неделю, или Моя навеки","Босс предлагает Полине доказать свою креативность, изображая его невесту в течение недели. Если спектакль удастся, Полю ждёт стремительный карьерный рост. Задача ...",https://rust.litnet.com/uploads/covers/120/1727126734_97.jpg,https://litnet.com/ru/book/nakal-strastei-b532896,"Роман, Романтическая комедия"
Вера Рэй ,Развод в 35. Ты попался на горячем,"-Вижу, ты решил проветрить не только мозги! - выкрикнула я, приближаясь. Муж обернулся, прикрывая свое недостойное достоинство. 

-Ты... Ты что здесь делаешь? - пропищ...",https://rust.litnet.com/uploads/covers/120/1741279171_37.jpg,https://litnet.com/ru/book/nakal-strastei-b532896,"Роман, Романтическая комедия"
Аня Истомина,Мой дикий сводный,"- Можете греться трением, вы все равно сводные! Счастливого нового года! - так сказал отчим, высадив нас с братом практически в сугроб!
Я такого даже в кошмарном сне н...",https://rust.litnet.com/uploads/covers/120/1733604206_53.png,https://litnet.com/ru/book/nakal-strastei-b532896,"Роман, Романтическая комедия"
Аня Истомина,Не Барби для босса,"За день до нового года дочь попросила у меня живую Барби. Как назло, все аниматоры уже заняты.
К счастью, я - владелец большой кондитерской фабрики, где работает мног...",https://rust.litnet.com/uploads/covers/120/1730492850_39.jpg,https://litnet.com/ru/book/nakal-strastei-b532896,"Роман, Романтическая комедия"
Наталья Юнина,Девочка по имени Зачем,"Наглый, хамоватый мужик, кажется так, я подумала о нем после первой нашей встречи. Кто бы мог подумать, что через считанные месяцы этот паршивец займет все мои мысли....",https://rust.litnet.com/uploads/covers/120/1646479432_25.png,https://litnet.com/ru/book/devochka-po-imeni-zachem-b88022,"Роман, Романтическая комедия"
Даша Коэн,В активном поиске,"Привет, меня зовут Снежана — я красива, стройна, умна, и мне грозит венец безбрачия. Почему? Да потому что я, Фома Неверующая, в своё время не послушала бабушку, кот...",https://rust.litnet.com/uploads/covers/120/1710104419_77.jpg,https://litnet.com/ru/book/devochka-po-imeni-zachem-b88022,"Роман, Романтическая комедия"
Даша Коэн,Иди сюда - любить буду,"БЕСТСЕЛЛЕР!

Спасите! Помогите! Насилуют!
Погодите-ка....
У меня же в сумке палка колбасы завалялась и литр молока еще тоже. Сама справлюсь!
Огреть насильника? Прибить ...",https://rust.litnet.com/uploads/covers/120/1704229217_2.jpg,https://litnet.com/ru/book/devochka-po-imeni-zachem-b88022,"Роман, Романтическая комедия"
Регина Янтарная,Тройняшки для миллиардера. Игнатьевы,"- Макар… - мать тройняшек впивается в меня потрясенным взглядом. – Ты же умер! Как так?..
Наши взгляды пересекаются, и меня бьет разряд тока.
- Я вас не знаю. Да, я М...",https://rust.litnet.com/uploads/covers/120/1749477817_78.jpg,https://litnet.com/ru/book/devochka-po-imeni-zachem-b88022,"Роман, Романтическая комедия"
Диана Рымарь,Мой любимый директор,"При обходе территории своего фитнес-клуба я встречаю девушку, от которой невозможно оторвать взгляда. У меня так редко бывает — чтобы переклинило на ком-то по щелч...",https://rust.litnet.com/uploads/covers/120/1658410820_37.jpg,https://litnet.com/ru/book/devochka-po-imeni-zachem-b88022,"Роман, Романтическая комедия"
Виктория Вишневская,"Я жду от вас ребёнка, босс!","– Не наказывайте меня! – я сглатываю, видя, как босс закатывает рукава белой рубашки. Он же меня не выпорет, да? Я же все ремни в его доме спрятала!
– Вы только что, Ас...",https://rust.litnet.com/uploads/covers/120/1624047793_64.png,https://litnet.com/ru/book/devochka-po-imeni-zachem-b88022,"Роман, Романтическая комедия"
Кристина Жиглата,"Минус двадцать килограмм, чтобы обрести любовь...","НОВИНКА (БЕСПЛАТНО) ""Три ночи с заключенным"" тут: https://litnet.com/shrt/n6PC❤️‍
- Подожди! – кричу Ленке, останавливая около выхода. – Ты что хочешь меня оставить...",https://rust.litnet.com/uploads/covers/120/1702125516_56.jpg,https://litnet.com/ru/book/devochka-po-imeni-zachem-b88022,"Роман, Романтическая комедия"
Елена Трифоненко,Женить чудовище,"Таня: «Он заплатил, чтобы я нашла ему жену. Но, может, он просто надо мной издевается?»
Василий: «Танчик, у меня сегодня есть пара часов на свидание — найди мне кого-н...",https://rust.litnet.com/uploads/covers/120/1611115093_92.jpg,https://litnet.com/ru/book/devochka-po-imeni-zachem-b88022,"Роман, Романтическая комедия"
Ольга Пожарова,(не)товарищ прапорщик,"Она - помощница ветеринара, воспитанная двумя весёлыми ""прабушками"", да-да, именно так, опечатки в этом слове нет...

Он - начальник Ведомственного питомника Служ...",https://rust.litnet.com/uploads/covers/120/1748096889_43.jpg,https://litnet.com/ru/book/devochka-po-imeni-zachem-b88022,"Роман, Романтическая комедия"
Анна Шнайдер,Ты меня бесишь,"Когда до защиты остаётся меньше четырёх месяцев, Арине неожиданно меняют научного руководителя. И всё бы ничего, но им назначают Александра Андреевича Бесова - пре...",https://rust.litnet.com/uploads/covers/120/1737491756_88.jpg,https://litnet.com/ru/book/devochka-po-imeni-zachem-b88022,"Роман, Романтическая комедия"
