author,title,annotation,img_url,book_url,genre
Эра Фогель,Трофей врага отца,"– Мой конкурент собирается стереть мой бизнес в порошок, – сообщил мне папа. – Ты должна этому помешать!
– Что же мне нужно сделать? – искренне удивилас...",https://rust.litnet.com/uploads/covers/120/1734677473_23.png,https://litnet.com/ru/book/trofei-vraga-otca-b507334,"Роман, Служебный роман"
Регина Янтарная,Личное дело майора Беркутова,"- Куда ты собралась, Паулина? –  бросает мне в спину муж.
- Я ухожу от тебя, сейчас только вещи соберу свои, и такси вызову.
Обжигающие слезы бегут по лицу, прожига...",https://rust.litnet.com/uploads/covers/120/1743707052_73.jpg,https://litnet.com/ru/book/trofei-vraga-otca-b507334,"Роман, Служебный роман"
Рина Фиори,Невеста по ошибке. Забудь о разводе!,"– Вы обязаны аннулировать этот брак! Немедленно! – выкрикиваем одновременно с боссом.
Я – тихо и прерывисто, чуть не плача, он – грозно и безапелляционно. ...",https://rust.litnet.com/uploads/covers/120/1730301523_90.png,https://litnet.com/ru/book/trofei-vraga-otca-b507334,"Роман, Служебный роман"
Алиса Климова,Измена. Ты всё разрушил,"— Я видела тебя вчера! У ресторана! Давно у тебя с ней?! – я всё-таки сорвалась, слёзы потекли, а в голосе появились истеричные нотки. – Ты мне с ней изменяешь? С...",https://rust.litnet.com/uploads/covers/120/1729769759_34.jpg,https://litnet.com/ru/book/trofei-vraga-otca-b507334,"Роман, Служебный роман"
Анна Лапина,Принцесса для генерального,"— Я хочу уволиться, — не решаюсь поднять взгляд на генерального.
— Нет! — твердо отвечает.
— Вот мое заявление на увольнение, — решительнее подталкив...",https://rust.litnet.com/uploads/covers/120/1725827339_68.png,https://litnet.com/ru/book/trofei-vraga-otca-b507334,"Роман, Служебный роман"
Арина Вильде,Замуж за миллиардера,"Я провела более ста свадеб.
Но такое у меня впервые. 
Невеста сбегает со свадьбы за несколько часов до церемонии, а меня заставляют стать фиктивной женой миллиард...",https://rust.litnet.com/uploads/covers/120/1721448684_8.png,https://litnet.com/ru/book/trofei-vraga-otca-b507334,"Роман, Служебный роман"
Рианнон Шейл,( Не ) бойся Зверя,"Директору известной компании  срочно требовалась помощница-переводчик, а Катерина  отчаянно нуждалась в работе, поэтому, не раздумывая, отправилась  на соб...",https://rust.litnet.com/uploads/covers/120/1713036496_93.jpg,https://litnet.com/ru/book/trofei-vraga-otca-b507334,"Роман, Служебный роман"
Марта Вебер,Проблема для босса,"Он - большой босс, а я - кандидат на должность его секретаря. 

Мне очень нужны  деньги на восстановление брата после аварии, и я сделаю всё, чтобы удержаться на этой р...",https://rust.litnet.com/uploads/covers/120/1705468666_88.png,https://litnet.com/ru/book/trofei-vraga-otca-b507334,"Роман, Служебный роман"
Виктория Вишневская,Мой одержимый босс,"– У тебя есть ребёнок? – грозный голос раздаётся на весь кабинет.
Откуда он узнал?.. Кто-то рассказал? Неужели она?..
Нет, мне плевать, что меня могут уволить за это. Сю...",https://rust.litnet.com/uploads/covers/120/1703622729_56.png,https://litnet.com/ru/book/trofei-vraga-otca-b507334,"Роман, Служебный роман"
"Марта Вебер, Мария Владыкина",Полное счастье для босса,"Я, девушка о которой говорят ""Plus-size"" стала помощницей подтянутого босса-красавца, разве такое бывает не только в сказках?
Ради этой работы я готова на многое: с ...",https://rust.litnet.com/uploads/covers/120/1686633736_78.jpg,https://litnet.com/ru/book/trofei-vraga-otca-b507334,"Роман, Служебный роман"
Дора Шабанн,Хорошая девочка. Версия 2.0,"Одна женщина. 
Трое мужчин: муж, любовник, сын. Все они с секретами.
Муж, старше на двадцать лет и скорее наставник, чем супруг. Он что-то скрывает? Быть такого не може...",https://rust.litnet.com/uploads/covers/120/1679429914_20.png,https://litnet.com/ru/book/trofei-vraga-otca-b507334,"Роман, Служебный роман"
