author,title,annotation,img_url,book_url,genre
Джулия Ромуш,Возьму тебя в долг,"- Я купил твою жизнь, - выходит из тени и надвигается на меня.
- Я верну деньги, - произношу дрожащим голосом. Быть в долгу у этого мужчины опасно.
- Деньги меня не интере...",https://rust.litnet.com/uploads/covers/120/1676329209_45.png,https://litnet.com/ru/book/vozmu-tebya-v-dolg-b427702,"Роман, Современный роман"
Янка Рам,Контракт с подонком,"Я - гадкий утёнок, и не удостоена чести носить фамилию влиятельной семьи Данилевских, к которой принадлежу. Детдомовка, ребенок с дефектом, равнодушно вышвырнутый п...",https://rust.litnet.com/uploads/covers/120/1710571998_70.jpg,https://litnet.com/ru/book/vozmu-tebya-v-dolg-b427702,"Роман, Современный роман"
Мила Рейне,Властный брат моего жениха,"- Я женюсь, - заявляет младший брат, а я лениво приподнимаю брови.

- Зачем? Можно же жить в свое удовольствие и менять девок каждый день. Все бабы продажные стервы. И ты...",https://rust.litnet.com/uploads/covers/120/1748229661_23.jpg,https://litnet.com/ru/book/vozmu-tebya-v-dolg-b427702,"Роман, Современный роман"
Маша Кужель,Её тайна его дочь,"- Кто эта девочка? - спрашивает он, и я уверена, что мы оба знаем ответ на этот вопрос.
Я делаю еще один шаг назад, прижимаясь спиной к стене. Кирилл приближается ко мне....",https://rust.litnet.com/uploads/covers/120/1732546219_4.png,https://litnet.com/ru/book/vozmu-tebya-v-dolg-b427702,"Роман, Современный роман"
Эмилия Грин,Лебедь,"РОМАН ИЗДАН НА БУМАГЕ. ВЫШЛО ПОДАРОЧНОЕ ИЗДАНИЕ С БОНУСНЫМИ ГЛАВАМИ. Старое название ""Ворон. Осколки нас"".Кирилл Воронов. Он стал моей первой больной любовью. Н...",https://rust.litnet.com/uploads/covers/120/1712997158_22.jpg,https://litnet.com/ru/book/vozmu-tebya-v-dolg-b427702,"Роман, Современный роман"
Нюра Борзова,Измена. Он полюбил другую,"- Ян, ты дома? - недовольно кричит из коридора мой муж.
- Я на кухне, - рассеянно отвечаю я.
Вадим заходит на кухню. Он нервничает и волнуется, будто не знает с чего начат...",https://rust.litnet.com/uploads/covers/120/1733753469_68.png,https://litnet.com/ru/book/vozmu-tebya-v-dolg-b427702,"Роман, Современный роман"
Янка Рам,Разбуди меня,"- Колясочник я теперь...Это непросто принять капитану спецназа, инструктору по выживанию Дмитрию Литвину. Особенно, когда невеста даёт заднюю, узнав, что ее ""богат...",https://rust.litnet.com/uploads/covers/120/1715171705_64.jpg,https://litnet.com/ru/book/vozmu-tebya-v-dolg-b427702,"Роман, Современный роман"
Марина Безрукова,"Он, Она и его тень","– Я не знала, - шевельнула она бледными губами. – Антон сказал, что разведен. Послезавтра мы собирались заявление подать…

Люся опустила голову, пегие пушис...",https://rust.litnet.com/uploads/covers/120/1749908933_17.jpg,https://litnet.com/ru/book/vozmu-tebya-v-dolg-b427702,"Роман, Современный роман"
Рина Беж,После измены счастье есть,"– Умеешь ты трагедию из ерунды сделать, – бросает муж.
– Измена законной супруге и секс с замужней женщиной, по-твоему, это ерунда?
– Ну что ты в бутылку лез...",https://rust.litnet.com/uploads/covers/120/1745323356_54.png,https://litnet.com/ru/book/vozmu-tebya-v-dolg-b427702,"Роман, Современный роман"
Наталья Юнина,"Все не так, как кажется","Радуйтесь, завистники! Кажется, я влюбился. Жаль, что пока только я. Ну ничего, дожмем. А если не дожмем, то украдем и все равно дожмем. Да, точно!

Присутствует нецензу...",https://rust.litnet.com/uploads/covers/120/1733259845_40.jpg,https://litnet.com/ru/book/vozmu-tebya-v-dolg-b427702,"Роман, Современный роман"
