author,title,annotation,img_url,book_url,genre
Резеда Ширкунова,Не оставляй меня!,"Дружеское расположение мальчика из приютского дома к девочке, которую считали ""бездушной,"" приводит к их бегству во имя спасения ее жизни и невинности. Счастливая в...",https://rust.litnet.com/uploads/covers/120/1668686562_22.jpg,https://litnet.com/ru/book/ne-ostavlyai-menya-b418083,"Фантастика, Альтернативная история"
Нора Ольвич,Я обязательно вернусь. Книга 1,"📚Книга Первая.

📚Вернуться в прошлое. Прожить заново жизнь, оказавшись в средневековье. Шестнадцатый век стал реальностью, отодвинув двадцать первый век на урове...",https://rust.litnet.com/uploads/covers/120/1742961777_38.jpg,https://litnet.com/ru/book/ne-ostavlyai-menya-b418083,"Фантастика, Альтернативная история"
Арина Теплова,Наследство с подвохом,"Привычная устроенная жизнь Руслана Мрачного рушится в один день.
Его, грозного инспектора Правопорядка, волшебника второй ступени, обвиняют в госизмене и лишают м...",https://rust.litnet.com/uploads/covers/120/1710584158_78.jpg,https://litnet.com/ru/book/ne-ostavlyai-menya-b418083,"Фантастика, Альтернативная история"
Дмитрий Найденов,Наследие Древних. Империя превыше всего. Книга третья.,"Империя пала. Но повсюду звучит: Да здравствует, Империя. Разорванная в клочья старыми аристократическими родами Древняя мощь Империи рушится, но под осколками это...",https://rust.litnet.com/uploads/covers/120/1658587741_73.jpg,https://litnet.com/ru/book/ne-ostavlyai-menya-b418083,"Фантастика, Альтернативная история"
Соня Темная,Ему принадлежу,"Мир изменился. Произошла катастрофа, поменявшая ход истории. К власти пришёл Легион, установив жестокие порядки. 
❤️Вестар - сын камергера, приближённого к Прави...",https://rust.litnet.com/uploads/covers/120/1610191051_24.png,https://litnet.com/ru/book/ne-ostavlyai-menya-b418083,"Фантастика, Альтернативная история"
Nivh,Иные Миры. Свой среди чужих. Том 1,"Наш современник попадает в тело подростка во времена царской России. Гибель его родителей окутана тайной, а за ним самим начинается самая настоящая охота... ...",https://rust.litnet.com/uploads/covers/120/1625217105_14.jpg,https://litnet.com/ru/book/ne-ostavlyai-menya-b418083,"Фантастика, Альтернативная история"
Мария Пилипенко,"То, что не купишь за деньги","В этом мире альтернативного будущего технологии достигли небывалых высот. Если у вас есть деньги, вы можете купить все! Комфортную жизнь, невероятные развлечения, ...",https://rust.litnet.com/uploads/covers/120/1630779020_66.jpg,https://litnet.com/ru/book/ne-ostavlyai-menya-b418083,"Фантастика, Альтернативная история"
Михалина Лесовская,Хомякус советикус- 1.3,"Вернулась в своё молодое тело, а привычки остались из прежней жизни: хапнуть побольше и хранить на ""черный"" день. Память хранит слишком много этих черных дней в исто...",https://rust.litnet.com/uploads/covers/120/1630187514_28.jpg,https://litnet.com/ru/book/ne-ostavlyai-menya-b418083,"Фантастика, Альтернативная история"
Бернад ,Колесо времен,"Народ, живущий в лесу, поклонялся Колесу. Один круг – один год, так оно вращалось – Колесо времен. Испокон веков светлые боги помогали, а темные силы испытывали люде...",https://rust.litnet.com/uploads/covers/120/1639301075_42.jpeg,https://litnet.com/ru/book/ne-ostavlyai-menya-b418083,"Фантастика, Альтернативная история"
Михалина Лесовская,Хомякус советикус- 1.4,"Высшая сущность позволила пожилой женщине вернуться в молодость, сохранив память и подарив неординарные способности. Нет задач менять мир. Живи и радуйся, обустра...",https://rust.litnet.com/uploads/covers/120/1630404170_17.jpg,https://litnet.com/ru/book/ne-ostavlyai-menya-b418083,"Фантастика, Альтернативная история"
Михалина Лесовская,Хомякус советикус- 1.8,"Описание каждого дня ГГ: проснулась, посуетилась и ушла в сон.Почти дневник....",https://rust.litnet.com/uploads/covers/120/1631212984_54.jpg,https://litnet.com/ru/book/ne-ostavlyai-menya-b418083,"Фантастика, Альтернативная история"
Михалина Лесовская,Хомякус советикус- 1.5,"Скучный производственный роман, почти дневник, с налётом магии. ГГ продолжает обустраивать  свою жизнь и не даёт скучать своим близким. ...",https://rust.litnet.com/uploads/covers/120/1630636523_76.jpg,https://litnet.com/ru/book/ne-ostavlyai-menya-b418083,"Фантастика, Альтернативная история"
Михалина Лесовская,Хомякус советикус- 1.6,"Скучный производственный роман, почти дневник, с налётом магии. ГГ продолжает обустраивать свою жизнь и не даёт скучать своим близким. ...",https://rust.litnet.com/uploads/covers/120/1630872444_86.jpg,https://litnet.com/ru/book/ne-ostavlyai-menya-b418083,"Фантастика, Альтернативная история"
Татьяна Всеволодовна Иванова,"Девушка, которая не сдается","Тайна может принести победу в войне, но Наташа умрет, если раскроет ее. Стоит ли рисковать, помогая человеку, который почти погубил ее однажды? Тому, кто пойдет на вс...",https://rust.litnet.com/uploads/covers/120/1630663265_17.jpg,https://litnet.com/ru/book/ne-ostavlyai-menya-b418083,"Фантастика, Альтернативная история"
Влад Молоков.,Там где мы вместе.,"Аннотация к книге ""Там где мы вместе""
Осень 1941 года. В преддверии битвы за Москву ГГ прилагает максимум усилий, что бы планы врага стали известны командованию РККА. О...",https://rust.litnet.com/uploads/covers/120/1618298574_7.png,https://litnet.com/ru/book/ne-ostavlyai-menya-b418083,"Фантастика, Альтернативная история"
"Джоан Мур, Витамина Мятная",Драконы Корнуолла 1,"♚ БЕСПЛАТНО ♚ Меня зовут Дарья, на Самайн я провалилась в иной мир. Меня приняли за другую, и выдали замуж. Здесь правят драконьеры. Не желая быть постельной игрушко...",https://rust.litnet.com/uploads/covers/120/1586249611_54.jpg,https://litnet.com/ru/book/ne-ostavlyai-menya-b418083,"Фантастика, Альтернативная история"
Зеленин Сергей,Я - Ангел. Часть первая: Под прикрытием.,"Сказать по правде – невероятно странный главный герой получился у автора! Попав в эпоху НЭПа и обнаружив её сходство с нашими «лихими 90-ми», он бежит с инфой об посл...",https://rust.litnet.com/uploads/covers/120/1609407617_75.jpg,https://litnet.com/ru/book/ne-ostavlyai-menya-b418083,"Фантастика, Альтернативная история"
Елена Истомина,Наследница Нави,"Моя участь решена задолго до моего рождения. Я должна выйти замуж за нелюдя со змеиным хвостом. Но, прежде родители отправляют меня в школу для Жрецов и Жриц Славянс...",https://rust.litnet.com/uploads/covers/120/1491932575_12.jpg,https://litnet.com/ru/book/ne-ostavlyai-menya-b418083,"Фантастика, Альтернативная история"
Дмитрий Жидков (Дроздовик),Русь православная против дикого поля (век тринадцатый),"Попав в страшную автомобильную аварию, волею судьбы, майор КГБ Дмитрий Гордеев перенесся в древнюю Русь. На дворе осень 1222 года. Совсем немного остается времени до ...",https://rust.litnet.com/uploads/covers/120/1615285657_4.jpg,https://litnet.com/ru/book/ne-ostavlyai-menya-b418083,"Фантастика, Альтернативная история"
Margaret VIP,Свет и тьма в одном флаконе-3,"Хотели бы вы перенестись в альтернативную реальность Магикса, где Валтору удалось победить Винкс в чудовищной битве не на жизнь, а на смерть? Что случится, если гла...",https://rust.litnet.com/uploads/covers/120/1731479251_19.jpg,https://litnet.com/ru/book/ne-ostavlyai-menya-b418083,"Фантастика, Альтернативная история"
Степан Кулик,"Операция ""Рокировка""","Продолжения приключений диверсионно-разведывательной группы ""Призрак"" в немецком тылу... В этот раз цель группы - секретный объект, на котором ученые из Аненербе ис...",https://rust.litnet.com/uploads/covers/120/1638339643_50.jpg,https://litnet.com/ru/book/operaciya-rokirovka-b375091,"Фантастика, Альтернативная история"
Ирина Тигиева,"(не) читайте, это – для ёжиков!","Драконы, превращающиеся в людей, девственницы, превращающиеся в попаданок, какие-то там ""Туманные Империи""... Всегда считала подобное ерундой. Но однажды... представь...",https://rust.litnet.com/uploads/covers/120/1602747642_32.png,https://litnet.com/ru/book/operaciya-rokirovka-b375091,"Фантастика, Альтернативная история"
Ellis dandelion ,Каверз Истинности,"Завершена ❄ Он слишком сладкий для омеги. Плод который хочеться сорвать и растоптать. Как выжить после того как тебя бросил твой истиный?

Новелла написана в жанре...",https://rust.litnet.com/uploads/covers/120/1640256287_93.png,https://litnet.com/ru/book/operaciya-rokirovka-b375091,"Фантастика, Альтернативная история"
Говда Олег Иосифович,"Позывной ""Леший"". Оружие возмездия","Ну, все как обычно... Упал, очнулся... А вокруг не наше время, а прошлое. Нравится, не нравится - а никуда не денешься. Война... Предупреждение! Сталину советов не даем, ко...",https://rust.litnet.com/uploads/covers/120/1644319836_45.jpg,https://litnet.com/ru/book/operaciya-rokirovka-b375091,"Фантастика, Альтернативная история"
Евгений Ильичев,Я - Помнящий,"Когда обладаешь бесконечным запасом времени, то начинаешь экспериментировать. Первое, что ты получаешь это деньги, власть и влияние... Но как долго это будет тебя ут...",https://rust.litnet.com/uploads/covers/120/1645819686_32.png,https://litnet.com/ru/book/operaciya-rokirovka-b375091,"Фантастика, Альтернативная история"
Олег Бард,Карфаген 2020. Восхождение,"Мир изменился. Боги делят сферы влияния, сильные мира сего дерутся за власть. Леон попадает в водоворот событий, не зная правил, но только он может остановить кровоп...",https://rust.litnet.com/uploads/covers/120/1612087353_35.jpg,https://litnet.com/ru/book/operaciya-rokirovka-b375091,"Фантастика, Альтернативная история"
Ника Иванова,Опалённый пламенем. Шаг по дороге мести. Книга четвёртая.,"Кот стал официально князем Разумовским, что потянуло за собой вереницу сенсаций. Аристократическое общество в один миг увидело в ранее неизвестном парн...",https://rust.litnet.com/uploads/covers/120/1607495946_31.png,https://litnet.com/ru/book/operaciya-rokirovka-b375091,"Фантастика, Альтернативная история"
