author,title,annotation,img_url,book_url,genre
Василий Ансимов,Вимейкер,"Первая треть ХХII века. Земля.
Прогресс сделал мир настолько комфортным и безопасным, что главной проблемой людей стала скука. В поисках новых развлечений они идут ...",https://rust.litnet.com/uploads/covers/120/1571053601_82.jpg,https://litnet.com/ru/book/vimeiker-b177444,"Фантастика, Антиутопия"
Искатель границ,Голод,"Двое в старой таверне на краю военных земель решили углубиться в прошлое умирающего мира. История одного из них рассказывает о том, какой ужасной силой человечеств...",https://rust.litnet.com/uploads/covers/120/1570645623_50.jpg,https://litnet.com/ru/book/vimeiker-b177444,"Фантастика, Антиутопия"
Анатолий Сигов,Генерал Свирский. Одесса 2031 год,"2031 год. Фактически идёт необъявленная третья мировая война. Это война севера против юга. Людей на Земле стало слишком много, а ресурсов для поддержания их жизни кат...",https://rust.litnet.com/uploads/covers/120/1570376794_82.jpg,https://litnet.com/ru/book/vimeiker-b177444,"Фантастика, Антиутопия"
Ольга Лисс,Профайл,"Далекое (или недалекое) будущее. Прогресс шагнул вперед так, что и представить невозможно. Обеспеченные родители могут запрограммировать для своего ребенка судьбу...",https://rust.litnet.com/uploads/covers/120/1567705144_84.jpg,https://litnet.com/ru/book/vimeiker-b177444,"Фантастика, Антиутопия"
Александр Уваров,Бардо дождя,"Действие повести происходит в две тысячи сто девяносто шестом году, на территории бывшей России.
Россия того времени – рыхлый конгломерат враждующих коммун, где д...",https://rust.litnet.com/uploads/covers/120/1584090638_27.jpg,https://litnet.com/ru/book/vimeiker-b177444,"Фантастика, Антиутопия"
Мирланда Ойтен,Нихилени,"Когда мир построил великий Прародитель, а его дети сделали его прекрасным. То было золотое время для человечества, пока не пришли те, кто разрушил мир и уничтожил др...",https://rust.litnet.com/uploads/covers/120/1664043825_4.png,https://litnet.com/ru/book/vimeiker-b177444,"Фантастика, Антиутопия"
Selena Moor,Между жизнью и смертью,Разве может убийца иметь свой счастливый финал? Можно изменить свою жизнь к лучшему и начать все сначала? Я попробую... ...,https://rust.litnet.com/uploads/covers/120/1554652454_13.jpeg,https://litnet.com/ru/book/vimeiker-b177444,"Фантастика, Антиутопия"
Виктор Лугинин,Селфи,"В недалёком будущем моральные и этические нормы рухнули под гнётом новых технологий...
Обычные туристы Линда и Грегори ищут острых ощущений. Они приехали в заброше...",https://rust.litnet.com/uploads/covers/120/1652436600_85.jpg,https://litnet.com/ru/book/vimeiker-b177444,"Фантастика, Антиутопия"
Дмитрий Осокинъ,Игры Свободной Воли,"""Игры Свободной Воли"" - вторая нравственная сказка под пару ""Месть Афродиты"". Эротики меньше, политоты больше. Действие происходит приблизительно в том же далеком ст...",https://rust.litnet.com/uploads/covers/120/1553343027_64.jpg,https://litnet.com/ru/book/vimeiker-b177444,"Фантастика, Антиутопия"
Гело Нипос,Надежда,Препарат «Новая жизнь» - великое открытие человечества. Чудодейственная формула способна навсегда улучшить интеллект и укрепить иммунитет. В связи с нехваткой ре...,https://rust.litnet.com/uploads/covers/120/1558797187_5.jpg,https://litnet.com/ru/book/vimeiker-b177444,"Фантастика, Антиутопия"
