author,title,annotation,img_url,book_url,genre
Денис Деев,Я – другой 5,"Отгремели великие битвы, отыграли победные марши! Но дальнейшая история человечества закрутилась в клубок, который почти невозможно распутать. 
Не можешь развяза...",https://rust.litnet.com/uploads/covers/120/1573449273_90.jpg,https://litnet.com/ru/book/ya-drugoi-5-b183854,"Фантастика, Боевая фантастика"
Антон Емельянов и Сергей Савинов,Мир Карика 10. Один за всех,"Кот смог на какое-то время вырваться из круговорота больших неприятностей, но его каникулы длились совсем недолго. Новые гости из внешних миров приходят не как вра...",https://rust.litnet.com/uploads/covers/120/1568581536_90.jpg,https://litnet.com/ru/book/ya-drugoi-5-b183854,"Фантастика, Боевая фантастика"
Денис Деев,Я – другой 4,"В моем теле коктейль из лучших генов матушки-Земли. Я бегаю быстрее гепарда, ныряю глубже кашалота, отращиваю потерянные конечности как ящерка и ем при этом за трех ...",https://rust.litnet.com/uploads/covers/120/1564982313_24.png,https://litnet.com/ru/book/ya-drugoi-5-b183854,"Фантастика, Боевая фантастика"
Антон Емельянов и Сергей Савинов,Мир Карика 9. Скрытая сила,"Мир изменился, и без Кота здесь не обошлось. Стихийные планы скрыты, пусть и не до конца, но даже самые могущественные воины и боги теперь вынуждены подстраиваться п...",https://rust.litnet.com/uploads/covers/120/1560752023_84.jpg,https://litnet.com/ru/book/ya-drugoi-5-b183854,"Фантастика, Боевая фантастика"
Сергей Кусков,Телохранитель её величества. Страна чудес,"Даже если тебе противостоят силы, справиться с которыми невозможно и теоретически, даже если тебя окружают люди, моральные императивы которых ты презираешь, главн...",https://rust.litnet.com/uploads/covers/120/1530348129_80.jpg,https://litnet.com/ru/book/ya-drugoi-5-b183854,"Фантастика, Боевая фантастика"
Катэр Вэй,"Мечты ""сбываются""...","Человек мечтает о смерти, когда потерял смысл своего существования. Он перестает быть самим собой и становится кем-то другим. Все жизненные ценности угасают и на их...",https://rust.litnet.com/uploads/covers/120/1547728740_28.jpg,https://litnet.com/ru/book/ya-drugoi-5-b183854,"Фантастика, Боевая фантастика"
Лаэндэл,Заханд. Аннексии,"Выжившие делят территории увеличивая кладбище за своей спиной. Амбициозные люди римской поступью двигаются к собственной цели, а Заханд возвращаться в военную ча...",https://rust.litnet.com/uploads/covers/120/1496227052_98.jpg,https://litnet.com/ru/book/ya-drugoi-5-b183854,"Фантастика, Боевая фантастика"
Antoine Vinorado,Перепутье: Начало после конца,"2114 год, эпоха Изобилия оканчивается высвобождением великих сил: древних богов и первородных энергий, меняющих привычный человеку мир до неузнаваемости. 
Адам, ста...",https://rust.litnet.com/uploads/covers/120/1673106010_26.png,https://litnet.com/ru/book/ya-drugoi-5-b183854,"Фантастика, Боевая фантастика"
Александр Демьянов,Долгая дорога домой,"Отдаленное будущее. Нейросети. Путь сироты из соцприюта начинается на одной из планет Конфедерации, где от смертника, до героя, порой - всего один шаг.



...",https://rust.litnet.com/uploads/covers/120/1522930551_24.png,https://litnet.com/ru/book/ya-drugoi-5-b183854,"Фантастика, Боевая фантастика"
Тим Мух,Падальщик,"Очутившись в новом мире, Михаил с первых минут столкнулся с расизмом и дискриминацией. Ему предъявили долг, с неимоверно высокой суммой, перед глазами маячит интер...",https://rust.litnet.com/uploads/covers/120/1567495873_90.jpg,https://litnet.com/ru/book/ya-drugoi-5-b183854,"Фантастика, Боевая фантастика"
Алексей Пыжов,Охота. Хранитель ключа,"Мир который является ""перекрестком"" дорог, ведущих…, или ранее существовавших между другими мирами.  При переходе по такой ""дороге"" наш герой теряет память о своей п...",https://rust.litnet.com/uploads/covers/120/1638004266_35.jpg,https://litnet.com/ru/book/ya-drugoi-5-b183854,"Фантастика, Боевая фантастика"
Алексей Зайцев,Девятый,"Беззаботная жизнь позади, впереди испытания, которые  пройдя ты сломаешься или станешь крепче алмаза. Впереди не только боль и кровь, но и любовь и крепкая дружба. В...",https://rust.litnet.com/uploads/covers/120/1538587764_78.jpg,https://litnet.com/ru/book/ya-drugoi-5-b183854,"Фантастика, Боевая фантастика"
Сереброса,Зов Арахны,"С первых дней службы Николай был убеждён, лучший способ сделать карьеру в Военно Космических Силах - стать лучшим во всём. Уметь больше, знать больше, чем другие. Но ...",https://rust.litnet.com/uploads/covers/120/1635527875_95.jpg,https://litnet.com/ru/book/ya-drugoi-5-b183854,"Фантастика, Боевая фантастика"
Андрей Царёв,Выживальщики. Конец игры,"Продолжение романа ""Игры выживальщиков"". Книга закончена в 2020 году. К сожалению, на данном ресурсе пока нет возможности выложить её полностью, так как автор жлоб и н...",https://rust.litnet.com/uploads/covers/120/1642315438_98.jpg,https://litnet.com/ru/book/ya-drugoi-5-b183854,"Фантастика, Боевая фантастика"
Анатолий Зеру,Граница реальности. Универсал.,"Система? Что ещё за Система такая?
Алексей Сотников попадает в другой мир, где ему прихдиться стать воином по защите существующей реальности от порождений Хаоса. В...",https://rust.litnet.com/uploads/covers/120/1636133316_86.png,https://litnet.com/ru/book/ya-drugoi-5-b183854,"Фантастика, Боевая фантастика"
Дмитрий Палеолог,Кибер - реликт,"Неприятности всегда появляются когда их не ждешь. Грузовой рейдер Олега Тумановского уже преодолел поле астероидов, когда каменный обломок ударил в двигательные ...",https://rust.litnet.com/uploads/covers/120/1539867871_16.jpg,https://litnet.com/ru/book/ya-drugoi-5-b183854,"Фантастика, Боевая фантастика"
Степан Кулик,Ледяная синева,"2140 год. Сегодня еще мирное небо над головами и кажется, так будет всегда. Но из глубин Космоса уже надвигаются другие. Эннэми. Враги. Но, прежде чем вступить в бой с за...",https://rust.litnet.com/uploads/covers/120/1637483375_11.jpg,https://litnet.com/ru/book/ya-drugoi-5-b183854,"Фантастика, Боевая фантастика"
Борис Нефёдов,В лето 6746  от сотворения мира,"Долг есть долг. Именно ему, отставнику и пенсионеру, у которого, казалось бы, уже прожита вся его «боевая» жизнь, надлежит направиться в Новгород XIII века и, преодолев...",https://rust.litnet.com/uploads/covers/120/1574267864_30.jpg,https://litnet.com/ru/book/ya-drugoi-5-b183854,"Фантастика, Боевая фантастика"
Евгений Косенков (Sib333),Товарищ Миша,"Нигде не работающий молодой парень идёт с ""друзьями"" в ночной клуб, напивается и внезапно оказывается в июне 1941 года под Минском на сборном пункте. Ничего не умеющий...",https://rust.litnet.com/uploads/covers/120/1554182688_20.jpg,https://litnet.com/ru/book/ya-drugoi-5-b183854,"Фантастика, Боевая фантастика"
Денис Петриков,Время для стали,"Ты - Сталкер. Весьма востребованная профессия в культовой тактической FPS полного погружения ""Противостояние"". Более того, ты один из лучших в своём классе. Но чего ты...",https://rust.litnet.com/uploads/covers/120/1577821534_19.jpg,https://litnet.com/ru/book/ya-drugoi-5-b183854,"Фантастика, Боевая фантастика"
Андрей Архипов,Второй хранитель. Антагонист,"На Райский кластер, где Хранитель Фаза предпринята мощная атака.Муры уничтожают поселения имунных, элиту в Карусели сметает орда тварей.  Враги получают, наконец - ...",https://rust.litnet.com/uploads/covers/120/1501426653_90.jpg,https://litnet.com/ru/book/vtoroi-hranitel-antagonist-b29064,"Фантастика, Боевая фантастика"
Теил,Закон войны книга I,"Уже долгие годы идёт война, захватившая множество планетарных систем. Разные народы воюют за выживание и господство в Большом космосе. В её огне исчезает даже то, с ...",https://rust.litnet.com/uploads/covers/120/1557253537_5.jpg,https://litnet.com/ru/book/vtoroi-hranitel-antagonist-b29064,"Фантастика, Боевая фантастика"
Крис Кельм,Попавшие 3,"Их стало меньше, но проблем после этого не убавилось. Жизнь шла по принципу: как бы плохо ни было, всегда может стать еще хуже. Хотя на первых порах все, вроде бы, нач...",https://rust.litnet.com/uploads/covers/120/1735992707_18.png,https://litnet.com/ru/book/vtoroi-hranitel-antagonist-b29064,"Фантастика, Боевая фантастика"
Александр Казанцев,"Пустоши Альтерры, книга 1","Планета Альтерра — мир, где дороги решают всё. Три города-крепости — Альдена, Вулканис и Крегор — связаны огромным шоссе, единственным способом поддерживат...",https://rust.litnet.com/uploads/covers/120/1744195296_5.png,https://litnet.com/ru/book/vtoroi-hranitel-antagonist-b29064,"Фантастика, Боевая фантастика"
Александр Воробьев,Огненное небо,"Фрегат космического флота «Церам» единственным выжил в сражении с неведомым человечеству врагом из системы Аспайр. Тайные мечты Анри Беллара сбываются, но принес...",https://rust.litnet.com/uploads/covers/120/1734776081_50.jpg,https://litnet.com/ru/book/vtoroi-hranitel-antagonist-b29064,"Фантастика, Боевая фантастика"
Денис Петриков,13 уровень,"Добропорядочные граждане обязаны:
- При обнаружении портала ведущего на другой уровень реальности, немедленно сообщить о находке в СОБИК.
- В случае отсутствия сре...",https://rust.litnet.com/uploads/covers/120/1704398722_56.jpg,https://litnet.com/ru/book/vtoroi-hranitel-antagonist-b29064,"Фантастика, Боевая фантастика"
Анна Ахрем ,Черт меня знает,"БЕСПЛАТНО. Когда мирный договор был уже подписан, чертяка спросил, не желает ли Его Высочество что-нибудь еще. Батюшка почесал репу и выдал, мол, вы демоны шляетесь п...",https://rust.litnet.com/uploads/covers/120/1673174754_88.jpg,https://litnet.com/ru/book/vtoroi-hranitel-antagonist-b29064,"Фантастика, Боевая фантастика"
Владимир Комаров (Vladkom),Наездник,Ну я и упал - на самое дно! Ниже некуда! Впереди мрак и безнадега. И только одно утешает меня - установленный адаптационо - симбиотический комплекс «Наездник».Это пер...,https://rust.litnet.com/uploads/covers/120/1654170349_45.jpg,https://litnet.com/ru/book/vtoroi-hranitel-antagonist-b29064,"Фантастика, Боевая фантастика"
Влад Туманов,Цербер. Перерождение,"Когда-то я был грозой всех низших демонов и заблудших смертных душ. Я наслаждался своим законным троном на месте стража третьего круга ада, нося гордое имя — Цербер...",https://rust.litnet.com/uploads/covers/120/1680096128_72.jpg,https://litnet.com/ru/book/vtoroi-hranitel-antagonist-b29064,"Фантастика, Боевая фантастика"
Сергей Котов,Наблюдатель,"Возможность жить, где угодно, не думая о работе и документах. Возможность путешествовать столько, сколько вздумается. Возможность знать то, что недоступно другим. П...",https://rust.litnet.com/uploads/covers/120/1749277440_93.png,https://litnet.com/ru/book/vtoroi-hranitel-antagonist-b29064,"Фантастика, Боевая фантастика"
Igor  Vlasov,Стажер,"До очередного отпуска стажеру Космической Курьерской Службы Нику Соболеву остаются считанные дни, когда он получает задание доставить ценный груз на исследовате...",https://rust.litnet.com/uploads/covers/120/1489419396_51.jpg,https://litnet.com/ru/book/vtoroi-hranitel-antagonist-b29064,"Фантастика, Боевая фантастика"
Сергей Котов,Шестой Океан,"Спасая похищенные документы на миллионы долларов, можно пойти на многое. Даже сесть на первый попавшийся самолёт, нарушив все мыслимые правила. Вот только не всегд...",https://rust.litnet.com/uploads/covers/120/1749276912_83.png,https://litnet.com/ru/book/vtoroi-hranitel-antagonist-b29064,"Фантастика, Боевая фантастика"
Владимир Комаров (Vladkom),Пока ты спишь - враг качается. Без ограничений. Наездник 3,"Войска Великого Вала на Земле разбиты и бегут. Стас в плену. Система наступает по всем фронтам. Ситуация - хуже некуда...

ВНИМАНИЕ! Это третья книга цикла ""Наездник""...",https://rust.litnet.com/uploads/covers/120/1626672993_84.jpg,https://litnet.com/ru/book/vtoroi-hranitel-antagonist-b29064,"Фантастика, Боевая фантастика"
