author,title,annotation,img_url,book_url,genre
Адель Хайд,Анастасия. Последняя княжна,"Призёр конкурса ""Наследники империи""
https://litnet.com/shrt/rGDc
Твоя жизнь прервалась неожиданно и её жизнь оборвали, но она не хотела больше жить, а ты не готова была уми...",https://rust.litnet.com/uploads/covers/120/1724703286_89.png,https://litnet.com/ru/book/anastasiya-poslednyaya-knyazhna-b491078,"Фантастика, Бояръ-аниме"
Юки,Анна. Последняя надежда рода,"Я последняя из рода – наследница без памяти. И моему роду грозит гибель.
Моей последней надеждой стал внезапно проснувшийся дар, из-за которого пришлось отправит...",https://rust.litnet.com/uploads/covers/120/1742005035_23.jpg,https://litnet.com/ru/book/anastasiya-poslednyaya-knyazhna-b491078,"Фантастика, Бояръ-аниме"
Дана Данберг,Темная княжна Империи 3,"Алиса успешано окончила школу в Перми и поступила, как и планировала, в Академию Госбезопаности. Но дадут ли ей спокойно учиться? 

Мало того, что навесили дополни...",https://rust.litnet.com/uploads/covers/120/1748167672_92.jpg,https://litnet.com/ru/book/anastasiya-poslednyaya-knyazhna-b491078,"Фантастика, Бояръ-аниме"
Михаил Липарк,Коллекционер душ. Книга 2,"Константин Ракицкий получил шанс заново прожить жизнь в теле десятилетнего мальчика. В альтернативных 90-х, где есть магия, аристократы и мир за завесой.

Теперь ему ...",https://rust.litnet.com/uploads/covers/120/1677688157_90.jpg,https://litnet.com/ru/book/anastasiya-poslednyaya-knyazhna-b491078,"Фантастика, Бояръ-аниме"
Михаил Липарк,Коллекционер душ. Книга 1,"Я погиб и вернулся в своё тело. В тело ребенка, который рос в 90-е. Вокруг все мои друзья, ещё живые мать и сестра. И, конечно, шанс все изменить. Вот только теперь я мелк...",https://rust.litnet.com/uploads/covers/120/1677578138_51.jpg,https://litnet.com/ru/book/anastasiya-poslednyaya-knyazhna-b491078,"Фантастика, Бояръ-аниме"
Нина Ахминеева,Боярышня. Дар ведьмы,"Что может быть хуже, чем погибнуть в родном мире?
Очнуться в теле юной боярышни и услышать, что изгнана из рода.
Теперь меня зовут Александра. У меня нет друзей, нет д...",https://rust.litnet.com/uploads/covers/120/1748874772_31.jpg,https://litnet.com/ru/book/anastasiya-poslednyaya-knyazhna-b491078,"Фантастика, Бояръ-аниме"
Лана Волкова ,Делари. Ловушка для наследницы,"В Академии Радайн безопасно, говорили они. Кровная вражда под запретом, говорили они. Магическая защита, говорили они.

Я и доехать не успела, как вместо учебы рухнул...",https://rust.litnet.com/uploads/covers/120/1735478535_28.jpg,https://litnet.com/ru/book/anastasiya-poslednyaya-knyazhna-b491078,"Фантастика, Бояръ-аниме"
Михаил Липарк,Коллекционер душ. Книга 3,"В мире альтернативных 90х, куда ребенком вернулся Костя Ракицкий, порталы теперь открываются не только в комендантский час. Мутанты пробираются из-за завесы и угрож...",https://rust.litnet.com/uploads/covers/120/1677834967_57.jpg,https://litnet.com/ru/book/anastasiya-poslednyaya-knyazhna-b491078,"Фантастика, Бояръ-аниме"
Ксения Ос,Барышня с подвохом или выжить любой ценой,"умереть и очнуться в теле увечной девочки чей род полностью погиб, а опекун потеряв надежду на то, что вложение принесет выгоду выкинул на улицу? не беда! что там у н...",https://rust.litnet.com/uploads/covers/120/1745929141_67.jpg,https://litnet.com/ru/book/anastasiya-poslednyaya-knyazhna-b491078,"Фантастика, Бояръ-аниме"
Нина Ахминеева,Попаданка,"Внимание. Это женская боярка!

Прошлого больше нет. Я в чужом теле и в другом мире. Словно этого мало, теперь я еще и восемнадцатилетняя глава дворянского рода.
Местн...",https://rust.litnet.com/uploads/covers/120/1728701318_25.jpg,https://litnet.com/ru/book/anastasiya-poslednyaya-knyazhna-b491078,"Фантастика, Бояръ-аниме"
Карина Демина,Громов: Хозяин теней. 3,"Продолжаем приключения Савелия Громова в магически-альтернативной России.
...",https://rust.litnet.com/uploads/covers/120/1736167183_29.jpg,https://litnet.com/ru/book/anastasiya-poslednyaya-knyazhna-b491078,"Фантастика, Бояръ-аниме"
Карина Демина,Громов: Хозяин теней,"Савелий Громов не привык сдаваться. Даже если шансов нет, приговор озвучен и смерть давно обосновалась в его палате. Если есть хоть крохотный шанс выжить, он его исп...",https://rust.litnet.com/uploads/covers/120/1725693279_87.jpg,https://litnet.com/ru/book/anastasiya-poslednyaya-knyazhna-b491078,"Фантастика, Бояръ-аниме"
Александр Зимовец,Дуэльный сезон,"Раз в два года в Маринбурге объявляется дуэльный сезон. Это время мести и смерти, подвигов и интриг.

Даша приехала сюда, потому что больше в ее жизни ничего не оста...",https://rust.litnet.com/uploads/covers/120/1728143441_65.jpg,https://litnet.com/ru/book/anastasiya-poslednyaya-knyazhna-b491078,"Фантастика, Бояръ-аниме"
Полина Змееяд (Аманда Франкон),Хрущевка княжны Соколовской #3,"Счастье казалось таким близким, но рассеялось как дым, когда я узнала правду: тот, за кого я едва не вышла замуж, стоял за переделом капитала и другими несчастьями мо...",https://rust.litnet.com/uploads/covers/120/1749654834_62.png,https://litnet.com/ru/book/anastasiya-poslednyaya-knyazhna-b491078,"Фантастика, Бояръ-аниме"
Полина Змееяд (Аманда Франкон),Хрущевка княжны Соколовской #2,"Едва успела отбить сестру от назойливого жениха, как в ближайшем будущем появилась перспектива самой выйти за жадного старика из-за огромного долга. Я по-прежнему ...",https://rust.litnet.com/uploads/covers/120/1741621745_75.png,https://litnet.com/ru/book/anastasiya-poslednyaya-knyazhna-b491078,"Фантастика, Бояръ-аниме"
Карина Демина,Громов: Хозяин теней. 2,"Савелий Громов не привык сдаваться. Даже если шансов нет, приговор озвучен и смерть давно обосновалась в его палате. Если есть хоть крохотный шанс выжить, он его исп...",https://rust.litnet.com/uploads/covers/120/1730091754_16.jpg,https://litnet.com/ru/book/anastasiya-poslednyaya-knyazhna-b491078,"Фантастика, Бояръ-аниме"
Ксения Ос,Барышня с подвохом или гонка на выживание продолжается,"Приключения Надежды продолжаются. Теперь она не безродная несовершеннолетняя девочка, а Глава Рода, который надо не только сохранить, но и возродить и привести к п...",https://rust.litnet.com/uploads/covers/120/1745942211_8.png,https://litnet.com/ru/book/anastasiya-poslednyaya-knyazhna-b491078,"Фантастика, Бояръ-аниме"
Андрей Ефремов,Б.А.Г. Книга четвёртая,Враг сделал свой ход. Ткань мироздания истончена. Мир начал стремительно меняться. Перед молодым монархом Белоземья стоит множество задач и самая главная из них – ...,https://rust.litnet.com/uploads/covers/120/1736195816_54.jpg,https://litnet.com/ru/book/anastasiya-poslednyaya-knyazhna-b491078,"Фантастика, Бояръ-аниме"
Михаил Липарк,Коллекционер душ. Книга 4,"Уже несколько месяцев Костя Ракицкий живет в мире альтернативных 90-х и учится в школе для одаренных.

Совсем недавно он узнал, что является одним из темных. Теперь е...",https://rust.litnet.com/uploads/covers/120/1678693767_95.jpg,https://litnet.com/ru/book/anastasiya-poslednyaya-knyazhna-b491078,"Фантастика, Бояръ-аниме"
Полина Змееяд (Аманда Франкон),Хрущевка княжны Соколовской,"Нормальные попаданки в княжон получают в придачу мужа-дракона или, на худой конец, старый особняк. Мне же достались две юные сестры, пустой кошелек, старая хрущевка ...",https://rust.litnet.com/uploads/covers/120/1739187357_14.png,https://litnet.com/ru/book/anastasiya-poslednyaya-knyazhna-b491078,"Фантастика, Бояръ-аниме"
Михаил Липарк,Узурпатор. Война кланов. Том 2,"ЦИКЛ ЗАВЕРШЕН!
__________________________
Во время Переплетения Миров я потерял свою дочь. Потом стал охотником на демонов и чтобы отыскать ее вмешался в грязные дела аристокра...",https://rust.litnet.com/uploads/covers/120/1713685069_63.jpg,https://litnet.com/ru/book/uzurpator-voina-klanov-tom-2-b473543,"Фантастика, Бояръ-аниме"
Михаил Липарк,Узурпатор. Переплетение миров. Том 1,"ЦИКЛ ЗАВЕРШЕН!
_________________________________
Все шло по одному месту, когда мой привычный мир перетряхнуло. Появилась магия, монстры, демоны и другие формы жизни. Теперь я охотн...",https://rust.litnet.com/uploads/covers/120/1708808871_29.jpg,https://litnet.com/ru/book/uzurpator-voina-klanov-tom-2-b473543,"Фантастика, Бояръ-аниме"
Коварный Светляк,Вершина мира (книга 7),"Одна случайность. И одна нечаянно поведанная история. Только такие вещи могут открыть глаза или заманить в ловушку.
На вершине мира свой хозяин и свои правила.

 

Кн...",https://rust.litnet.com/uploads/covers/120/1749574042_4.png,https://litnet.com/ru/book/uzurpator-voina-klanov-tom-2-b473543,"Фантастика, Бояръ-аниме"
Шигуре Тоу,Владыка голубого кристалла,"Он умер. Было очень больно, страшно, и сталось совсем уж непонятно, когда Дарий вновь обрел способность дышать. Он открыл глаза в новом теле и новом для себя мире, но ...",https://rust.litnet.com/uploads/covers/120/1740511371_40.jpg,https://litnet.com/ru/book/uzurpator-voina-klanov-tom-2-b473543,"Фантастика, Бояръ-аниме"
Наталья Алфёрова,"Авдотья, дочь купеческая","Складно да ладно течёт жизнь Авдотьи, дочери купца-миллионщика из Ярославля. Дар магический сильный. Образование не абы какое получено, а в институте для девиц благ...",https://rust.litnet.com/uploads/covers/120/1742999498_8.jpg,https://litnet.com/ru/book/uzurpator-voina-klanov-tom-2-b473543,"Фантастика, Бояръ-аниме"
Глория Эймс,Секрет княжны Романовской,"Взрыв в лаборатории отправил меня в прошлое. Здесь я — чудом выжившая княжна, которая вот-вот выйдет замуж. Но прошлое это принадлежит иному миру, здесь властвует...",https://rust.litnet.com/uploads/covers/120/1724074279_99.png,https://litnet.com/ru/book/uzurpator-voina-klanov-tom-2-b473543,"Фантастика, Бояръ-аниме"
Марина Дунаева ,Иван дурак царский сын,"Иван, живет на улицах Московии жизнью беспризорника, единственным желанием которого выжить. Пока за ним не начинается настоящая охота, тех кто знает о его настояще...",https://rust.litnet.com/uploads/covers/120/1744986608_47.png,https://litnet.com/ru/book/uzurpator-voina-klanov-tom-2-b473543,"Фантастика, Бояръ-аниме"
Виктор Викторов,Андер. Книга первая,"Мир, где власть сосредоточена в руках аристократов. Мир, который неуловимо похож на мой, за одним исключением – здесь властвует Магия. Я умер в мире своём, но здесь о...",https://rust.litnet.com/uploads/covers/120/1706430983_74.png,https://litnet.com/ru/book/uzurpator-voina-klanov-tom-2-b473543,"Фантастика, Бояръ-аниме"
Сумасшедший Писака,Агент Коловрат. Рождение Легенды,"Черновик Анотации:
Война с Серыми в самом разгаре. Еще ничего не закончилось. Скорее только началось. Не успел я отойти от предыдущей гонки со смертью, как получил п...",https://rust.litnet.com/uploads/covers/120/1746306111_82.png,https://litnet.com/ru/book/uzurpator-voina-klanov-tom-2-b473543,"Фантастика, Бояръ-аниме"
Валерий Чащин,Мастер...,"Он здесь чужой. Он остался один. Он раньше нигде не бывал кроме своих гор. Он мастер-целитель в мире боевой магии.
Молодой парень, живущий в маленьком всеми забытом г...",https://rust.litnet.com/uploads/covers/120/1727151413_43.png,https://litnet.com/ru/book/uzurpator-voina-klanov-tom-2-b473543,"Фантастика, Бояръ-аниме"
Дмитрий Лим,Выбор Алессы,"Жизнь Алессы текла по накатанной колее: работа, дом, семья – тихая гавань без бурь и открытий. Пока не нагрянула безжалостная болезнь. Отчаявшись, она ухватилась ...",https://rust.litnet.com/uploads/covers/120/1750220819_47.jpg,https://litnet.com/ru/book/uzurpator-voina-klanov-tom-2-b473543,"Фантастика, Бояръ-аниме"
Валерий Чащин,Мастер 8,"Приключения целителя Алекса Рателя продолжаются и теперь уже даже не на Саарде, а в других мирах. Проблемы множатся и иногда совсем неожиданно выходят на совсем др...",https://rust.litnet.com/uploads/covers/120/1739767810_11.png,https://litnet.com/ru/book/uzurpator-voina-klanov-tom-2-b473543,"Фантастика, Бояръ-аниме"
Василиса Мельницкая,Дочь врага Российской империи. Гимназистка,"Меня сожгли на костре в мире, где одаренные магией вне закона. Однако богам выгодно, чтобы я начала новую жизнь: в другом измерении, в другом теле.
Теперь я дочь госуд...",https://rust.litnet.com/uploads/covers/120/1736677238_17.jpg,https://litnet.com/ru/book/uzurpator-voina-klanov-tom-2-b473543,"Фантастика, Бояръ-аниме"
Валерий Чащин,Мастер 7,"Приключения целителя Алекса Рателя продолжаются и теперь уже даже не на Саарде, а в других мирах. Он продолжает разбираться и вникать, чем отличаются более развиты...",https://rust.litnet.com/uploads/covers/120/1734410938_81.png,https://litnet.com/ru/book/uzurpator-voina-klanov-tom-2-b473543,"Фантастика, Бояръ-аниме"
Каори Треми,Кухарка его Величества,"Последнее время мне катастрофически не везло, и я решила сходить к ведьме, чтоб она помогла мне с удачей. Но, кажется, колдунья что-то перепутала, и когда я выпила д...",https://rust.litnet.com/uploads/covers/120/1731767987_82.jpg,https://litnet.com/ru/book/uzurpator-voina-klanov-tom-2-b473543,"Фантастика, Бояръ-аниме"
Валерий Чащин,Мастер 3,"Приключения мастера-целителя Алекса Рателя продолжаются и теперь уже не только в столице, и даже не в ее окрестностях. И вроде бы жизнь налаживается, завязываются с...",https://rust.litnet.com/uploads/covers/120/1730523188_77.png,https://litnet.com/ru/book/uzurpator-voina-klanov-tom-2-b473543,"Фантастика, Бояръ-аниме"
Валерий Чащин,Мастер 2,"Приключения мастера-целителя Алекса Рателя в столице продолжаются. Он еще пока не знает и не подозревает, что некоторые произнесенные даже походя слова, могут мате...",https://rust.litnet.com/uploads/covers/120/1730435972_60.png,https://litnet.com/ru/book/uzurpator-voina-klanov-tom-2-b473543,"Фантастика, Бояръ-аниме"
