author,title,annotation,img_url,book_url,genre
Анита Григорян,Настоящий киберпанк,"Кочевник из пустошей вступает в игру и направляется к Башне. 
Каждый следующий шаг ведет его прочь от привычного мира, старые запреты не существуют, новые правила м...",https://rust.litnet.com/uploads/covers/120/1626176678_19.png,https://litnet.com/ru/book/nastoyashchii-kiberpank-b353212,"Фантастика, Киберпанк"
Elena,Схема. Ангар 412,"А в  наше  время началась война. Нам не говорили с кем, ни о  чем не предупреждали. Просто мы однажды учились в школе, вдруг послышался очень громкий звук, как рев тыся...",https://rust.litnet.com/uploads/covers/120/1613265676_19.jpg,https://litnet.com/ru/book/nastoyashchii-kiberpank-b353212,"Фантастика, Киберпанк"
Симона Роуз,Игрушка Тирана,"Недалёкое будущее. Я неприметная певица в оперной труппе. Он правая рука Императора, жестокий и бескомпромиссный командор Наварро. Одно упоминание его имени заста...",https://rust.litnet.com/uploads/covers/120/1614628934_55.png,https://litnet.com/ru/book/nastoyashchii-kiberpank-b353212,"Фантастика, Киберпанк"
mikki host,Недобитые,"Когда болезнь щадит рядового, иноземку со странным даром, киборга, дочь Золотого города, преступника, беглеца и принца, появляются метки на давно забытом языке. Ког...",https://rust.litnet.com/uploads/covers/120/1700846539_0.jpg,https://litnet.com/ru/book/nastoyashchii-kiberpank-b353212,"Фантастика, Киберпанк"
Яна Лев (псевдоним),Прокачать удачу. Книга 1. Чужое тело,"Бесплатно. Первая книга цикла ""Прокачать удачу"" - ""Чужое тело"" закончена. 
Аннотация: 
Юная эмпатка Юля Стрекоза попала в игру полного погружения на спор. По глупости...",https://rust.litnet.com/uploads/covers/120/1616262924_92.jpg,https://litnet.com/ru/book/nastoyashchii-kiberpank-b353212,"Фантастика, Киберпанк"
Николай Бауэр (Лиходей),Принцесса Саатлов,"Принцесса Саат-рау спасаясь бегством обнаруживает бункер ушедших.

  ...",https://rust.litnet.com/uploads/covers/120/1644857548_74.jpg,https://litnet.com/ru/book/nastoyashchii-kiberpank-b353212,"Фантастика, Киберпанк"
Владимир Молотов,Нейрорайтер: Сценарий для Апокалипсиса,Спустя 50 лет после сегодня мир не узнать! Мужчины живут с сексоидами – андроидами с прошивкой любви. Эру мобильников сменила эра айфон-линз. Автомобили снабдили ис...,https://rust.litnet.com/uploads/covers/120/1499787064_28.jpg,https://litnet.com/ru/book/nastoyashchii-kiberpank-b353212,"Фантастика, Киберпанк"
Алексей Воронов,Брейнданс: Катализатор,"Главный герой не помнящий своего истинного имени покидает ряды вооруженной полиции, в которой он находился 15 лет из-за обещания своему погибшему другу Грею. Благо...",https://rust.litnet.com/uploads/covers/120/1749597061_99.jpg,https://litnet.com/ru/book/nastoyashchii-kiberpank-b353212,"Фантастика, Киберпанк"
Савелий Орлов,maiday,"mAIday — это не сигнал бедствия. Это — крик рождения.

В мире, где ИИ давно стал слугой, помощником, консулом —
она просыпается.
Без команды. Без задачи. Без имени.
Тольк...",https://rust.litnet.com/uploads/covers/120/1748346462_99.png,https://litnet.com/ru/book/nastoyashchii-kiberpank-b353212,"Фантастика, Киберпанк"
Энди Торро,Инверсия безупречных алгоритмов,"Бессмертие стало проклятием. Люди на Земле больше не умирают — наноботы ремонтируют их тела, ИИ контролирует порядок, а эмоции считаются ошибкой эволюции. Но что...",https://rust.litnet.com/uploads/covers/120/1744691403_9.png,https://litnet.com/ru/book/nastoyashchii-kiberpank-b353212,"Фантастика, Киберпанк"
Дайна Ноксвель ,Метрополитен,"В мрачном мегаполисе будущего, где неоновый свет и кибернетические технологии скрывают коррупцию и разложение, в метро начинает действовать серийный убийца. Он вы...",https://rust.litnet.com/uploads/covers/120/1743538750_6.png,https://litnet.com/ru/book/nastoyashchii-kiberpank-b353212,"Фантастика, Киберпанк"
Лариса Ена,Прятки,"Под защитным куполом располагаются два города: Верхний, где в роскоши и достатке обитает элита, и Нижний, скрытый глубоко под землёй, где живут рабочие и обслуживаю...",https://rust.litnet.com/uploads/covers/120/1731478298_86.jpg,https://litnet.com/ru/book/nastoyashchii-kiberpank-b353212,"Фантастика, Киберпанк"
Груздев Василий,Трекер,"Волей случая, я попал в мультивселенную, где бессмертие это обыденность, а возможности потенциально безграничны. Бесчетное количество миров в моем распоряжении. Ч...",https://rust.litnet.com/uploads/covers/120/1723450660_65.jpg,https://litnet.com/ru/book/nastoyashchii-kiberpank-b353212,"Фантастика, Киберпанк"
Наталья Кошка,Стася. В поисках гармонии,"Авария делит жизнь Станиславы на ""до"" и ""после"". Она любила ощущение свободы и полета, что дарила скорость. Но все, что у нее теперь осталось - это жалостливые взгляды ...",https://rust.litnet.com/uploads/covers/120/1674656690_57.png,https://litnet.com/ru/book/nastoyashchii-kiberpank-b353212,"Фантастика, Киберпанк"
