author,title,annotation,img_url,book_url,genre
Юлия Марлин,Искра для звёздного генерала,"Очнуться в теле служанки богатой Госпожи, владелицы маленькой песчаной планеты - то еще удовольствие. Гораздо хуже, когда на тебя внезапно обращают внимание сразу ...",https://rust.litnet.com/uploads/covers/120/1742896826_65.png,https://litnet.com/ru/book/iskra-dlya-zvezdnogo-generala-b475660,"Фантастика, Космическая фантастика"
Мира Влади,Землянка для звёздных генералов,"– И далеко ли ты собралась? – вздрогнула, когда сильная рука Раннара поймала меня за талию, притягивая к мощному торсу.
– Пусти! – попыталась вырваться.
– Она наив...",https://rust.litnet.com/uploads/covers/120/1711603487_71.jpg,https://litnet.com/ru/book/iskra-dlya-zvezdnogo-generala-b475660,"Фантастика, Космическая фантастика"
Ольга Грон,"Трое в шаттле, не считая землянки","Мой муж оказался не принцем на сверкающем звездолете, а наглым изменщиком. Но я не ожидала, что его любовница подставит меня по полной.
И вот я на спасательном шаттл...",https://rust.litnet.com/uploads/covers/120/1711314454_82.jpg,https://litnet.com/ru/book/iskra-dlya-zvezdnogo-generala-b475660,"Фантастика, Космическая фантастика"
Марк Качим,"Мы, рейнджеры","Таинственный город рассекателей оправдал ожидания: заброшенный, запущенный и полный тайн. Разгадать эти тайны, возможно, куда проще, чем решить, что с ними делать п...",https://rust.litnet.com/uploads/covers/120/1681277635_6.jpg,https://litnet.com/ru/book/iskra-dlya-zvezdnogo-generala-b475660,"Фантастика, Космическая фантастика"
Нелли Штерн,Погасшие звезды Ахирона,"Исчезновение боевых крейсеров в различных частях галактики всерьез озаботило не только инопланетников, но и Федерацию Независимых Планет. Ни одного сигнала о пом...",https://rust.litnet.com/uploads/covers/120/1666984646_21.jpg,https://litnet.com/ru/book/iskra-dlya-zvezdnogo-generala-b475660,"Фантастика, Космическая фантастика"
Эя Фаль ,Госпожа Чудо-Юдо,"⭐3021 год н.э⭐
Раз в жизни житель Земли может прийти в Межпланетариум и бесплатно попасть на любую планету. Программа учитывает всё, от климата до генетики. Можно вы...",https://rust.litnet.com/uploads/covers/120/1708224837_61.jpg,https://litnet.com/ru/book/iskra-dlya-zvezdnogo-generala-b475660,"Фантастика, Космическая фантастика"
Tina Ri,Предначертано судьбой,"Мы часто не придаем значение словам ""предопределение"" или ""судьба"", пока нас самих не настигнет такая реальность.Так была предопределена судьба Каэтамирна и Амиры.
...",https://rust.litnet.com/uploads/covers/120/1592691454_58.png,https://litnet.com/ru/book/iskra-dlya-zvezdnogo-generala-b475660,"Фантастика, Космическая фантастика"
Екатерина Ровская,Симбионт 3: Секрет Терры,При падении на загадочную планету мои спутники отделались лишь испугом и мелкими травмами. Чего не скажешь обо мне самой. Почти две недели я провалялась в беспамят...,https://rust.litnet.com/uploads/covers/120/1745429489_73.png,https://litnet.com/ru/book/iskra-dlya-zvezdnogo-generala-b475660,"Фантастика, Космическая фантастика"
Линда Осборн,Космический экзамен для землянки,"🚀Курсанты Академии Межмировых отношений не могут сдавать экзамены в одиночестве. Мне не повезло – я лишился второго пилота, и пришлось взять с собой на испытания ...",https://rust.litnet.com/uploads/covers/120/1739437259_10.jpg,https://litnet.com/ru/book/iskra-dlya-zvezdnogo-generala-b475660,"Фантастика, Космическая фантастика"
Любовь Блонд,Падающая звезда. Часть вторая,"Вторая часть романа про приключения землянки Алины в Альянсе. 

Сто лет спустя родная планета стала неотъемлемой частью большой семьи под руководством мудрых лиин...",https://rust.litnet.com/uploads/covers/120/1722944658_0.png,https://litnet.com/ru/book/iskra-dlya-zvezdnogo-generala-b475660,"Фантастика, Космическая фантастика"
