author,title,annotation,img_url,book_url,genre
Денис Агеев,Арена 2: Вторая фаза,"Я все еще жив. Первый этап турнира позади, но чтобы пройти его, нам пришлось пожертвовать многим. Теперь же меня и ту горстку выживших, которым повезло не стать кормо...",https://rust.litnet.com/uploads/covers/120/1637473610_15.jpg,https://litnet.com/ru/book/arena-2-vtoraya-faza-b350803,"Фантастика, ЛитРПГ"
Владимир Кретов,"Легенда 4, Вторжение","Вы когда-нибудь были в самой гуще событий? Война, судебные тяжьбы, интриги и вишенка на торте - вторжение. И что будет, когда иной мир ворвётся в игру?




...",https://rust.litnet.com/uploads/covers/120/1612713767_65.png,https://litnet.com/ru/book/arena-2-vtoraya-faza-b350803,"Фантастика, ЛитРПГ"
Алексей Григорьев ,Ходок-2 Слияние,"Приключения Слая в новом мире продолжаются. Интрига закручивается, привычный ход вещей трещит по швам.  Сможет ли вселенец вспомнить свое прошлое, а главное просто ...",https://rust.litnet.com/uploads/covers/120/1718356390_71.png,https://litnet.com/ru/book/arena-2-vtoraya-faza-b350803,"Фантастика, ЛитРПГ"
Андрей Ефремов,Фантазия-1 Техномагия,"Представьте мир, в котором не существует преступности и бедности, мир, где людям платят деньги за их мечты. Фантастика, скажете вы. Нет, это мир фантазий, в котором лю...",https://rust.litnet.com/uploads/covers/120/1604216287_94.jpg,https://litnet.com/ru/book/arena-2-vtoraya-faza-b350803,"Фантастика, ЛитРПГ"
Ткачев Сергей,Эра подземелий,Перед вами новая эра. Мир в котором любой человек может стать суперменом и исполнить все свои самые сокровенные фантазии! Мир которым правит исключительно сила! Ми...,https://rust.litnet.com/uploads/covers/120/1580577364_23.jpg,https://litnet.com/ru/book/arena-2-vtoraya-faza-b350803,"Фантастика, ЛитРПГ"
Степан Кулик,Возрождение - 3,"Всего несколько шагов осталось пройти Леониду к намеченной цели и, если у него все получится, Земля обретет свободу, а люди перестанут быть кормовой базой Хантеров....",https://rust.litnet.com/uploads/covers/120/1640345639_8.jpg,https://litnet.com/ru/book/arena-2-vtoraya-faza-b350803,"Фантастика, ЛитРПГ"
Ткачев Сергей,Эра подземелий 9,"С трудом преодолев пространственный тоннель, Марк и его команда смогли добраться до высшего измерения. Вот только нравы и законы этого мира оказались еще более сур...",https://rust.litnet.com/uploads/covers/120/1733864883_83.jpg,https://litnet.com/ru/book/arena-2-vtoraya-faza-b350803,"Фантастика, ЛитРПГ"
Илья Головань (Krayhir),Тестовая группа. Книга вторая,"Вот ты обычный игрок, а вот - непризнанный король огромного подземного города, который кишит нежитью. Игра подкидывает все новые и новые испытания Тину, но парень н...",https://rust.litnet.com/uploads/covers/120/1584655500_96.jpg,https://litnet.com/ru/book/arena-2-vtoraya-faza-b350803,"Фантастика, ЛитРПГ"
Алексей Григорьев ,Ходок-5 Смерть,Напряжение продолжает нарастать. Спасется ли Ходок из проклятых земель Велграда? Выживут ли его товарищи? Что случиться с Ан и Бел в мире Шианду? Какие дополнител...,https://rust.litnet.com/uploads/covers/120/1718356492_81.png,https://litnet.com/ru/book/arena-2-vtoraya-faza-b350803,"Фантастика, ЛитРПГ"
Илья Головань (Krayhir),Тестовая группа. Книга шестая,"Когда мир поделился на два лагеря, у людей больше не осталось выбора. Рутина и приключения отошли на второй план, ведь теперь сама игра оказалась на грани гибели. На...",https://rust.litnet.com/uploads/covers/120/1646051619_38.jpg,https://litnet.com/ru/book/arena-2-vtoraya-faza-b350803,"Фантастика, ЛитРПГ"
