author,title,annotation,img_url,book_url,genre
Роман Корнеев,Время жизни,"Три героя отсылают нас к финалу текущего столетия, началу XXII века и концу третьего тысячелетия по земному исчислению. Майкл пытается разобраться в том, что заставл...",https://rust.litnet.com/uploads/covers/120/1629906785_18.jpg,https://litnet.com/ru/book/vremya-zhizni-b359800,"Фантастика, Научная фантастика"
Николай Раша,Зверушка.,Инопланетное существо попало на землю в середине 90-х годов прошлого века. Оно может существовать только в симбиозе с женщинами. Его изначальная форма грозит уничто...,https://rust.litnet.com/uploads/covers/120/1629381331_6.jpg,https://litnet.com/ru/book/vremya-zhizni-b359800,"Фантастика, Научная фантастика"
Александр Антарес,Бездна,"После катастрофы научно-исследовательского корабля Арктика за границей исследованных земель, безымянный служащий подразделения Чистильщиков попадает на океани...",https://rust.litnet.com/uploads/covers/120/1628021662_91.jpg,https://litnet.com/ru/book/vremya-zhizni-b359800,"Фантастика, Научная фантастика"
Drunken Mamed,Малое Солнце,Сюжет книги строится на концепции выживания главного героя в условиях враждебного космоса. Недалекое будущее. Человечество нерешительно осваивает солнечную сист...,https://rust.litnet.com/uploads/covers/120/1735200900_53.jpg,https://litnet.com/ru/book/vremya-zhizni-b359800,"Фантастика, Научная фантастика"
Пал Палыч Гомункул,Раптиты: Дальше совершенства,"6862 год. И пускай это всего лишь большое число для привлечения внимания. На деле, вас ждёт нечто более масштабное, чем далёкое будущее. Поэтому, если вы не готовы к так...",https://rust.litnet.com/uploads/covers/120/1644653478_17.jpg,https://litnet.com/ru/book/vremya-zhizni-b359800,"Фантастика, Научная фантастика"
Матвей Яицкий,Девианты,"Что есть ценность человека и что есть человек?

Представьте... Вы проснулись мёртвым посреди мёртвого мира, который насыщен пустотой и бескрайними песками. В песка...",https://rust.litnet.com/uploads/covers/120/1626117821_47.jpg,https://litnet.com/ru/book/vremya-zhizni-b359800,"Фантастика, Научная фантастика"
Дэн Рил,Свойство слоя,"Два брата спускаются в невообразимый колодец, мужчина не может найти выход из своего же дома, группа хакеров оказывается в ловушке обезумевшей охранной системы, а ...",https://rust.litnet.com/uploads/covers/120/1626023093_15.jpg,https://litnet.com/ru/book/vremya-zhizni-b359800,"Фантастика, Научная фантастика"
Странник по жизни,В мире всё повторяется,"Будущее земли и человечества. Какими они будут? Интересно узнать, а ещё интереснее представить. Может всё будет и не так, как я себе это представляю? А вдруг!?...",https://rust.litnet.com/uploads/covers/120/1734360904_46.jpg,https://litnet.com/ru/book/vremya-zhizni-b359800,"Фантастика, Научная фантастика"
Андрей Даньков,Биологическая опасность: Начало,"Тайная исследовательская лаборатория в стране, охваченной кровопролитной гражданской войной, ведёт такие эксперименты и исследования, от которых у любого нормал...",https://rust.litnet.com/uploads/covers/120/1619935988_38.png,https://litnet.com/ru/book/vremya-zhizni-b359800,"Фантастика, Научная фантастика"
Илья Кириллов,Механический пульсар. Персей,"К станции Сатурн-1 прибывает корабль ""Персей"". Во время проверки сотрудники станции обнаруживают, что экипаж отсутствует, а в отсеке реактора находят странную девуш...",https://rust.litnet.com/uploads/covers/120/1614754651_12.png,https://litnet.com/ru/book/vremya-zhizni-b359800,"Фантастика, Научная фантастика"
Елизавета Слесарева (Эliz Star),Адреналиновые узы,"Этот мотоцикл преследует меня?? Но ведь, это невозможно - как он самостоятельно передвигается? И что ему от меня надо?
Почему он утверждает, что у нас с ним какие - то А...",https://rust.litnet.com/uploads/covers/120/1612596149_25.jpg,https://litnet.com/ru/book/vremya-zhizni-b359800,"Фантастика, Научная фантастика"
Сергей Ярчук,Утренний приём,"Каково быть роботом, которого принимают за человека?...",https://rust.litnet.com/uploads/covers/120/1609365517_44.jpg,https://litnet.com/ru/book/vremya-zhizni-b359800,"Фантастика, Научная фантастика"
Сергей Ярчук,Самый большой подарок,"Кем нас видят жители иных миров? Врагами или друзьями? А может, они просто равнодушны к нам?...",https://rust.litnet.com/uploads/covers/120/1609365237_40.jpg,https://litnet.com/ru/book/vremya-zhizni-b359800,"Фантастика, Научная фантастика"
Валерий Проняев,Тестирование,Они братья и этим все сказано... ...,https://rust.litnet.com/uploads/covers/120/1608315956_33.jpeg,https://litnet.com/ru/book/vremya-zhizni-b359800,"Фантастика, Научная фантастика"
Валерий Проняев,Удивительные люди,"Это шоу принесло им славу и деньги, но написанное в контракте мелким шрифтом
их удивило......",https://rust.litnet.com/uploads/covers/120/1604851018_24.jpg,https://litnet.com/ru/book/vremya-zhizni-b359800,"Фантастика, Научная фантастика"
Татьяна Губоний,Побег с орбитальной станции,"Первая научная космическая экспедиция завершилась досрочно. Корабль «Ковчег» переадресован на другую планету, но техник Джессика Джонсон не может продолжать уча...",https://rust.litnet.com/uploads/covers/120/1602448939_28.png,https://litnet.com/ru/book/vremya-zhizni-b359800,"Фантастика, Научная фантастика"
Мэри Свитт,"Лев, глотающий солнце","Это было тёмное время, когда нечисть шастала по улицам и направо и налево кричала о магии. Но Главный Инквизитор никогда не сдавался, он всё продолжал и продолжал ох...",https://rust.litnet.com/uploads/covers/120/1602264390_53.jpg,https://litnet.com/ru/book/vremya-zhizni-b359800,"Фантастика, Научная фантастика"
Квинт Фабий,Предыстория. Ипсикор,"Как говорится, один раз - случайность, два – совпадение, а три – уже традиция. Вот и литнетовские байки становятся, мы надеемся, доброй традицией. Были они у нас Рожд...",https://rust.litnet.com/uploads/covers/120/1595913972_95.jpg,https://litnet.com/ru/book/vremya-zhizni-b359800,"Фантастика, Научная фантастика"
Дмитрий Гарянин,Про человека с Эпсилон Кассиопеи,"Он преодолел 430 световых года. Он прилетел на Землю из совсем другого мира. И первое, что увидел - прекрасную бабочку, севшую ему на ладонь. И с этого мгновения все изм...",https://rust.litnet.com/uploads/covers/120/1607496423_66.jpg,https://litnet.com/ru/book/vremya-zhizni-b359800,"Фантастика, Научная фантастика"
Валерий Проняев,Чужой язык,"Порой, чтобы понять друг друга, надо просто сесть и поговорить. Желательно на одном языке... ...",https://rust.litnet.com/uploads/covers/120/1592245988_43.jpg,https://litnet.com/ru/book/vremya-zhizni-b359800,"Фантастика, Научная фантастика"
Андрей Буторин,Работа над ошибками (puzzle),"Тихое село - на границе ЧЕТЫРЕХ МИРОВ! Мир средневековых ""меча и магии"" Вакла, над которым реет черная тень могущественного колдуна... Антиутопический мир ""хронистов""...",https://rust.litnet.com/uploads/covers/120/1525175612_74.jpg,https://litnet.com/ru/book/rabota-nad-oshibkami-puzzle-b71463,"Фантастика, Научная фантастика"
Алексей Лоев,Игра на Земле,"Будущее. Исчерпаемые ресурсы на Земле закончились, но апокалипсиса не случилось. Человек так и не смог выбраться за пределы своей родной планеты. Войн  нет. Преступ...",https://rust.litnet.com/uploads/covers/120/1510907514_19.jpg,https://litnet.com/ru/book/rabota-nad-oshibkami-puzzle-b71463,"Фантастика, Научная фантастика"
Братья Улитины,Эрноуты. На забытых землях.,"На опустошенной войной планете главный герой Крис находит самое страшное оружие – боевого робота Эрноута. Ему предстоит узнать, что мир не такой, каким он его счит...",https://rust.litnet.com/uploads/covers/120/1638528044_76.jpg,https://litnet.com/ru/book/rabota-nad-oshibkami-puzzle-b71463,"Фантастика, Научная фантастика"
Ник Никсон,Макс Сагал. Контакт,"В обычной жизни Макс — гениальный ученый со скромной зарплатой и дрянным характером. Но есть у него секрет. В интернете он известен как Сагал, загадочный борец ...",https://rust.litnet.com/uploads/covers/120/1627300603_84.jpg,https://litnet.com/ru/book/rabota-nad-oshibkami-puzzle-b71463,"Фантастика, Научная фантастика"
Aleksand  Rulev,Белое Солнце Пустыни  70 лет спустя,Действие романа происходит вначале 90х после распада СССР в Средней Азии. Демобилизованный солдат пытается дойти домой. Солдата зовут Федор Сухов и он потомок того ...,https://rust.litnet.com/uploads/covers/120/1639863047_56.jpg,https://litnet.com/ru/book/rabota-nad-oshibkami-puzzle-b71463,"Фантастика, Научная фантастика"
Мария Буквина,Тук-тук,"Издавна люди верили, что у каждого из нас есть свой ангел-хранитель – добрый дух, который готов на все, лишь бы его подопечный был счастлив.
И пускай на самом деле ан...",https://rust.litnet.com/uploads/covers/120/1685309663_87.png,https://litnet.com/ru/book/rabota-nad-oshibkami-puzzle-b71463,"Фантастика, Научная фантастика"
Ирина Манаева (Dulsinta),Гаденыш,"Мы воспитываем своих детей, не подозревая, что иногда их заменяют другими. Только самая внимательная мать способна увидеть подмену, ведь начинают происходить необ...",https://rust.litnet.com/uploads/covers/120/1673162516_77.jpg,https://litnet.com/ru/book/rabota-nad-oshibkami-puzzle-b71463,"Фантастика, Научная фантастика"
Катерина Тумас,Графиня Макгаффин,"Ей удалось сбежать от родного брата, который хотел женить Камелию на себе. Она кое как смогла устроить свою жизнь, но в один момент, когда влюбилась, всё пошло напере...",https://rust.litnet.com/uploads/covers/120/1593189597_28.jpg,https://litnet.com/ru/book/rabota-nad-oshibkami-puzzle-b71463,"Фантастика, Научная фантастика"
Наталья Сапункова,Купи брахиозавра,"Короткий рассказ, написанный когда-то на конкурс Блек-джек-8 на СИ, угодил в финал. Опубликован в журнале ""Чайка"", Балтимор, N 13, 2009г, в газете ""Ступени Оракула"", N 22, 2009г.
...",https://rust.litnet.com/uploads/covers/120/1568534423_5.jpg,https://litnet.com/ru/book/rabota-nad-oshibkami-puzzle-b71463,"Фантастика, Научная фантастика"
Арчи Вар,Фрактал. Четыре демона. Том 1.,"Конец эпохи едва не стал закатом человечества, мы многое потеряли, но не мало и приобрели. Нам помогли эволюционировать, показали новый, светлый путь, но каков будет...",https://rust.litnet.com/uploads/covers/120/1548196472_74.jpg,https://litnet.com/ru/book/rabota-nad-oshibkami-puzzle-b71463,"Фантастика, Научная фантастика"
Вероника Трифоненко,Долгая зима,"Однажды Леша, внук метеоролога, узнает от приятеля дедушки о том, что грядет всемирное похолодание. 

Стоит ли верить странному сообщению?

И что делать, если професс...",https://rust.litnet.com/uploads/covers/120/1646863750_39.jpg,https://litnet.com/ru/book/rabota-nad-oshibkami-puzzle-b71463,"Фантастика, Научная фантастика"
Екатерина Крапивенцева,Мутная вода,"Молодой журналист Арсений Ковалёв попадает в Зону Отчуждения, расследуя смерть кандидата в депутаты, произошедшую на его глазах. В его руках - ПДА покойного и загад...",https://rust.litnet.com/uploads/covers/120/1643235207_26.jpg,https://litnet.com/ru/book/rabota-nad-oshibkami-puzzle-b71463,"Фантастика, Научная фантастика"
