author,title,annotation,img_url,book_url,genre
Ирина Андреева,Гостья с Марса,"У меня нет ни отца, ни матери, потому что я – продукт Геразиса, рождена в лаборатории. Думаете я киборг? Нет! Я – человек, но не простой, а с улучшенными генами. Та...",https://rust.litnet.com/uploads/covers/120/1714838882_12.jpg,https://litnet.com/ru/book/gostya-s-marsa-b177837,"Фантастика, Постапокалипсис"
Мак Шторм,Неидентифицированный,"Мой отец предчувствовал ужасные события, которые вскоре перекроят весь мир. Бросив всё, он с семьёй убежал из цивилизации в глухую тайгу, примкнув к общине старовер...",https://rust.litnet.com/uploads/covers/120/1640348104_73.jpg,https://litnet.com/ru/book/gostya-s-marsa-b177837,"Фантастика, Постапокалипсис"
Натали Смит,Последний поезд,"Она стояла на перроне, сжимая в холодных руках спортивную сумку с нехитрыми пожитками. Перчатки забыла впопыхах, а возвращаться нельзя, иначе опоздает на последний...",https://rust.litnet.com/uploads/covers/120/1636147960_29.jpg,https://litnet.com/ru/book/gostya-s-marsa-b177837,"Фантастика, Постапокалипсис"
Данта Игнис,Анели. Битва за Землю,"Анели – девочка из иных миров, шагнувшая на Землю через таинственный портал. Но за ней последовала не надежда, а апокалипсис. Мир рушится, привычные законы природ...",https://rust.litnet.com/uploads/covers/120/1713126814_92.jpg,https://litnet.com/ru/book/gostya-s-marsa-b177837,"Фантастика, Постапокалипсис"
Павел Швецов,Хищный лес,"Опасный мир постапокалипсиса. Остатки человечества, объединённые в группы, вынужденны постоянно перемещаться, чтобы населяющие мир монстры, не нашли их. 
Никто не ...",https://rust.litnet.com/uploads/covers/120/1589538780_55.jpg,https://litnet.com/ru/book/gostya-s-marsa-b177837,"Фантастика, Постапокалипсис"
Регина Грез,Пленница бунтаря. Сибирский постап,"Поиск работы завел Дашу в альтернативное будущее, где люди способны принимать звериный облик, сражаясь за ресурсы и территорию, а родные леса оказались населены ст...",https://rust.litnet.com/uploads/covers/120/1714753921_93.jpg,https://litnet.com/ru/book/gostya-s-marsa-b177837,"Фантастика, Постапокалипсис"
Евгений Гущин,Сталкер: острие копья,"Один из лучших фанфиков вселенной S.T.A.L.K.E.R. по версии пользователей stalker-book.com, litstalker.ru, stalker-portal.ru. Аудиоверсия выпущена в 2009 году Александром Полищуком.

БОНУС: допол...",https://rust.litnet.com/uploads/covers/120/1622456879_67.jpg,https://litnet.com/ru/book/gostya-s-marsa-b177837,"Фантастика, Постапокалипсис"
Ксюша Иванова,Любовь на руинах,"Нужную комнату нашел быстро. Сильно толкнул дверь, сорвав своим ударом какую-то мудреную защелку. Шагнул внутрь и увидел ЕЁ. Сначала мне показалось, что передо мной ...",https://rust.litnet.com/uploads/covers/120/1626090905_60.png,https://litnet.com/ru/book/gostya-s-marsa-b177837,"Фантастика, Постапокалипсис"
Швалев Ю А,Новые: Мародер,"Высокие технологии и ошибки ученых отшвырнули людей обратно, заставляя выживать в новом мире, полном опасностей и надежд. Сергей Минаев один из тех, кому придется в...",https://rust.litnet.com/uploads/covers/120/1628103261_20.jpg,https://litnet.com/ru/book/gostya-s-marsa-b177837,"Фантастика, Постапокалипсис"
Ксюша Иванова,Отбор для Слепого,"- И что, по вашему мнению, случилось со мной во время последнего выступления?
  - Тебя вычерпали. Опустошили. И если подобное будет повторяться, тебя надолго не хват...",https://rust.litnet.com/uploads/covers/120/1580553075_85.png,https://litnet.com/ru/book/gostya-s-marsa-b177837,"Фантастика, Постапокалипсис"
Корвин Вас,S-T-I-K-S. Капкан.,"Кирилл Козин, приехав с друзьями отдыхать на природу, оказался не в том месте не в то время. Что готовит ему другой мир, и сможет ли он выжить в нём? В мире, где смерть ...",https://rust.litnet.com/uploads/covers/120/1486890158_3.jpg,https://litnet.com/ru/book/gostya-s-marsa-b177837,"Фантастика, Постапокалипсис"
Денис Барин,Хаос. Выжившие,"Город содрогается под серией мощнейших взрывов, в результате которых столицу охватывает неизвестная эпидемия, превращающая людей в настоящих монстров. Силовики н...",https://rust.litnet.com/uploads/covers/120/1738919530_73.png,https://litnet.com/ru/book/gostya-s-marsa-b177837,"Фантастика, Постапокалипсис"
Валентин Беляков (Креветка Локи),Звёздные звуки зомби,"Что в первую очередь обязан делать человек, переживший зомби-апокалипсис? Выстроить новое общество? А как быть социофобам?

Я по жизни был незаметным парнем, но не ...",https://rust.litnet.com/uploads/covers/120/1634542376_18.png,https://litnet.com/ru/book/gostya-s-marsa-b177837,"Фантастика, Постапокалипсис"
Марина Дементьева,Город без надежды,"Расхожий сказочный сюжет в обстановке постапокалипсиса. 
---
Разрушенный войной мир будущего.
Закрытый город воцарившегося насилия и жестокости. И двое в нём.
Пок...",https://rust.litnet.com/uploads/covers/120/1593862277_72.jpg,https://litnet.com/ru/book/gostya-s-marsa-b177837,"Фантастика, Постапокалипсис"
иван,Мир после: Начало,"Обычная жизнь, в привычном смысле этого слова, закончилась... Еще буквально вчера человек думал о том, как бы уйти пораньше с работы, закрыть вовремя сессию или купит...",https://rust.litnet.com/uploads/covers/120/1578655565_21.png,https://litnet.com/ru/book/gostya-s-marsa-b177837,"Фантастика, Постапокалипсис"
