author,title,annotation,img_url,book_url,genre
Рэд Кэррот,Целестиал. Четыре души,"(Книга 2)    

Стать целестиалом мечтает каждый авантюрист. Это знания и сила. Это дороги, на которые не ступить рядовому жителю их безжалостного мира. К ужасу ...",https://rust.litnet.com/uploads/covers/120/1732709336_18.jpg,https://litnet.com/ru/book/celestial-chetyre-dushi-b503947,"Фантастика, РеалРПГ"
Аир Арлен,Класс: Созидающий,"В мире, куда приходит игровая система, главная героиня получает уникальный класс — «созидающий». Это означает, что у неё есть способность создавать артефакты для в...",https://rust.litnet.com/uploads/covers/120/1731359676_73.jpg,https://litnet.com/ru/book/celestial-chetyre-dushi-b503947,"Фантастика, РеалРПГ"
Рэд Кэррот,Целестиал. Адепт авантюристов,"(Книга 1)       

Многие люди играют в компьютерные игры. Но мало кто задумывается над тем, каково это — не играть в жизнь, а жить той суровой реальностью, ко...",https://rust.litnet.com/uploads/covers/120/1731318465_86.jpg,https://litnet.com/ru/book/celestial-chetyre-dushi-b503947,"Фантастика, РеалРПГ"
Анни Романова,Афина. Голос свободы,"Битву выигрывают задолго до ее начала - город Эрзо готовится к войне с расой невиданных доселе воинов. 

Кассандра Вассиликос, Таврион Эборос, Эвр и Ника Влахос п...",https://rust.litnet.com/uploads/covers/120/1729076458_92.png,https://litnet.com/ru/book/celestial-chetyre-dushi-b503947,"Фантастика, РеалРПГ"
Игорь Углов,Седьмой мир. Кинетик,"Он попаданец, в этом он точно уверен.
А ещё он кинетик в Седьмом мире, и богиня по имени Седьмая скрыла его память, ради исполнения её Воли.
Седьмая призвала его в сво...",https://rust.litnet.com/uploads/covers/120/1743452459_18.png,https://litnet.com/ru/book/celestial-chetyre-dushi-b503947,"Фантастика, РеалРПГ"
Анни Романова,Афина. Голос гнева,"Много лет назад человечество потеряло все. Цивилизация рухнула в одночасье, оставив после себя крохи знаний и обломки городов, которые, по легендам, парили в облака...",https://rust.litnet.com/uploads/covers/120/1688643113_64.jpg,https://litnet.com/ru/book/celestial-chetyre-dushi-b503947,"Фантастика, РеалРПГ"
Максим Смогов,Не та прокачка,"ЦИКЛ ЗАВЕРШЁН. Это случилось в безумном мире, где RPG-условности, интерфейсы в глазах людей, рыцари и магия существуют наравне с обычной современной реальностью.
В ме...",https://rust.litnet.com/uploads/covers/120/1677591496_55.png,https://litnet.com/ru/book/celestial-chetyre-dushi-b503947,"Фантастика, РеалРПГ"
Александр Зимовец,Стрим с Озимандии,"Если ты отправишься на Озимандию, то назад вернуться уже не сможешь. Зато сможешь стримить в реальном времени все, что с тобой происходит, на Землю. И может быть, даж...",https://rust.litnet.com/uploads/covers/120/1719320445_5.jpg,https://litnet.com/ru/book/celestial-chetyre-dushi-b503947,"Фантастика, РеалРПГ"
Ткачев Сергей,Шахматы богов - Башня,"Как развеять скуку там, где она давно стала первейшим спутником жизни? Где найти силы и желание жить дальше? Конечно в новом мире! Там где не будет времени скучать. Т...",https://rust.litnet.com/uploads/covers/120/1577209858_7.jpg,https://litnet.com/ru/book/celestial-chetyre-dushi-b503947,"Фантастика, РеалРПГ"
Александр Зимовец,Патч с Озимандии,"У Фрая есть все, о чем он не мог и мечтать год назад: собственная корпорация, станция в одном из красивейших мест на Озимандии и настоящая любовь. Но счастье – это оч...",https://rust.litnet.com/uploads/covers/120/1719559329_53.jpg,https://litnet.com/ru/book/celestial-chetyre-dushi-b503947,"Фантастика, РеалРПГ"
Ткачев Сергей,Делирий - Печать ярости,"Недалекое будущее. Когда по всей планете произошел ряд катаклизмов, названных в последствии Великим слиянием, мир изменился навсегда. Теперь в нем появилось место ...",https://rust.litnet.com/uploads/covers/120/1739484120_84.jpg,https://litnet.com/ru/book/celestial-chetyre-dushi-b503947,"Фантастика, РеалРПГ"
Ткачев Сергей,Шахматы богов 6 - Эндшпиль,Экспансия Каэтора и его покровительницы продолжается. Пока глава совета правления нового Союза всеми силами пытается объединить народы Атреи под своими знаменам...,https://rust.litnet.com/uploads/covers/120/1512402539_63.jpg,https://litnet.com/ru/book/celestial-chetyre-dushi-b503947,"Фантастика, РеалРПГ"
Ткачев Сергей,Дримеры - По ту сторону реальности,"Черная полоса. У каждого она бывает. Но иногда этот жизненный период затягивается настолько, что конца и края ему не видно. Ставит в безвыходное положение, лишая все...",https://rust.litnet.com/uploads/covers/120/1524059605_51.jpg,https://litnet.com/ru/book/celestial-chetyre-dushi-b503947,"Фантастика, РеалРПГ"
Astral Lynn ,Активатор. Ключ Апокалипсиса,"Он мечтал о величайшем открытии. Но стал лишь Ключом Апокалипсиса — одно неосторожное прикосновение – и мир, каким он его знал, исчезает. Планета захлебываетс...",https://rust.litnet.com/uploads/covers/120/1748893018_97.png,https://litnet.com/ru/book/celestial-chetyre-dushi-b503947,"Фантастика, РеалРПГ"
Гришанин Дмитрий,Практикант. Книга 5,"""Практикант"" - роман Дмитрия Гришанина, пятая книга одноименного цикла, жанр РеалРПГ, городское фэнтези.
Они здесь. Они рядом. Порой на расстоянии вытянутой руки. На...",https://rust.litnet.com/uploads/covers/120/1748597863_41.jpg,https://litnet.com/ru/book/celestial-chetyre-dushi-b503947,"Фантастика, РеалРПГ"
Распопов Дмитрий,Фараон. Книга 4. Царь поневоле. Том 2,"""Царь поневоле"" - фантастический роман Дмитрия Распопова, четвертая книга второй том цикла ""Фараон"", жанр альтернативная история, попаданцы, исторические приключе...",https://rust.litnet.com/uploads/covers/120/1748597644_64.jpg,https://litnet.com/ru/book/celestial-chetyre-dushi-b503947,"Фантастика, РеалРПГ"
НекрасовАЕ,Потерянный,"Иван, после похищения наёмников, попадает на планету Авиаки, где начинает свой путь приключений, превращаясь в настоящего мужчину из вчерашнего мальчика. Сможет ли...",https://rust.litnet.com/uploads/covers/120/1749398795_63.jpg,https://litnet.com/ru/book/celestial-chetyre-dushi-b503947,"Фантастика, РеалРПГ"
Олег Рыбаченко ,Пчела-попаданец,"Может ли насекомое решающим образом повлиять на ход Второй мировой войны? Может - если внутри пчелы полковник-инженер Петр Дегтярев, нашедший себе в Августе 3014 года...",https://rust.litnet.com/uploads/covers/120/1748191527_62.jpg,https://litnet.com/ru/book/celestial-chetyre-dushi-b503947,"Фантастика, РеалРПГ"
Ирина Прис,Матрица желаний,"Революционная система «Мечта», созданная корпорацией «НейроТех», считывает и исполняет любое желание пользователя в рамках дозволенного законом. Высокая востре...",https://rust.litnet.com/uploads/covers/120/1747818359_9.jpg,https://litnet.com/ru/book/celestial-chetyre-dushi-b503947,"Фантастика, РеалРПГ"
Ойбек,Элларий,"«Я просто хотел жить. Найти себя. Найти смысл. Но вместо этого нашёл… неизвестность.»
Долгие годы он пытался удержаться на плаву: бесконечные собеседования, счета, ...",https://rust.litnet.com/uploads/covers/120/1747143626_73.jpg,https://litnet.com/ru/book/celestial-chetyre-dushi-b503947,"Фантастика, РеалРПГ"
Горшенев Герман,Звёздная Кровь Архераил. Книга 1. Капитан,"""Звёздная Кровь Архераил. Капитан"" - роман Германа Горшенева, первая книга цикла ""Архераил"", жанр боевая фантастика, РеалРПГ, попаданцы в магические миры.
Новый мир, ...",https://rust.litnet.com/uploads/covers/120/1748595431_37.jpg,https://litnet.com/ru/book/zvezdnaya-krov-arherail-kniga-1-kapitan-b532509,"Фантастика, РеалРПГ"
Алексей Шлапаков,Человек нового времени,"Системе до зарезу нужны такие, как вы – те, кто чувствует новую энергию кожей, кто готов перекроить себя и мир вокруг, не боясь перемен. Нужны те, кто встанет плечом к...",https://rust.litnet.com/uploads/covers/120/1747898347_62.jpg,https://litnet.com/ru/book/zvezdnaya-krov-arherail-kniga-1-kapitan-b532509,"Фантастика, РеалРПГ"
Коварный Светляк,Книга 4. Неизвестный чемпион (часть 2),"Мир бесконечного противостояния на арене Лиги. Здесь бесплотный дух, Ноксус, дарует бессмертие чемпионам ради их славы и величия. Только здесь можно умереть и возр...",https://rust.litnet.com/uploads/covers/120/1747652079_10.png,https://litnet.com/ru/book/zvezdnaya-krov-arherail-kniga-1-kapitan-b532509,"Фантастика, РеалРПГ"
Игорь Тюрин,Во славу рода. Книга 3.,"Главный герой прошёл путь от якобы простого деревенского паренька до могущественного князя. Он смог создать сильное государство и могучую армию. Но, оказывается, э...",https://rust.litnet.com/uploads/covers/120/1747543773_4.png,https://litnet.com/ru/book/zvezdnaya-krov-arherail-kniga-1-kapitan-b532509,"Фантастика, РеалРПГ"
Елена Кароль,И пришла она... 5,"Система не бездушна и не безлика. Увы, её логику не постичь всего лишь людям.
Впрочем, богам тоже придется несладко.
На арену выходят новые игроки, прямо на ходу меня...",https://rust.litnet.com/uploads/covers/120/1746351308_3.jpg,https://litnet.com/ru/book/zvezdnaya-krov-arherail-kniga-1-kapitan-b532509,"Фантастика, РеалРПГ"
