author,title,annotation,img_url,book_url,genre
Денис Андрюхин,100 ступеней боли: Старт развития (старая версия),"Джек втайне мечтал достичь высот отца. Стать мастером смешанных единоборств, но душа интроверта подавила эту мечту. Однажды Джека избивают и, не зная об этом, убива...",https://rust.litnet.com/uploads/covers/120/1577284257_66.png,https://litnet.com/ru/book/100-stupenei-boli-start-razvitiya-staraya-versiya-b193138,"Фантастика, Уся (Wuxia)"
Алекс Нагорный,"Адепты. Девушка из космоса. ""Пси-фактор. Адепты с земли"".","Авторская версия книги ""Пси-фактор. Адепты с земли"".
Цепочка событий приводит героиню из другой части вселенной на Землю. По роковому стечению обстоятельств Герои ...",https://rust.litnet.com/uploads/covers/120/1580805075_1.jpg,https://litnet.com/ru/book/100-stupenei-boli-start-razvitiya-staraya-versiya-b193138,"Фантастика, Уся (Wuxia)"
Прекраса ,Растопи моё ледяное сердце. Твой Мастер,"Она жила в своём мире и мечтала стать писательницей, но судьба преподнесла ей подарок. Она попала в новеллу и должна суметь растопить сердце своего мастера, чтобы б...",https://rust.litnet.com/uploads/covers/120/1578606587_88.jpg,https://litnet.com/ru/book/100-stupenei-boli-start-razvitiya-staraya-versiya-b193138,"Фантастика, Уся (Wuxia)"
Олег Рыбаченко ,Биогиперплазменный карате-пацан.,Переехав с родителями в Нью-Йорк русский мальчик Олег столкнулся с беспределом местных уличных банд.  Китайский профессор Поль Дзи отправляет мальчишку в другой м...,https://rust.litnet.com/uploads/covers/120/1569948577_1.jpg,https://litnet.com/ru/book/100-stupenei-boli-start-razvitiya-staraya-versiya-b193138,"Фантастика, Уся (Wuxia)"
Эрик Дешо,Время Бунтаря,"Их с детства готовили к битвам. Специальные диеты, лучшие учителя боевых искусств. Им говорили, что они будут разведчиками, представителями Земли в Другом Мире, но э...",https://rust.litnet.com/uploads/covers/120/1553429132_64.png,https://litnet.com/ru/book/100-stupenei-boli-start-razvitiya-staraya-versiya-b193138,"Фантастика, Уся (Wuxia)"
Игорь Дикало,Алый посланник. Книга вторая. Тропы Шиджиемо.,"Ты - тот самый герой, что потерял душу и был готов отдать жизнь.
Да, это ты, Зихао, но смерть не будет твоим окончательным приговором, впереди у тебя страдания, боль и ...",https://rust.litnet.com/uploads/covers/120/1594054527_47.jpg,https://litnet.com/ru/book/100-stupenei-boli-start-razvitiya-staraya-versiya-b193138,"Фантастика, Уся (Wuxia)"
Галина Алфеева,Красный на удачу,"Тысячелетний лис-оборотень в современном мегаполисе. Найдётся ли ему место в новой Поднебесной? Захочет ли он сам остаться в этом мире, когда всё, что удерживало ег...",https://rust.litnet.com/uploads/covers/120/1590935010_75.jpg,https://litnet.com/ru/book/100-stupenei-boli-start-razvitiya-staraya-versiya-b193138,"Фантастика, Уся (Wuxia)"
Прекраса ,Неведомый мир или мир Невозможного,"Узнать кто ты и что ты здесь потеряла. Побывать за гранью Невозможного и встретить любовь.

...",https://rust.litnet.com/uploads/covers/120/1578067498_15.jpg,https://litnet.com/ru/book/100-stupenei-boli-start-razvitiya-staraya-versiya-b193138,"Фантастика, Уся (Wuxia)"
Игорь Дикало,Алый посланник,"Демон-коллекционер, который собирает души одержимых людей. Странный мир, которого нет ни на одной карте. Владелец фирмы, продавший душу. Их объединяет ниточка ведущ...",https://rust.litnet.com/uploads/covers/120/1577753893_23.jpg,https://litnet.com/ru/book/100-stupenei-boli-start-razvitiya-staraya-versiya-b193138,"Фантастика, Уся (Wuxia)"
Элла Милярець,Сугдея,"Многие приезжают в Судак, чтобы посетить Генуэзскую крепость. Но я приехал увидеть кое-то другое – нечто более завораживающее, чем древняя крепость.

Тихие уютные ...",https://rust.litnet.com/uploads/covers/120/1571443421_41.jpg,https://litnet.com/ru/book/100-stupenei-boli-start-razvitiya-staraya-versiya-b193138,"Фантастика, Уся (Wuxia)"
Бэймин Хайтан,Тени под сердцем неба,"Когда двое учеников Школы Пяти Циклов случайно находят древнюю богиню, они и не подозревают, что уже стали частью плана давно уничтоженных богов.  
Чтобы остановит...",https://rust.litnet.com/uploads/covers/120/1750236485_95.png,https://litnet.com/ru/book/100-stupenei-boli-start-razvitiya-staraya-versiya-b193138,"Фантастика, Уся (Wuxia)"
Станислав Дементьев,Четырнадцатый архидемон,"Очнулся в новом теле? Ты в суровом мире культивации? Вселяющихся в чужие тела  здесь называют ""архидемонами"" и беспощадно преследуют? Ты слабый ученик, впутанный в и...",https://rust.litnet.com/uploads/covers/120/1749637592_36.jpg,https://litnet.com/ru/book/100-stupenei-boli-start-razvitiya-staraya-versiya-b193138,"Фантастика, Уся (Wuxia)"
Анастасия Лебеда,Во спасение души,Секта Всепрощения — благородное место. Здесь самосовершенствующие воспитывают в себе сострадание к чужим горестям и печалям. Она давно завоевала себе хорошую р...,https://rust.litnet.com/uploads/covers/120/1749327815_8.png,https://litnet.com/ru/book/100-stupenei-boli-start-razvitiya-staraya-versiya-b193138,"Фантастика, Уся (Wuxia)"
Китаев Максим,Проклятый,"«Проклятие» - я запомню это слово на всю свою жизнь. Это то, что забрало у меня родителей, это то, что изменило мою жизнь навсегда. 
Я стану магом! Я буду сильнее! Я не с...",https://rust.litnet.com/uploads/covers/120/1747944711_98.jpg,https://litnet.com/ru/book/100-stupenei-boli-start-razvitiya-staraya-versiya-b193138,"Фантастика, Уся (Wuxia)"
Дендрея,Песнь О Грядущей Скорби,"Дом Бай, обуреваемый алчным стремлением к власти, готов на все, лишь бы заручиться поддержкой и влиянием великих кланов. Они не остановятся ни перед чем, даже перед ...",https://rust.litnet.com/uploads/covers/120/1746642197_49.jpg,https://litnet.com/ru/book/100-stupenei-boli-start-razvitiya-staraya-versiya-b193138,"Фантастика, Уся (Wuxia)"
Кай,Шлейф падающих звезд. Том 1,"«Появятся два духа, один возглавит Богов, другой демонов. Исход их битвы станет гибелью Небесного царства».

Син Чэн появился в пустыне, ничего о себе не зная. С...",https://rust.litnet.com/uploads/covers/120/1746468075_26.png,https://litnet.com/ru/book/100-stupenei-boli-start-razvitiya-staraya-versiya-b193138,"Фантастика, Уся (Wuxia)"
Лю Миньи,"Сказания богов ""красный лотос""","Во времена богов существовали правила, их почитали как то что могло защитить род, но когда боги исчезли из этого мира все что осталось от них это наследники. 

Пр...",https://rust.litnet.com/uploads/covers/120/1747065832_48.png,https://litnet.com/ru/book/100-stupenei-boli-start-razvitiya-staraya-versiya-b193138,"Фантастика, Уся (Wuxia)"
wedomy,Путешествие домой,"Совсем юный Рин, вырванный из привычного мира, оказался в чужой, пугающей реальности. Теряя дорогое сердцу и преодолевая испытание за испытанием, он несёт сквозь бо...",https://rust.litnet.com/uploads/covers/120/1745898494_47.png,https://litnet.com/ru/book/100-stupenei-boli-start-razvitiya-staraya-versiya-b193138,"Фантастика, Уся (Wuxia)"
Ло Ян,Падение клана Шэ,"Три звезды сошлись на небосклоне:

Девушка, мечтающая возродить славу уничтоженной демонами школы боевых искусств и помочь своим братьям.

Юный принц, стремящийся ...",https://rust.litnet.com/uploads/covers/120/1743156246_65.jpg,https://litnet.com/ru/book/100-stupenei-boli-start-razvitiya-staraya-versiya-b193138,"Фантастика, Уся (Wuxia)"
Леа Рейн ,Неувядающая Роза песков,"Каково быть проблемной, неуклюжей девушкой, которую преследуют нелепые ситуации, куда бы ты ни пошла? Особенно если ты княжна города-государства и должна, вроде как...",https://rust.litnet.com/uploads/covers/120/1744892869_89.jpg,https://litnet.com/ru/book/100-stupenei-boli-start-razvitiya-staraya-versiya-b193138,"Фантастика, Уся (Wuxia)"
Алекс Го,Безмятежный лотос 4,Блудный ученик вернулся из царства демонов и жаждет отомстить. А тут еще и неуловимый повелитель мертвых вдруг проявил себя. Шансы на спасение у Вики и так стремятс...,https://rust.litnet.com/uploads/covers/120/1739401898_82.jpg,https://litnet.com/ru/book/bezmyatezhnyi-lotos-4-b277377,"Фантастика, Уся (Wuxia)"
