author,title,annotation,img_url,book_url,genre
Андрей Астахов,Главное задание,"Одна из моих первых книг и серий, написанная в 2008-2009 году, когда еще жанр ""литРПГ"" как бы и не был востребован. Обычный питерский парень Леха Осташев, увлеченный компь...",https://rust.litnet.com/uploads/covers/120/1602514312_91.jpg,https://litnet.com/ru/book/glavnoe-zadanie-b277889,"Фантастика, Юмористическая фантастика"
Ирина Гофман (Соня Сэнь),Странный пассажир,"Однажды на борту ничем не примечательного грузового звездолета появляется странный и крайне неприятный пассажир, сопровождающий таинственный груз. Вскоре над чл...",https://rust.litnet.com/uploads/covers/120/1678269446_96.jpeg,https://litnet.com/ru/book/glavnoe-zadanie-b277889,"Фантастика, Юмористическая фантастика"
АИ,"Сказка о том, как Иван женился",Группа туристов находит в тайге нечто странное...,https://rust.litnet.com/uploads/covers/120/1564493208_88.jpeg,https://litnet.com/ru/book/glavnoe-zadanie-b277889,"Фантастика, Юмористическая фантастика"
Иван Сапрыкин,Империя наносит Конкретный удар!,"Хулиганский фанфик-прикол по Звёздным Войнам.
Империя побеждена, но зло не дремлет! Оказалось, что победить империю ситхов, значит не просто взорвать Звезду Смерти...",https://rust.litnet.com/uploads/covers/120/1554205048_90.jpg,https://litnet.com/ru/book/glavnoe-zadanie-b277889,"Фантастика, Юмористическая фантастика"
Arta,Домовой,"Что делать домовому, оставшемуся без дома? Так ли просто живется в мире маленьким существам?...",https://rust.litnet.com/common/img/empty_cover_litnet.png,https://litnet.com/ru/book/glavnoe-zadanie-b277889,"Фантастика, Юмористическая фантастика"
Леока Хабарова,Красный броневик,В темном проеме появилась голова. Мужская. Блестящую лысину обрамляли короткие седые волосы. Косматые белые брови хмурились. Глаза прятались за толстенными линзам...,https://rust.litnet.com/uploads/covers/120/1748153447_45.jpg,https://litnet.com/ru/book/glavnoe-zadanie-b277889,"Фантастика, Юмористическая фантастика"
Александр Вяземка,Конрад Томилин и титаны Земли,"Повесть о маленьком человеке, живущем в великую технологическую эпоху, когда зубная щетка соперничает с людьми в интеллекте....",https://rust.litnet.com/uploads/covers/120/1506445580_93.jpg,https://litnet.com/ru/book/glavnoe-zadanie-b277889,"Фантастика, Юмористическая фантастика"
Зелена Крыж (Елена Крыжановская),Похождения Кота Кошмара,"😉Звериный мир делится на тех, кто обожает Кота Кошмара и тех, кто ему завидует! Если вы всё еще не знакомы с этим выдающимся котом, вас ждет приятное чтение и (если т...",https://rust.litnet.com/uploads/covers/120/1690805400_65.jpg,https://litnet.com/ru/book/glavnoe-zadanie-b277889,"Фантастика, Юмористическая фантастика"
Lumara Che,"Катя, Бублик и другие приключения во времени.","Злобная, жадная до чужого времени колдунья заманивает девочку Катю на остров снов, где пытается ограбить ее. Девочке помогают говорящие коты и жители острова, но су...",https://rust.litnet.com/uploads/covers/120/1527762457_84.png,https://litnet.com/ru/book/glavnoe-zadanie-b277889,"Фантастика, Юмористическая фантастика"
Мария Ё,Звёзд синие глаза,"Земля, сменившая свое имя на Теллурию, давно стала беднейшей планетой в составе блистательной империи Веколия, а ее обитатели смирились со своим полурабским полож...",https://rust.litnet.com/uploads/covers/120/1492889318_31.jpg,https://litnet.com/ru/book/glavnoe-zadanie-b277889,"Фантастика, Юмористическая фантастика"
