author,title,annotation,img_url,book_url,genre
Виктория Грин,"Непокорная истинная, или сладкие персики попаданки","Измена мужа, развод и… другой мир? Не так я представляла свое 35-летие: в юном теле, на корабле. Да ещё и прислуживая принцессе, сопровождая её на помолвку с королями-д...",https://rust.litnet.com/uploads/covers/120/1748637203_51.png,https://litnet.com/ru/book/nepokornaya-istinnaya-ili-sladkie-persiki-popadanki-b532591,Фэнтези
Ольга Обская,"Жена с условиями, или Спасённое свадебное платье","Самому завидному столичному холостяку нужна фиктивная жена.
Срочно!!!!!
Можно ли успеть найти подходящую за пять дней?
Можно!
Но пусть будет готов, что у неё будет уйм...",https://rust.litnet.com/uploads/covers/120/1749654072_70.jpg,https://litnet.com/ru/book/nepokornaya-istinnaya-ili-sladkie-persiki-popadanki-b532591,Фэнтези
Юлия Шахрай,Отвергнутая невеста или  Хозяйка загадочного дома,Нелепо умереть в попытке отлупить изменщика-мужа? Это про меня. Новая жизнь в юном теле – это ли не повод для радости?! Как бы не так! Вновь предательство. И выбор: з...,https://rust.litnet.com/uploads/covers/120/1746900372_29.jpg,https://litnet.com/ru/book/nepokornaya-istinnaya-ili-sladkie-persiki-popadanki-b532591,Фэнтези
Екатерина Стрелецкая,Наследство с подвохом для попаданки,"Я жила, как все, обычной жизнью: дом-работа-дом и единственный, кто меня ждал – это мумия кактуса на подоконнике. Но полученное мной уведомление от нотариуса о вне...",https://rust.litnet.com/uploads/covers/120/1735855009_14.jpg,https://litnet.com/ru/book/nepokornaya-istinnaya-ili-sladkie-persiki-popadanki-b532591,Фэнтези
Юлианна Сафир,Сиротка для короля академии,"— Ну что, Дикарка? Расскажешь, чем я тебя так напугал? — его голос, низкий и глубокий, словно раскаты грома в горах, посылал волны дрожи по моему телу.
— Отпуст...",https://rust.litnet.com/uploads/covers/120/1733080385_5.jpg,https://litnet.com/ru/book/nepokornaya-istinnaya-ili-sladkie-persiki-popadanki-b532591,Фэнтези
"Дара Хаард, Лана Шеган","Хозяйка проклятой башни, или Цветочек для дракона","Я попала в тело раненой, ссыльной девушки. Чтобы получить свободу, нужно прожить год в башне на краю пустоши. Но есть еще варианты спокойной жизни... стать фавориткой...",https://rust.litnet.com/uploads/covers/120/1746820325_76.jpg,https://litnet.com/ru/book/nepokornaya-istinnaya-ili-sladkie-persiki-popadanki-b532591,Фэнтези
Елена Байм,(не) Моя Жена. Во власти дракона,"Очнулась в теле умирающей девушки. Ее обманом выдали замуж за немощного дракона. Муж неподвижен, его брат открыто домогается, грозится за неподчинение взять силой. ...",https://rust.litnet.com/uploads/covers/120/1749388972_40.png,https://litnet.com/ru/book/nepokornaya-istinnaya-ili-sladkie-persiki-popadanki-b532591,Фэнтези
Айрин Дар,Ненужная жена. Хозяйка гиблой долины,"Нас отравили: меня и ту, в чьё тело я попала. Теперь я жена главного советника императора. Только муж сослал меня в аномальную зону из-за любовницы. Здесь деревья тре...",https://rust.litnet.com/uploads/covers/120/1747339503_60.png,https://litnet.com/ru/book/nepokornaya-istinnaya-ili-sladkie-persiki-popadanki-b532591,Фэнтези
Боярова Мелина,Империя И.З.М.Е.Н. Турнир пяти королевств,"Путешествие в Мелисин преподнесло немало сюрпризов. Я вспомнила прошлое, познакомилась с родственниками и раздобыла кольцо последней королевы эльфов. Осталось то...",https://rust.litnet.com/uploads/covers/120/1747483587_70.jpg,https://litnet.com/ru/book/nepokornaya-istinnaya-ili-sladkie-persiki-popadanki-b532591,Фэнтези
Нинель Нуар  ,Исцеляющая тьмой. Вторая жизнь,"ПЕРВАЯ часть тут https://litnet.com/shrt/rxUX

Тьма забрала у меня все.

Мужа, родных, молодость, а после и саму жизнь. Но ошибка в ритуале невероятным образом вернула меня в про...",https://rust.litnet.com/uploads/covers/120/1738916571_41.png,https://litnet.com/ru/book/nepokornaya-istinnaya-ili-sladkie-persiki-popadanki-b532591,Фэнтези
Елена Смертная,Обманутая драконом. Сирота в Академии магии,"В нашем мире женщины могут учиться магии, только если за них поручится и заплатит мужчина. У обеспеченных детей с этим проблем нет. Но как быть, если ты сирота без ро...",https://rust.litnet.com/uploads/covers/120/1746388342_67.jpg,https://litnet.com/ru/book/nepokornaya-istinnaya-ili-sladkie-persiki-popadanki-b532591,Фэнтези
Лана Морриган,Право волка,"Лилия Аксенова студентка финансового факультета. У нее есть парень и любимое хобби, но жизнь переворачивается с ног на голову, когда однокурсница подвозит до дома. ...",https://rust.litnet.com/uploads/covers/120/1748456273_13.jpg,https://litnet.com/ru/book/nepokornaya-istinnaya-ili-sladkie-persiki-popadanki-b532591,Фэнтези
Елена Смертная,Проданная жена. Блинный бизнес попаданки,"🔥 Новинка со знакомыми героями: https://litnet.com/shrt/lerx

Попала в чужое тело и сразу оказалась на рынке, где торгуют людьми! Мой «муж» решил, что я сошла с ума, раз не...",https://rust.litnet.com/uploads/covers/120/1720035076_42.jpg,https://litnet.com/ru/book/nepokornaya-istinnaya-ili-sladkie-persiki-popadanki-b532591,Фэнтези
Рина Вергина,Развод. Бракованная жена Дракона.,"За семь лет брака я так и не смогла родить ребенка. Муж отказался от меня и привел в дом другую женщину. А меня объявил… бракованной.

Мое место в далеком монастыр...",https://rust.litnet.com/uploads/covers/120/1740510802_99.jpg,https://litnet.com/ru/book/nepokornaya-istinnaya-ili-sladkie-persiki-popadanki-b532591,Фэнтези
Элен Славина,"Пряничный дом леди-попаданки, или медовое (не)счастье","Очнулась в чужой кровати с лицом, опухшим от укуса пчелы… Ой, тут и муж не мой, и мир другой. Пришлось срочно бежать!
Я осела в пряничном домике на самой окраине корол...",https://rust.litnet.com/uploads/covers/120/1749653678_61.jpeg,https://litnet.com/ru/book/nepokornaya-istinnaya-ili-sladkie-persiki-popadanki-b532591,Фэнтези
Марьяна Брай,Страшилище,"Если тебя называют страшилищем, потому что ты выглядишь не так, как все, ты становишься сильной? Может быть! А если ты попала в другое время, в другое место, и там ты с...",https://rust.litnet.com/uploads/covers/120/1743877333_31.jpg,https://litnet.com/ru/book/nepokornaya-istinnaya-ili-sladkie-persiki-popadanki-b532591,Фэнтези
Карина Демина,Ведьмы.Ру 2,"Все те же плюс демон.

Спасаем друга. Решаем правовые вопросы. А также перевоспитываем сатанистов и козлов.

Выкладка: вторник, четверг и суббота
...",https://rust.litnet.com/uploads/covers/120/1743059582_21.jpg,https://litnet.com/ru/book/nepokornaya-istinnaya-ili-sladkie-persiki-popadanki-b532591,Фэнтези
"Джейд Дэвлин, Рина Ских",Седьмая жизнь злодейки,"Я была доброй и глупой, но меня выставили злодейкой и убили. Через множество перерождений я вновь вернулась в самое первое тело, но теперь мне хватит ума и хитрости, ...",https://rust.litnet.com/uploads/covers/120/1744634926_10.png,https://litnet.com/ru/book/nepokornaya-istinnaya-ili-sladkie-persiki-popadanki-b532591,Фэнтези
Лилиана Хоффман,"Действуй, Ведьма! или игра судьбы","🔥  Книга публикуется бесплатно. Черновик! Да, ошибки. Исправлю когда-нибудь, когда в сутках добавят еще 4-5 часов 😅
⭐️Дорогие друзья, буду очень благодарна, если ...",https://rust.litnet.com/uploads/covers/120/1727439939_56.png,https://litnet.com/ru/book/nepokornaya-istinnaya-ili-sladkie-persiki-popadanki-b532591,Фэнтези
Адель Хайд,Госпожа Модельер,"В своём мире я была известным модельером, и ушла на пике славы, так и не познав женского счастья. Судьба дала мне второй шанс, вместе с молодостью я получила в наслед...",https://rust.litnet.com/uploads/covers/120/1745179372_85.jpg,https://litnet.com/ru/book/nepokornaya-istinnaya-ili-sladkie-persiki-popadanki-b532591,Фэнтези
Мария Минц,Невеста в бегах. Хозяйка Запретных пустошей,"🔮 ТАИНСТВЕННАЯ НОВИНКА 🔮 В день свадьбы я узнала, что любимый изменил мне с лучшей подругой. Теперь они оба хотят извести меня. 
У них ничего не выйдет! Сбегу в З...",https://rust.litnet.com/uploads/covers/120/1747479267_21.png,https://litnet.com/ru/book/nevesta-v-begah-xozyaika-zapretnyh-pustoshei-b529856,Фэнтези
"Марина Индиви, Ксения Лита",Отшельница. Искра короля,"🔥ОДНОТОМНИК! График выкладки через день (в июне по четным числам).

В мире драконов сила их правителей столь могущественна, что выдержать ее может лишь его личная И...",https://rust.litnet.com/uploads/covers/120/1741059871_33.jpg,https://litnet.com/ru/book/nevesta-v-begah-xozyaika-zapretnyh-pustoshei-b529856,Фэнтези
Александра Воронцова,Хозяйка забытой усадьбы,"У меня не осталось ничего. В один день на меня обрушились смерть отца, разорение, предательство сестры и разорванная помолвка. Мне уготована роль подстилки, но я выб...",https://rust.litnet.com/uploads/covers/120/1715579888_83.jpg,https://litnet.com/ru/book/nevesta-v-begah-xozyaika-zapretnyh-pustoshei-b529856,Фэнтези
Рина Вергина,Лекарь из другого мира,"Судьба дала мне второй шанс и после аварии я очнулась в другом мире. Раньше я была врачом и пол жизни проработала на скорой помощи, а стала молоденькой сестрой-милос...",https://rust.litnet.com/uploads/covers/120/1746301990_94.jpg,https://litnet.com/ru/book/nevesta-v-begah-xozyaika-zapretnyh-pustoshei-b529856,Фэнтези
Сева Азим,Отбор с философским акцентом,"Я думала, самое худшее что может сегодня случится – это то, что я завалю экзамен по философии и вместо долгожданного отдыха в горах придётся готовиться к пересда...",https://rust.litnet.com/uploads/covers/120/1748348236_15.png,https://litnet.com/ru/book/nevesta-v-begah-xozyaika-zapretnyh-pustoshei-b529856,Фэнтези
Екатерина Гераскина,Развод с ректором. Попаданка в жену дракона,"Я проснулась в теле нелюбимой жены дракона. Мой муж — могущественный маг, и он ненавидит меня. 
Дарклэй встретил свою истинную и, по закону, требует развода. А е...",https://rust.litnet.com/uploads/covers/120/1746295240_16.jpg,https://litnet.com/ru/book/nevesta-v-begah-xozyaika-zapretnyh-pustoshei-b529856,Фэнтези
Северина Рэй,Хозяйка чайной плантации. Последний шанс для старой девы,"Я очнулась в новом мире. И вроде молодая, а уже взрослые дети, которые меня стыдятся. “Муж”, который назвал меня старухой и сослал в глухомань, где мародерствую...",https://rust.litnet.com/uploads/covers/120/1741379394_41.jpg,https://litnet.com/ru/book/nevesta-v-begah-xozyaika-zapretnyh-pustoshei-b529856,Фэнтези
Мария Самтенко,Сбежавшая жена. Хозяйка лавовых полей,"Я чуть не стала самой невезучей попаданкой в истории: очнулась в другом мире… на виселице.

В родном мире я была пышечкой. А в этом – несчастная, запуганная жен...",https://rust.litnet.com/uploads/covers/120/1747856042_54.jpeg,https://litnet.com/ru/book/nevesta-v-begah-xozyaika-zapretnyh-pustoshei-b529856,Фэнтези
Александра Воронцова,"Наследница поместья ""Соколиная башня""","Я, леди Энн Чествик, и с момента смерти моего отца, моя жизнь не стоит и гроша. Мачеха способна на все, лишь бы не позволить мне получить наследство. Меня отправляют в ...",https://rust.litnet.com/uploads/covers/120/1730702297_48.png,https://litnet.com/ru/book/nevesta-v-begah-xozyaika-zapretnyh-pustoshei-b529856,Фэнтези
Эми Мун,Наследник для хозяина стаи,"У омег нет прав. Их судьба – греть постель альфы и родить ему наследника. С детства Аврору готовили к этой роли. Заботились о ней, только чтобы выгодно продать. И вот ...",https://rust.litnet.com/uploads/covers/120/1744298269_29.jpg,https://litnet.com/ru/book/nevesta-v-begah-xozyaika-zapretnyh-pustoshei-b529856,Фэнтези
Соня Марей,На все руки доктор,"Судьба закинула меня, заслуженного врача, в другой мир. Теперь я девица из рода опальных целителей. На моем попечении беспомощные родственники и старый замок, а жад...",https://rust.litnet.com/uploads/covers/120/1738644973_61.jpg,https://litnet.com/ru/book/nevesta-v-begah-xozyaika-zapretnyh-pustoshei-b529856,Фэнтези
Юлия Арниева,Исключительное право Адель Фабер,"Жизнь редко предлагает второй шанс. Но если он выпал — я не собираюсь тратить его на страдания и покорность.
Теперь я — Адель Фабер, титулованная дама в мире, гд...",https://rust.litnet.com/uploads/covers/120/1744102178_76.jpg,https://litnet.com/ru/book/nevesta-v-begah-xozyaika-zapretnyh-pustoshei-b529856,Фэнтези
Елена Солт,Развод с генералом драконов,"– Собери вещи, – бросает дракон, поднимаясь с постели и затягивая шнуровку штанов.
– Мы куда-то едем? – стыдливо натягиваю одеяло до подбородка.
Муж вернул...",https://rust.litnet.com/uploads/covers/120/1707165185_22.png,https://litnet.com/ru/book/nevesta-v-begah-xozyaika-zapretnyh-pustoshei-b529856,Фэнтези
Светлана Шёпот,Молочная ферма в наследство,"Нина Андреевна умерла и очнулась в другом мире – в теле юной Наины, которую опекуны считали собственностью и хотели выдать замуж за жестокого сына. Однако судьба...",https://rust.litnet.com/uploads/covers/120/1744738295_2.jpg,https://litnet.com/ru/book/nevesta-v-begah-xozyaika-zapretnyh-pustoshei-b529856,Фэнтези
Алла Эрра,Госпожа Ищейка. Битва за семью,"Я поправила репутацию тела, в которое попала. Теперь считаюсь в Борено уважаемой личностью, способной распутать сложные преступления. Стала не простой женой госпо...",https://rust.litnet.com/uploads/covers/120/1743374206_17.jpg,https://litnet.com/ru/book/nevesta-v-begah-xozyaika-zapretnyh-pustoshei-b529856,Фэнтези
Анастасия Милославская,"Позор рода, или Выжить в академии ненависти","БЕСПЛАТНО

После смерти отца родственники предали меня – наследницу рода. Несправедливо обвинили и закрыли в пансионе, признав ущербной. Запечатали мой дар, ч...",https://rust.litnet.com/uploads/covers/120/1743142679_30.jpg,https://litnet.com/ru/book/nevesta-v-begah-xozyaika-zapretnyh-pustoshei-b529856,Фэнтези
Константин Фрес,Жена-беглянка. Ребенок для попаданки,"Я мечтала стать матерью, но моей мечте не суждено было сбыться.

Вместо счастливого материнства я получила диагноз «бесплодие» и предательства мужа.

Он убил меня, в...",https://rust.litnet.com/uploads/covers/120/1748808417_53.jpg,https://litnet.com/ru/book/nevesta-v-begah-xozyaika-zapretnyh-pustoshei-b529856,Фэнтези
Ри Даль,"Соленья и варенья от попаданки, или новая жизнь бабы Зины","В прошлой жизни не сложилось у меня ни с мужем, ни с детьми. Зато воспитала не одно поколение детишек и закатала целый батальон солений.
И вот, надо же, попала! Да ещё ...",https://rust.litnet.com/uploads/covers/120/1741724883_85.jpg,https://litnet.com/ru/book/nevesta-v-begah-xozyaika-zapretnyh-pustoshei-b529856,Фэнтези
Эйрена Космос,Развод по-драконьи. Ты утратила ценность,"Меня оклеветали! Обвинили в страшном преступлении против мужа. 
Жестокий муж-дракон, генерал Огнекрылой армии, требует развода!
Отныне я изгой, униженная, и без г...",https://rust.litnet.com/uploads/covers/120/1748232288_52.png,https://litnet.com/ru/book/nevesta-v-begah-xozyaika-zapretnyh-pustoshei-b529856,Фэнтези
Кира Иствуд,Искупление злодейки 2,Каждую ночь мне снится сказочный сон. В нём я счастлива с вожаком снежных барсов. Но в реальности мы не можем быть вместе. Я его худший враг. А его армия вз...,https://rust.litnet.com/uploads/covers/120/1746734162_27.jpg,https://litnet.com/ru/book/nevesta-v-begah-xozyaika-zapretnyh-pustoshei-b529856,Фэнтези
"Таша Тонева, Татьяна Демидова",Незабудка для генералов орков,"Мой отец продал меня. Оркам. Трем грозным и безжалостным генералам. Я думала, на этом для меня все закончится. Невероятно, но я ошибалась. Моя настоящая жизнь только ...",https://rust.litnet.com/uploads/covers/120/1741377785_24.png,https://litnet.com/ru/book/nezabudka-dlya-generalov-orkov-b519653,Фэнтези
Анастасия Милославская,"Истинные, или Выжить в империи ненависти","Я потеряла всё. Отец моего ребёнка – самый влиятельный и жестокий дракон империи – унизил и отверг меня, отказавшись от нашей истинной связи в тот момент, когд...",https://rust.litnet.com/uploads/covers/120/1743142704_9.jpg,https://litnet.com/ru/book/nezabudka-dlya-generalov-orkov-b519653,Фэнтези
Анастасия Милославская,Скандальная история старой жены,"Двенадцать лет брака закончились скандальным разбирательством и разводом. Меня обвиняют в связи с восемнадцатилетним воспитанником – племянником мужа, которо...",https://rust.litnet.com/uploads/covers/120/1746300980_90.jpg,https://litnet.com/ru/book/nezabudka-dlya-generalov-orkov-b519653,Фэнтези
Елена Солт,Изгнанная жена дракона или таверна попаданки,"Вот это попала в новый мир!

Муж-дракон после двадцати лет бездетного брака сказал, что устал от меня и никогда не любил. Сравнил с поношенной старой сандалией, котор...",https://rust.litnet.com/uploads/covers/120/1736931688_94.png,https://litnet.com/ru/book/nezabudka-dlya-generalov-orkov-b519653,Фэнтези
"Алиса Ардова, Ольга Райская","Поддельная невеста, или Как приворожить негодяя","💥Его Светлость — надменный и холодный, как ледяная статуя на главной площади в праздничный день — шагнул ко мне, перекрывая пути к отступлению…
Сердце зас...",https://rust.litnet.com/uploads/covers/120/1736022564_58.jpg,https://litnet.com/ru/book/nezabudka-dlya-generalov-orkov-b519653,Фэнтези
Виктория Вера,Служанка для прокаженного лорда,"Говорят, новый хозяин замка обезображен и нелюдим. Говорят, он принёс королевству победу… но сюда его сослали в наказание, и никто не знает за что. 
Многое гово...",https://rust.litnet.com/uploads/covers/120/1741248455_91.png,https://litnet.com/ru/book/nezabudka-dlya-generalov-orkov-b519653,Фэнтези
Светлана Шёпот,Госпожа Медвежьего угла,"Однажды Валентина Ивановна умерла в своем мире, а очнулась в чужом, в теле сироты, которую жестокие родственники держали при себе как служанку. Полуразрушенный дом ...",https://rust.litnet.com/uploads/covers/120/1732612706_58.jpg,https://litnet.com/ru/book/nezabudka-dlya-generalov-orkov-b519653,Фэнтези
Таня Акентьева,Развод в 45 Хозяйка заброшенного имения,"ПРОМО в главах📚
После двадцати лет, казалось бы, счастливого брака, дракон привёл в наш дом свою истинную.
Её он хочет видеть своей женой, а меня…
Любовницей?
Но ...",https://rust.litnet.com/uploads/covers/120/1747018754_92.png,https://litnet.com/ru/book/nezabudka-dlya-generalov-orkov-b519653,Фэнтези
Адель Хайд,Хозяйка Северных гор 2,"🔥Цена скоро вырастет! 🔥
Книга 1 здесь https://litnet.com/shrt/giBX

Попала в прошлое, в графиню без графства, сосланную в замок на краю королевства, в суровый край, где длинны...",https://rust.litnet.com/uploads/covers/120/1744406239_33.jpg,https://litnet.com/ru/book/nezabudka-dlya-generalov-orkov-b519653,Фэнтези
Натали Лансон,Фаворитка изумрудного змея,"Было трудно, но я справилась! Влилась в новый мир и расположила к себе людей. Спасла от голодной смерти целое герцогство и умудрилась пополнить казну, хотя это совсе...",https://rust.litnet.com/uploads/covers/120/1743362386_47.png,https://litnet.com/ru/book/nezabudka-dlya-generalov-orkov-b519653,Фэнтези
Анна Владимирова,Мой сосед - медведь,"Мне 38, и меня бросили все. Муж ушел к фитнес-тренеру «попа-орех» Валерии, дочь и сын остались с папой, потому что им так удобней. Сын сказал, что нет никакой траге...",https://rust.litnet.com/uploads/covers/120/1743610164_23.jpg,https://litnet.com/ru/book/nezabudka-dlya-generalov-orkov-b519653,Фэнтези
Адель Хайд,Вторая молодость Фаины,"🔥Цена скоро вырастет! 🔥
Завершив свой земной путь, попала в прошлое альтернативной реальности Российской империи, вместе с молодостью ей досталась усадьба с пас...",https://rust.litnet.com/uploads/covers/120/1742927833_91.jpg,https://litnet.com/ru/book/nezabudka-dlya-generalov-orkov-b519653,Фэнтези
Екатерина Гераскина,Развод с драконом. Попаданка в жену генерала,"Я проснулась в теле нелюбимой жены дракона. Мой муж — самый сильный и безжалостный генерал.
Аданат ненавидит меня, а ещё спустя десять лет «нашего» брака — встрети...",https://rust.litnet.com/uploads/covers/120/1749473235_7.png,https://litnet.com/ru/book/nezabudka-dlya-generalov-orkov-b519653,Фэнтези
Анна Солейн,Развод. Новая жизнь старой жены дракона,"— Развод. А на что ты рассчитывала? Скучная, старая, без магии. Мне надоело с тобой возиться.
Я отшатнулась и едва устояла на ногах: все внутри до сих пор болело после ...",https://rust.litnet.com/uploads/covers/120/1748328522_58.png,https://litnet.com/ru/book/nezabudka-dlya-generalov-orkov-b519653,Фэнтези
Дарья Верескова,Отбор. Помощница кронпринца,👑 Кронпринц Королевства объявляет отбор в связи с неожиданно ранним «Временем Зова»! Во дворец приглашаются все незамужние благородные пробудившиеся предс...,https://rust.litnet.com/uploads/covers/120/1744035131_6.png,https://litnet.com/ru/book/nezabudka-dlya-generalov-orkov-b519653,Фэнтези
Зена Тирс,"Развод с драконом, или Гиблое поместье попаданки","— То, что случилось прошлой ночью ничего не значит, я с тобой развожусь, — произносит монстр, застёгивая пуговицы на сорочке.

Всю ночь он занимался со мной любо...",https://rust.litnet.com/uploads/covers/120/1747255210_39.jpg,https://litnet.com/ru/book/nezabudka-dlya-generalov-orkov-b519653,Фэнтези
