author,title,annotation,img_url,book_url,genre
Шелест Листьев,Легенда о главнокомандующем и небожительнице [том 2],"Вот уже сотни лет по всем трём мирам гуляет одна легенда.

Легенда та повествует о любви воинственного и несокрушимого, как гора Куньлунь, главнокомандующего демо...",https://rust.litnet.com/uploads/covers/120/1745881369_80.png,https://litnet.com/ru/book/legenda-o-glavnokomanduyushchem-i-nebozhitelnice-tom-2-b517867,"Фэнтези, Азиатское фэнтези"
Нелл Сюэ,Абсент души моей: призраки прошлого,"Какова она, любовь антагониста? В жестоком мире заклинателей и нечисти каждое мгновение, проведённое с родным человеком — бесценно. 
...",https://rust.litnet.com/uploads/covers/120/1738602030_37.png,https://litnet.com/ru/book/legenda-o-glavnokomanduyushchem-i-nebozhitelnice-tom-2-b517867,"Фэнтези, Азиатское фэнтези"
Рия Торикава,Последняя кицунэ. Том 1,"«Последняя кицунэ» — камерная история взросления, одиночества и внутренней силы, рассказанная через призму японского городского фэнтези.

Юми — наполов...",https://rust.litnet.com/uploads/covers/120/1744270920_16.png,https://litnet.com/ru/book/legenda-o-glavnokomanduyushchem-i-nebozhitelnice-tom-2-b517867,"Фэнтези, Азиатское фэнтези"
Греховодова Дарья,"Девушка, скованная золотыми браслетами. Том 1.","Десять лет Элбан провёл в заточении далеко от внешнего мира, без способности выбраться. А уже этой ночью его навестит Белая Невеста, которая заберет его жизнь. На...",https://rust.litnet.com/uploads/covers/120/1740073176_9.png,https://litnet.com/ru/book/legenda-o-glavnokomanduyushchem-i-nebozhitelnice-tom-2-b517867,"Фэнтези, Азиатское фэнтези"
Larisa Denise ,Когда распускаются Лотосы. Том 1,"Быть полудемоном и служить Граданачальнику Хуа - было честью для Фа Лиан. Вознесение Наследного Принца Сяньлэ стало новым путешествием, в котором ей, к ее же несчас...",https://rust.litnet.com/uploads/covers/120/1737985445_91.png,https://litnet.com/ru/book/legenda-o-glavnokomanduyushchem-i-nebozhitelnice-tom-2-b517867,"Фэнтези, Азиатское фэнтези"
Василиса Акимова,"Несчастья, которые мы несём","Когда-то я считала его братом, а он предал и убил нашего отца. Продал нас кровожадному колдуну и разрушил мою жизнь. Я выросла среди духов и демонов, научилась выж...",https://rust.litnet.com/uploads/covers/120/1734803393_92.jpg,https://litnet.com/ru/book/legenda-o-glavnokomanduyushchem-i-nebozhitelnice-tom-2-b517867,"Фэнтези, Азиатское фэнтези"
Тай Ли,Наложница для дракона,"Вот это попала в другой мир! Репутация подпорчена! Муж-король ненавидит меня за отравление любимой наложницы, чего прежняя хозяйка не делала. Су Ен бы ревела бы посл...",https://rust.litnet.com/uploads/covers/120/1733258287_43.jpg,https://litnet.com/ru/book/legenda-o-glavnokomanduyushchem-i-nebozhitelnice-tom-2-b517867,"Фэнтези, Азиатское фэнтези"
Ksi Lupus,Заходите к Ведьме,"Я та, кто исполняет чужие мечты. 

Я та, кто воплотит любые ваши фантазии. 

Я та, кто может забрать вашу душу. 

Я - Ведьма. И я жду Вас. 

 

Если бы кто-нибудь ...",https://rust.litnet.com/uploads/covers/120/1731567665_11.jpg,https://litnet.com/ru/book/legenda-o-glavnokomanduyushchem-i-nebozhitelnice-tom-2-b517867,"Фэнтези, Азиатское фэнтези"
Дарья Уэльм,Анастасия. Попаданка к процветанию,"Меня зовут Анастасия, и я была как все — мечтала, любила и продолжала свою жизнь в бурлящей Москве, где каждый день приносил новые вызовы и возможности. Но однажды...",https://rust.litnet.com/uploads/covers/120/1730728320_32.png,https://litnet.com/ru/book/legenda-o-glavnokomanduyushchem-i-nebozhitelnice-tom-2-b517867,"Фэнтези, Азиатское фэнтези"
Ксения Капустина,Изгнание принцессы-недоучки. Часть 3,"Ох и непросто оказалось жить в заточении. То с продовольствием проблема, то от всяких чудовищ(или горничных) приходится отбиваться. Между тем клан Лю все больше опу...",https://rust.litnet.com/uploads/covers/120/1737262325_72.png,https://litnet.com/ru/book/legenda-o-glavnokomanduyushchem-i-nebozhitelnice-tom-2-b517867,"Фэнтези, Азиатское фэнтези"
Алиса Болдырева,Возмездие клана Чи Су,"Цин сумела отыскать кристалл потерянных душ, но какой ценой? Заклинатели клана Хутао под командованием генерала Хоу преследуют её. Госпожа Мейфенг, точно паук, пле...",https://rust.litnet.com/uploads/covers/120/1724999095_29.jpg,https://litnet.com/ru/book/legenda-o-glavnokomanduyushchem-i-nebozhitelnice-tom-2-b517867,"Фэнтези, Азиатское фэнтези"
Есси Юн,Пленница тьмы,"В альтернативном мире, где магия и древние традиции переплетаются, Мари, хранительница священного озера, живёт скромной жизнью, помогая прихожанам храма и оберега...",https://rust.litnet.com/uploads/covers/120/1721061490_35.jpg,https://litnet.com/ru/book/legenda-o-glavnokomanduyushchem-i-nebozhitelnice-tom-2-b517867,"Фэнтези, Азиатское фэнтези"
