author,title,annotation,img_url,book_url,genre
Данияр Сугралинов,Дисгардиум 13. Последняя битва-1,"Мир на грани катастрофы. Бездна готова поглотить реальность, а Дисгардиум охвачен хаосом. Древние силы пробуждаются, грозя нарушить равновесие между мирами.
Скиф, ...",https://rust.litnet.com/uploads/covers/120/1739120510_54.png,https://litnet.com/ru/book/disgardium-13-poslednyaya-bitva-1-b492568,"Фэнтези, Боевое фэнтази"
hawk-one,Второй шанс. Том 2,"Мало того, что ""Крылья"" усвистали в неведомые дали, оставив бедного техника без поддержки, так еще и наивную девчонку на шею повесили. Нашли, мля, воспитателя.
Ну и уш...",https://rust.litnet.com/uploads/covers/120/1747479452_86.jpg,https://litnet.com/ru/book/disgardium-13-poslednyaya-bitva-1-b492568,"Фэнтези, Боевое фэнтази"
Ищенко Геннадий,Приёмыш - книга 1,"Когда на тебя ополчилась жизнь, можно сломаться, можно озлобиться, а можно остаться человеком и драться за своё счастье и место под солнцем, пусть даже это буде...",https://rust.litnet.com/uploads/covers/120/1748309753_38.jpg,https://litnet.com/ru/book/disgardium-13-poslednyaya-bitva-1-b492568,"Фэнтези, Боевое фэнтази"
Алексей Гришин,Вторая дорога. Выбор офицера.,"Попаданцами бывают:
- юные девушки – они прекрасны, в них влюбляются императоры;
- спецназовцы, они круты и сами становятся императорами;
- молодые менеджеры, никто з...",https://rust.litnet.com/uploads/covers/120/1556563901_4.jpg,https://litnet.com/ru/book/disgardium-13-poslednyaya-bitva-1-b492568,"Фэнтези, Боевое фэнтази"
Алексей Гришин,Вторая дорога. Путь офицера.,"Продолжение истории ветерана российской контрразведки, превратившегося  в юного барона из магического мира. Он мечтал о спокойной жизни, но оказался втянут в интр...",https://rust.litnet.com/uploads/covers/120/1575665721_67.jpg,https://litnet.com/ru/book/disgardium-13-poslednyaya-bitva-1-b492568,"Фэнтези, Боевое фэнтази"
Андрей Ефремов,История Бессмертного-2 Мертвые земли,"Игра набирает популярность, все большее количество людей погружается в волшебный мир проекта Альфа. Бессмертный Кирик не сворачивает с выбранного пути, и делает о...",https://rust.litnet.com/uploads/covers/120/1586857443_4.jpg,https://litnet.com/ru/book/disgardium-13-poslednyaya-bitva-1-b492568,"Фэнтези, Боевое фэнтази"
Андрей Ефремов,История Бессмертного-5. Конец эпохи. Часть вторая,"Игра выходит на финальную стадию. План таинственного Властелина, который своими действиями вверг мир Альфа в пучину бесконечной войны за жизнь, раскрыт. Игроки, на...",https://rust.litnet.com/uploads/covers/120/1608539768_78.jpg,https://litnet.com/ru/book/disgardium-13-poslednyaya-bitva-1-b492568,"Фэнтези, Боевое фэнтази"
Александр Робский ,Хроники Чистокровного 3: Легенда Лариона Том 1,"⚜️Первый том⚜️

***

⌛️«Легенда» – это звание, за которое Наёмники готовы отдать свою жизнь. И получить его не так уж и просто, а если быть откровенным – ...",https://rust.litnet.com/uploads/covers/120/1732827609_48.jpg,https://litnet.com/ru/book/disgardium-13-poslednyaya-bitva-1-b492568,"Фэнтези, Боевое фэнтази"
Михаил Атаманов,Забаненный-3,"Артур каким-то чудом до сих пор ещё жив, хотя смерть и ходит за ним по пятам. Снова резкая перемена мест, снова смена личностей, снова идущие по следу героя коварные у...",https://rust.litnet.com/uploads/covers/120/1732023797_61.jpg,https://litnet.com/ru/book/disgardium-13-poslednyaya-bitva-1-b492568,"Фэнтези, Боевое фэнтази"
Кристина Райс (Kris Rise),Одиночка,"Что если взять обычную женщину и отправить в мир, наполненный болью, жестокостью и предательством? В мир, так похожий на онлайн-игру, но приправленный всем, что може...",https://rust.litnet.com/uploads/covers/120/1734314781_1.jpg,https://litnet.com/ru/book/disgardium-13-poslednyaya-bitva-1-b492568,"Фэнтези, Боевое фэнтази"
