author,title,annotation,img_url,book_url,genre
Натали Эмбер,Хозяйка старого замка,"БЕСТСЕЛЛЕР‍❤️‍После смерти я оказалась в другом мире, полном тайн и интриг. Из зашуганной баронессы, которую хочет сжить со свету злая мачеха, внезапно стала г...",https://rust.litnet.com/uploads/covers/120/1725431256_27.jpg,https://litnet.com/ru/book/xozyaika-starogo-zamka-b474915,"Фэнтези, Бытовое фэнтези"
Юлия Арниева,Кому добавки? История выживания на орочьей кухне,"Очнуться в теле слабенькой магички-бытовика среди орков — не входило в мои планы. И новая жизнь — это не второй шанс, а сплошной бардак: орочьи аппетиты, договор отр...",https://rust.litnet.com/uploads/covers/120/1750149007_16.jpg,https://litnet.com/ru/book/xozyaika-starogo-zamka-b474915,"Фэнтези, Бытовое фэнтези"
Терин Рем,Мой муж – чудовище! Изгнанная жена дракона,"Кейран – боевой дракон, генерал, попавший под проклятие, изменившее его внешность. Спасти его может только любовь истинной. И вроде бы ту самую – единственную – он ...",https://rust.litnet.com/uploads/covers/120/1734830808_46.jpg,https://litnet.com/ru/book/xozyaika-starogo-zamka-b474915,"Фэнтези, Бытовое фэнтези"
Антонина Циль,Отказная жена Феникса или Карьера дерзкой попаданки,"Знала ли я, обычная домохозяйка, отказавшаяся от карьеры ветеринара ради мифического счастья в «любящей семье»... во что ввяжусь в посмертной жизни. Я попала в ...",https://rust.litnet.com/uploads/covers/120/1727178410_79.jpg,https://litnet.com/ru/book/xozyaika-starogo-zamka-b474915,"Фэнтези, Бытовое фэнтези"
Лина Деева,Чудесный сад жены-попаданки,Сразу после договорной свадьбы муж-изменщик дарит крохотное имение в провинции и отправляет туда в ссылку? Да это лучшая новость за сегодня! Избавлю имение от долг...,https://rust.litnet.com/uploads/covers/120/1725299709_53.jpg,https://litnet.com/ru/book/xozyaika-starogo-zamka-b474915,"Фэнтези, Бытовое фэнтези"
Анжелика Роуз,Сбежавшая жена дракона. Хозяйка заброшенной таверны,"🔥 ДЕФЕКТИВНАЯ! 🔥

Она  – предмет всеобщих насмешек и унижений. 

Её  предназначение — стать супругой генерала-дракона и подарить ему наследника. Но ...",https://rust.litnet.com/uploads/covers/120/1741024719_23.jpg,https://litnet.com/ru/book/xozyaika-starogo-zamka-b474915,"Фэнтези, Бытовое фэнтези"
"Хелен Гуда, Агния Сказка ",Попаданка-травница на службе Его Величества,"Жила себе и горя не знала, как вдруг оказалась в другом мире. Теперь я — Марлен, ученица лекаря, пытающаяся вытащить из бедности аптекаря и его лавку. Но, оказывается...",https://rust.litnet.com/uploads/covers/120/1711314455_33.jpg,https://litnet.com/ru/book/xozyaika-starogo-zamka-b474915,"Фэнтези, Бытовое фэнтези"
Юлия Шахрай,Лавка точных предсказаний или Приручить дракона,"Судьба дарит тебе шанс и подсказывает, что сегодня встретишь «того самого». Вот только он не обычный мужчина, а дракон, меняющий женщин как перчатки.
Конечно же, нуж...",https://rust.litnet.com/uploads/covers/120/1746086777_69.jpg,https://litnet.com/ru/book/xozyaika-starogo-zamka-b474915,"Фэнтези, Бытовое фэнтези"
Тата Шах,Страшно только в первый раз!,"Взять чужую ответственность на себя – это по-нашему. Выиграть чужой бой, попасть в водоворот интриг и полюбить того, кого нельзя – о таком даже во сне страшно подум...",https://rust.litnet.com/uploads/covers/120/1674910978_21.jpg,https://litnet.com/ru/book/xozyaika-starogo-zamka-b474915,"Фэнтези, Бытовое фэнтези"
"Ася Рыба, Ллина Айс","Везучий случай, или Толстушка зажигает","Везучий случай! Как я оказалась в теле доверчивой пышки? И когда худеть? Если у меня на поруках грязный трактир, бес в образе ангела и настоящий демон, желающий уничт...",https://rust.litnet.com/uploads/covers/120/1670396110_6.jpg,https://litnet.com/ru/book/xozyaika-starogo-zamka-b474915,"Фэнтези, Бытовое фэнтези"
