author,title,annotation,img_url,book_url,genre
Ирина Кругликова,Тайны Кастоль 2,Продолжение истории двух сестер и ищеек из столичного отдела магических расследований и контроля (СОМРиК). На этот раз их путь пересекается с сыном загадочной п...,https://rust.litnet.com/uploads/covers/120/1741617497_37.jpg,https://litnet.com/ru/book/tainy-kastol-2-b519988,"Фэнтези, Эпическое фэнтези"
Дэн Лазарев,Шаг сквозь миры: Отец и дочь,"Он потерял её. И проснулся в мире, где магия убивает, а тьма собирает армию.

 

Без памяти и прошлого он вынужден выживать, прокачивать способности, раскрывать д...",https://rust.litnet.com/uploads/covers/120/1743618898_96.png,https://litnet.com/ru/book/tainy-kastol-2-b519988,"Фэнтези, Эпическое фэнтези"
Фарида Юсуф,Кровь и Перо,"В мире, где четырьмя родами управляют Владыки – хранители источников дара – должен быть соблюден нерушимый баланс. Но с некоторых пор владыки начали заболевать не...",https://rust.litnet.com/uploads/covers/120/1740920584_27.jpg,https://litnet.com/ru/book/tainy-kastol-2-b519988,"Фэнтези, Эпическое фэнтези"
СЕлена Ленс,Артефакт Сквозь время к истокам,"Молодые археологи отправляются на раскопки древнего города поздних скифов, чтобы найти ответы на вопросы, заполнить пробелы в истории и совершить великие открыти...",https://rust.litnet.com/uploads/covers/120/1741026688_71.png,https://litnet.com/ru/book/tainy-kastol-2-b519988,"Фэнтези, Эпическое фэнтези"
Ирина Кругликова,Дитерра,"– Вполне возможно, что я просто сплю и это странный сон про коричневую грязь, коричневые камни, коричневое небо и вообще в целом о коричневости здешнего бытия, – ти...",https://rust.litnet.com/uploads/covers/120/1741190379_60.jpg,https://litnet.com/ru/book/tainy-kastol-2-b519988,"Фэнтези, Эпическое фэнтези"
Лана Берг,Стражи ночи,"Мир Квентас находится на грани исчезновения, мифические существа нападают. Когда-то процветающий материк  превратился в пустыню, а гордый континент  покрылся...",https://rust.litnet.com/uploads/covers/120/1740492442_37.png,https://litnet.com/ru/book/tainy-kastol-2-b519988,"Фэнтези, Эпическое фэнтези"
Мэгги Бранто,Королевство Забвения,"Мейтин — настоящая леди голубых кровей, воспитанная в лучших традициях королевства. И кто бы мог знать, что однажды она очнётся посреди пустыни, с трудом способн...",https://rust.litnet.com/uploads/covers/120/1739123964_47.png,https://litnet.com/ru/book/tainy-kastol-2-b519988,"Фэнтези, Эпическое фэнтези"
Елена Кара,Избранная северного Дракона. Королевская кровь,"Не успев похоронить приемную мать Анжелика почти оказывается на улице. Названный брат гонит её из квартиры. 

Девушка засыпает в слезах, думая, как жить дальше. В...",https://rust.litnet.com/uploads/covers/120/1738357785_2.png,https://litnet.com/ru/book/tainy-kastol-2-b519988,"Фэнтези, Эпическое фэнтези"
Рэд Кэррот,Капля в капюшоне. Звездные маги,"(Книга 3, последняя в цикле)    Мерзкие сказки вредного бога нашли отражение в реальной жизни. Мастер Велка исчез навсегда, но осталась ледяная таали, чья памя...",https://rust.litnet.com/uploads/covers/120/1736587071_9.jpg,https://litnet.com/ru/book/tainy-kastol-2-b519988,"Фэнтези, Эпическое фэнтези"
Константин Теренин,Завоеватель миров: каменный великан,"""Виктор — человек, который словно живет не в своем времени.
Его рыцарские качества — доблесть, честь и отвага — кажутся анахронизмом в современном мире, г...",https://rust.litnet.com/uploads/covers/120/1736483440_17.png,https://litnet.com/ru/book/tainy-kastol-2-b519988,"Фэнтези, Эпическое фэнтези"
