author,title,annotation,img_url,book_url,genre
Анна Владимирова,Развод с монстром,"Верес Бесовецкий — самоуверенный высокомерный социопат, а еще — редкий специалист в области токсикологии и диагностики. Поэтому руководство ему все прощает &...",https://rust.litnet.com/uploads/covers/120/1728559363_64.png,https://litnet.com/ru/book/razvod-s-monstrom-b493604,"Фэнтези, Городское фэнтези"
Ника Горская,Дамир. Испытание истинностью,"БЕСПЛАТНО!
Всё, что сейчас происходит между нами - ужасно, но для меня еще ужаснее её отпустить.
Ещё вчера я считал истинность ошибкой, навязанной оборотням самой пр...",https://rust.litnet.com/uploads/covers/120/1709199484_73.jpg,https://litnet.com/ru/book/razvod-s-monstrom-b493604,"Фэнтези, Городское фэнтези"
Екатерина Гераскина,Мой (не)любимый чародей,"Мой привычный мир перевернулся, стоило встретить красивого незнакомца. 
Сумасшедшая любовь сделала меня самой счастливой в один миг, а в другой — разбила мне ...",https://rust.litnet.com/uploads/covers/120/1737570199_0.png,https://litnet.com/ru/book/razvod-s-monstrom-b493604,"Фэнтези, Городское фэнтези"
Василина Осипова,Ты принадлежишь мне,"Он – сын вожака, который скоро станет альфой. Вынужденный каждый день находиться рядом с истинной парой без возможности сделать ее своей.

Она – простая девочка, во...",https://rust.litnet.com/uploads/covers/120/1686692989_52.png,https://litnet.com/ru/book/razvod-s-monstrom-b493604,"Фэнтези, Городское фэнтези"
Лана Морриган,Невинный трофей для охотника,"Я пытаюсь выжить в мире, где правят оборотни и вампиры, а человек для них пустое место. Но всё изменилось в тот миг, когда я встретила Его.

Жизнь охотника — игра со ...",https://rust.litnet.com/uploads/covers/120/1634630359_58.jpg,https://litnet.com/ru/book/razvod-s-monstrom-b493604,"Фэнтези, Городское фэнтези"
Юлия Кажанова,Пташка для тигра 2,"Часть 2.
  Жизнь Ани стала налаживаться, она больше не пленница и не зверюшка, Хан признался что она стала очень дорога ему, и казалось бы, что может пойти не так? 
  По...",https://rust.litnet.com/uploads/covers/120/1681719906_1.jpg,https://litnet.com/ru/book/razvod-s-monstrom-b493604,"Фэнтези, Городское фэнтези"
"Джейд Дэвлин, Carbon",Мой азиатский принц-чеболь,"Меньше дорам надо смотреть! Тогда и просыпаться будешь в своей постели, а не в чужом теле! И главное, хозяин-чеболь из него никуда не делся, с ним надо договариваться....",https://rust.litnet.com/uploads/covers/120/1740039396_4.jpeg,https://litnet.com/ru/book/razvod-s-monstrom-b493604,"Фэнтези, Городское фэнтези"
Яна Роза,Месть альфы,"Милада обвиняется в убийстве, которого она не помнит, но подписывает признание и отправляется за решётку.
А Владимиром движет только месть…

В тексте есть:
# жест...",https://rust.litnet.com/uploads/covers/120/1735923446_42.jpg,https://litnet.com/ru/book/razvod-s-monstrom-b493604,"Фэнтези, Городское фэнтези"
Марина Бархатова,Непокорная. В плену у Зверя,"Он говорил, что я его пара, его Истинная.

Он врал, изменил мне.

Александр.

Сильный. Властный. Порочный.

Он обратил меня, нарушив древние законы стай.

Он был моим Альф...",https://rust.litnet.com/uploads/covers/120/1713208225_68.jpg,https://litnet.com/ru/book/razvod-s-monstrom-b493604,"Фэнтези, Городское фэнтези"
Фрея Фаллен,Красавица для двух Чудовищ,"Все началось с того, что меня подарили. Как куклу вручили Вечному, бессмертному, жестокому, могущественному магу, держащему город в своих руках. Я должна была стать ...",https://rust.litnet.com/uploads/covers/120/1692011732_67.png,https://litnet.com/ru/book/razvod-s-monstrom-b493604,"Фэнтези, Городское фэнтези"
Мартиша Риш,Наследство из другого мира,"‍❤️‍Бесплатно!🔥 Красавец сказал, будто он -  мой невольник! Достался мне в наследство от дяди вместе с домом и волшебной дверью в стене. За ней - другой мир. Ми...",https://rust.litnet.com/uploads/covers/120/1749715459_82.jpg,https://litnet.com/ru/book/razvod-s-monstrom-b493604,"Фэнтези, Городское фэнтези"
Марина Бархатова,Лишняя невеста для Альфы,"Мы были влюблены и счастливы… так казалось мне, пока не появилась она – Руслана – его невеста.
Сегодня наша свадьба… наша… его, моя и её.
В левой руке В...",https://rust.litnet.com/uploads/covers/120/1698827062_14.jpg,https://litnet.com/ru/book/razvod-s-monstrom-b493604,"Фэнтези, Городское фэнтези"
Нари Орлан,Приманка для демона,"— Кто ты такой?! Ты не мой жених!
— Разве я не выгляжу как он? — спросил мужчина с дьявольской ухмылкой.
— Да… И нет! Я тебя не знаю! Убери руки!
— У тебя есть выбор, ми...",https://rust.litnet.com/uploads/covers/120/1621846828_19.jpg,https://litnet.com/ru/book/razvod-s-monstrom-b493604,"Фэнтези, Городское фэнтези"
Olivia Driar,Сквозь века к тебе,"Генри Кларк нашёл способ преодолеть время и прошёл сквозь века, чтобы отыскать Элизабет. Он оказывается в мире, где мечи и луки уступили место машинам и гаджетам. Ге...",https://rust.litnet.com/uploads/covers/120/1743345848_78.jpg,https://litnet.com/ru/book/razvod-s-monstrom-b493604,"Фэнтези, Городское фэнтези"
Людмила Королева,Девочка для опасного Альфы,"- В мою комнату отведите эту девчонку, - отдает приказ Альфа черных волков. - Моей будешь, скромняшечка! 

- Что? Я же извинилась! Я случайно опрокинула на вас кофе! Не на...",https://rust.litnet.com/uploads/covers/120/1739472682_73.png,https://litnet.com/ru/book/razvod-s-monstrom-b493604,"Фэнтези, Городское фэнтези"
"Ольга Шо, Алекс Аурум",Тёмная Луна волчьей стаи,"🐺Узнав истинное лицо жениха накануне свадьбы, я сбежала и попала в лапы врага.
Он огромный, сильный и желает мести, а меня выбрал своим оружием против моего вожака.
...",https://rust.litnet.com/uploads/covers/120/1725098139_18.jpg,https://litnet.com/ru/book/razvod-s-monstrom-b493604,"Фэнтези, Городское фэнтези"
"Салиева Александра, Анастасия Пырченкова",Желанная для серого волка,"Он нависал надо мной несокрушимой скалой. В его глазах всё ярче разгорались медные росчерки, грозя полностью затопить серую радужку. На губах была размазана кровь. ...",https://rust.litnet.com/uploads/covers/120/1746872034_29.png,https://litnet.com/ru/book/razvod-s-monstrom-b493604,"Фэнтези, Городское фэнтези"
Екатерина Юдина ,Так обладает ужасное чудовище,"- Где моя одежда? - я словно ошпаренная оглянулась по сторонам, пытаясь не смотреть на полностью голого парня.
- Ты в курсе, что это мужская душевая?
- А тут вообще ест...",https://rust.litnet.com/uploads/covers/120/1677631317_12.jpg,https://litnet.com/ru/book/razvod-s-monstrom-b493604,"Фэнтези, Городское фэнтези"
Екатерина Юдина ,Так целует ужасное чудовище,"- Где моя одежда? - я словно ошпаренная оглянулась по сторонам, пытаясь не смотреть на полностью голого парня.
- Ты в курсе, что это мужская душевая? 
- А тут вообще ест...",https://rust.litnet.com/uploads/covers/120/1665173873_36.jpg,https://litnet.com/ru/book/razvod-s-monstrom-b493604,"Фэнтези, Городское фэнтези"
Ляна Вечер,Дикий папочка,"⚤— Слушаю, — я отвечаю на телефонный звонок.
— У тебя моя дочь, — хрипит мужской бас. — Надо встретиться. Я хочу видеть её.
— Кто вы такой? — едва зам...",https://rust.litnet.com/uploads/covers/120/1654167929_71.png,https://litnet.com/ru/book/razvod-s-monstrom-b493604,"Фэнтези, Городское фэнтези"
Валентина Елисеева,Тайный мир Иных. Рассказы.,"Истории героев продолжаются!

Нас ждёт первая встреча Вэллери с мужем (от лица обоих),  расследования, курьёзы из жизни Иных: демонов, оборотней, ведьм и вампиров, ...",https://rust.litnet.com/uploads/covers/120/1733129976_22.jpg,https://litnet.com/ru/book/tainyi-mir-inyh-rasskazy-b503148,"Фэнтези, Городское фэнтези"
Мария Фарс,Шагая сквозь миры,"Чтобы попасть в другой мир не обязательно умирать и даже выходить из дома. Достаточно ночью встать попить и неудачно споткнуться.
А тут море, песок, солнце... Может з...",https://rust.litnet.com/uploads/covers/120/1713376017_59.png,https://litnet.com/ru/book/tainyi-mir-inyh-rasskazy-b503148,"Фэнтези, Городское фэнтези"
