author,title,annotation,img_url,book_url,genre
Елена Солт,Невеста для тёмного ректора,"По воле отчима я должна стать женой человека, которого совсем не знаю.
Мой будущий муж равнодушен, холоден и жесток. Он обладает тёмной магией теней и пугает меня.
О...",https://rust.litnet.com/uploads/covers/120/1716369087_5.png,https://litnet.com/ru/book/nevesta-dlya-temnogo-rektora-b406742,"Фэнтези, Магическая академия"
Вернэлия Хайд,"Берегись, дракон! Или беременные будни попаданки","*ПРОМО в главах*
Меня! Замуж?! За это недоразумение?! Папенька, ты что, тронулся? Узнав, что родители решили сплавить любимую кровиночку какому-то чучелу, я, принцесса ...",https://rust.litnet.com/uploads/covers/120/1749954293_1.png,https://litnet.com/ru/book/nevesta-dlya-temnogo-rektora-b406742,"Фэнтези, Магическая академия"
Ивина Кашмир,"Второй шанс для тихони, или Я ненавижу тебя, дракон","В прошлой жизни я была тихой и незаметной. Боялась внимания, пряталась в тени… и так и не успела по-настоящему зажить.
Теперь все иначе.
Я попала в мир, где правят ...",https://rust.litnet.com/uploads/covers/120/1739164045_90.jpg,https://litnet.com/ru/book/nevesta-dlya-temnogo-rektora-b406742,"Фэнтези, Магическая академия"
Санна Сью,Тень для драконьего принца,"Внезапно стать попаданкой и оказаться в лапах грозного красавца-дракона доводится немногим...
Я простая девушка с обычными планами и среднестатистическими мечтам...",https://rust.litnet.com/uploads/covers/120/1679073367_99.jpg,https://litnet.com/ru/book/nevesta-dlya-temnogo-rektora-b406742,"Фэнтези, Магическая академия"
"Алина Углицкая, Полина Нема",В планах на будущее драконы не значатся!,"Еще вчера я спокойно готовилась к защите диплома, а сегодня очнулась в чужой постели! И это только начало моих злоключений. Ведь я оказалась в чужом мире, в чужом тел...",https://rust.litnet.com/uploads/covers/120/1747819184_59.jpg,https://litnet.com/ru/book/nevesta-dlya-temnogo-rektora-b406742,"Фэнтези, Магическая академия"
Таня Акентьева,Академия Хаоса или моя новая жизнь,"Я Ксения Ким! Обычная девушка, угодившая по трагической случайности в магический мир. Впустившая в себя силу ведьмы и инородную магию. Теперь я Ведьма, которая по за...",https://rust.litnet.com/uploads/covers/120/1678095612_38.png,https://litnet.com/ru/book/nevesta-dlya-temnogo-rektora-b406742,"Фэнтези, Магическая академия"
Светлана Шавлюк,Ведьма и дракон. От судьбы в академии (не)спрячешься,"Кто же знал, что благое дело приведет к таким последствиям? Я всего лишь решила помочь раненому дракону, а теперь сбегаю в академию. А все потому, что темные тайны ма...",https://rust.litnet.com/uploads/covers/120/1743093861_92.jpg,https://litnet.com/ru/book/nevesta-dlya-temnogo-rektora-b406742,"Фэнтези, Магическая академия"
Светлана Суббота,Драконий подарок,"☘️ Внимание - попаданка! Я попала в мир, где все студенты академии - драконы. Здесь у меня неуклюжее тело, которое срочно надо приводить в порядок, подписаны условия ...",https://rust.litnet.com/uploads/covers/120/1730474910_82.jpg,https://litnet.com/ru/book/nevesta-dlya-temnogo-rektora-b406742,"Фэнтези, Магическая академия"
"Кира Лин, Анна Дрэйк",Академия драконов. Чужая истинная,"БЕСПЛАТНО!!! Во время подработки в кондитерской я умудрилась уронить пирожные на надменного красавчика, дракона и вдобавок сына ректора академии Стихий, в котор...",https://rust.litnet.com/uploads/covers/120/1713927449_77.jpg,https://litnet.com/ru/book/nevesta-dlya-temnogo-rektora-b406742,"Фэнтези, Магическая академия"
Лидия Миленина,Свадебный переполох в Академии. Ректор в игре (не) участвует,"Спрыгнула с табуретки на Земле, а приземлилась на руки обнаженному ректору магической Академии в другом мире! Убедившись, что крылышки у меня не режутся, он приспос...",https://rust.litnet.com/uploads/covers/120/1742441723_76.jpg,https://litnet.com/ru/book/nevesta-dlya-temnogo-rektora-b406742,"Фэнтези, Магическая академия"
