author,title,annotation,img_url,book_url,genre
Карина Демина,Громов: Хозяин теней. 4,"Официально род Громовых оборвался. Вот только далеко не все готовы поверить, что Громовых больше не осталось. Да и сами они категорически не способны вести тихую не...",https://rust.litnet.com/uploads/covers/120/1743576049_38.jpg,https://litnet.com/ru/book/gromov-xozyain-tenei-4-b523337,"Фэнтези, Приключенческое фэнтези"
Северина Рэй,Хозяйка чайной плантации. Последний шанс для старой девы,"Я очнулась в новом мире. И вроде молодая, а уже взрослые дети, которые меня стыдятся. “Муж”, который назвал меня старухой и сослал в глухомань, где мародерствую...",https://rust.litnet.com/uploads/covers/120/1741379394_41.jpg,https://litnet.com/ru/book/gromov-xozyain-tenei-4-b523337,"Фэнтези, Приключенческое фэнтези"
Александра Воронцова,"Наследница поместья ""Соколиная башня""","Я, леди Энн Чествик, и с момента смерти моего отца, моя жизнь не стоит и гроша. Мачеха способна на все, лишь бы не позволить мне получить наследство. Меня отправляют в ...",https://rust.litnet.com/uploads/covers/120/1730702297_48.png,https://litnet.com/ru/book/gromov-xozyain-tenei-4-b523337,"Фэнтези, Приключенческое фэнтези"
Елена Солт,Развод с генералом драконов,"– Собери вещи, – бросает дракон, поднимаясь с постели и затягивая шнуровку штанов.
– Мы куда-то едем? – стыдливо натягиваю одеяло до подбородка.
Муж вернул...",https://rust.litnet.com/uploads/covers/120/1707165185_22.png,https://litnet.com/ru/book/gromov-xozyain-tenei-4-b523337,"Фэнтези, Приключенческое фэнтези"
Эйрена Космос,Развод по-драконьи. Ты утратила ценность,"Меня оклеветали! Обвинили в страшном преступлении против мужа. 
Жестокий муж-дракон, генерал Огнекрылой армии, требует развода!
Отныне я изгой, униженная, и без г...",https://rust.litnet.com/uploads/covers/120/1748232288_52.png,https://litnet.com/ru/book/gromov-xozyain-tenei-4-b523337,"Фэнтези, Приключенческое фэнтези"
Влади Солерн ,Госпожа Снежных Буранов,"БЕСПЛАТНО! Не было печали, да самые близкие маги решили сплавить единственную дочь под венец с незнакомцем, который и встретиться со мной не пожелал: видите ли, ему ...",https://rust.litnet.com/uploads/covers/120/1735976196_35.png,https://litnet.com/ru/book/gromov-xozyain-tenei-4-b523337,"Фэнтези, Приключенческое фэнтези"
Ксения Есенина,Изгнанная драконом. Школа-сад попаданки,"Ещё вчера была воспитательницей в детском саду, а сегодня оказалась в теле изгнанной жены! Дракон обвинил в том, что я приворожила его, и выгнал в заброшенный прокля...",https://rust.litnet.com/uploads/covers/120/1745267099_78.png,https://litnet.com/ru/book/gromov-xozyain-tenei-4-b523337,"Фэнтези, Приключенческое фэнтези"
Теона Рэй,Мой любимый враг,"Я ненавистна собственной семье, и уж точно никогда бы не подумала, что стану невестой драконьего лорда. Но счастье быть рядом с ним обернулось желанием умереть, пот...",https://rust.litnet.com/uploads/covers/120/1712533285_78.jpeg,https://litnet.com/ru/book/gromov-xozyain-tenei-4-b523337,"Фэнтези, Приключенческое фэнтези"
Алиса Лаврова,Предатель. Оклеветанная Жена. Книга 2,"Вторая часть дилогии

Первую часть читайте здесь: https://litnet.com/shrt/utL7

Мой муж вероломно воспользовался тем, что во время беременности моя магия ослабла, и вместе с м...",https://rust.litnet.com/uploads/covers/120/1741637764_91.jpg,https://litnet.com/ru/book/gromov-xozyain-tenei-4-b523337,"Фэнтези, Приключенческое фэнтези"
Ольга Иконникова,Леди из низшего общества,"— Я хотел сказать вам, Кэтрин, что я начал бракоразводный процесс, — эту новость мой муж, лорд Кросби, сообщил мне за обедом, дабы все члены его семьи смогли насладит...",https://rust.litnet.com/uploads/covers/120/1738440540_87.jpg,https://litnet.com/ru/book/gromov-xozyain-tenei-4-b523337,"Фэнтези, Приключенческое фэнтези"
"Юлия Арниева, Ульяна Заповедная",Несносные дочери леди Элизабет 2,"Я вышла замуж по договорённости — без чувств, без обязательств и, как мне казалось, без сюрпризов.
Но оказалось, у моего фиктивного мужа тайн больше, чем у придворно...",https://rust.litnet.com/uploads/covers/120/1744871606_55.jpg,https://litnet.com/ru/book/gromov-xozyain-tenei-4-b523337,"Фэнтези, Приключенческое фэнтези"
Татьяна Серганова,Навязанная жена. Единственная,"Что будет, если темную ведьму насильно выдать замуж за князя из таинственного Запределья? Катастрофа!
Меня зовут Фрэн Дейл. И я случайно раскрыла все секреты загадо...",https://rust.litnet.com/uploads/covers/120/1741202118_29.jpg,https://litnet.com/ru/book/gromov-xozyain-tenei-4-b523337,"Фэнтези, Приключенческое фэнтези"
