author,title,annotation,img_url,book_url,genre
Лисавета Челищева,Желанная Шести,"Выбранная ритуальной жертвой для нечисти, угрожающей поглотить деревню, Шура едва избегает их лап. Побег приводит ее в поместье, населенное шестью привлекательным...",https://rust.litnet.com/uploads/covers/120/1742659891_66.jpg,https://litnet.com/ru/book/zhelannaya-shesti-b521726,"Фэнтези, Cлавянское фэнтези"
Зоряна Лемешенко,Душа берсерка,"Враги напали на деревню Веселины много лет назад, её взяли в плен, и с самого детства она была невольницей в чужом племени. Но однажды появился ОН - воин, который не у...",https://rust.litnet.com/uploads/covers/120/1738098227_76.jpg,https://litnet.com/ru/book/zhelannaya-shesti-b521726,"Фэнтези, Cлавянское фэнтези"
Васёва Ксения,Снежная тайна Его дворца,"Я выбрала поединок вместо свадьбы - и теперь все считают меня блаженной. Царь-батюшка явно что-то замышляет, а над его дворцом сгущаются тучи. Но подруги и верная кош...",https://rust.litnet.com/uploads/covers/120/1737201460_72.jpg,https://litnet.com/ru/book/zhelannaya-shesti-b521726,"Фэнтези, Cлавянское фэнтези"
Анастасия Суворова,Ненужная жена и Навья кутерьма,"– Ольяна, познакомься. Это – Лейза. Она будет жить с нами.
– В каком смысле? – недоумеваю я. – Она твоя новая прислужница?
– Нет. Жена, – слащаво ул...",https://rust.litnet.com/uploads/covers/120/1733700848_35.jpg,https://litnet.com/ru/book/zhelannaya-shesti-b521726,"Фэнтези, Cлавянское фэнтези"
"Лиса Райс, Светлана Суровцева",Невеста Полоза,"Мачеха решила избавиться от меня на скорую руку. Отправила в лес по ягоду в ночь Змеиных свадеб.
А ведь все знают, что нельзя в эти дни туды соваться! Но мачеху я побо...",https://rust.litnet.com/uploads/covers/120/1731926926_71.png,https://litnet.com/ru/book/zhelannaya-shesti-b521726,"Фэнтези, Cлавянское фэнтези"
Виктория Виноградова,"Царя, полцарства и мага в придачу!","ПРО ЛЕНКУ - 1 
Проснуться в постели незнакомого мужчины? Веселенькое начало дня. 
Вот только где моя одежда? И что за дом такой странный? И почему за окном лето...",https://rust.litnet.com/uploads/covers/120/1739697426_56.jpg,https://litnet.com/ru/book/zhelannaya-shesti-b521726,"Фэнтези, Cлавянское фэнтези"
Елена Яр,"Зачем тебе ведьма, ведьмак?","Если на двор к ведьме пожаловал ведьмак, его надо накормить, напоить и спать… А, нет, погодите, не то. Враги пирогами друг друга не потчуют. Надо накинуть личину стар...",https://rust.litnet.com/uploads/covers/120/1738494039_66.jpg,https://litnet.com/ru/book/zhelannaya-shesti-b521726,"Фэнтези, Cлавянское фэнтези"
Наталья Лакота (Ната Лакомка),Поцелуй-трава и бедовая голова,"Мне пришлось спрятаться в заповедном лесу, притворившись старой уродливой ведьмой, потому что жить с дикими зверями безопаснее, чем жить с людьми. Я хотела забыть о...",https://rust.litnet.com/uploads/covers/120/1737368631_52.jpg,https://litnet.com/ru/book/zhelannaya-shesti-b521726,"Фэнтези, Cлавянское фэнтези"
Мария Ерова,Сиротка для князя оборотней,"Я не была счастлива в своём мире. Но попав в тело Настасьи – девушки-сироты из далёкого прошлого, живущей в славянской деревне, я осознала, что такое настоящий ад. Ме...",https://rust.litnet.com/uploads/covers/120/1727624619_67.png,https://litnet.com/ru/book/zhelannaya-shesti-b521726,"Фэнтези, Cлавянское фэнтези"
Ева Рэйн,Голубка для князя,"Бросив невесту в лесу, Деян вскочил на коня и умчался прочь... стылый ветер завывал вокруг, словно дикий зверь.
Ярина, вся в слезах, побрела обратно в зимовку.
- Почему ...",https://rust.litnet.com/uploads/covers/120/1732088506_41.png,https://litnet.com/ru/book/zhelannaya-shesti-b521726,"Фэнтези, Cлавянское фэнтези"
Милена Вин,Невеста вождя драконов,"❤БЕСПЛАТНО❤
Микаэлла с детства была склонна к авантюрам. Гордо называя себя соколом севера, она не страшилась обнажать меч перед лицом опасности. Удача преследов...",https://rust.litnet.com/uploads/covers/120/1726335151_72.jpg,https://litnet.com/ru/book/zhelannaya-shesti-b521726,"Фэнтези, Cлавянское фэнтези"
Васёва Ксения,Но я не княжна!,"- Отпустите меня! - закричала я, но вредная девка вцепилась в руку до синяков. Ей помогали рослые подруженьки, тоже недовольные вниманием к княжне.

- Чего испугалась, ...",https://rust.litnet.com/uploads/covers/120/1725942146_93.png,https://litnet.com/ru/book/zhelannaya-shesti-b521726,"Фэнтези, Cлавянское фэнтези"
Ева Финова,Трактирные шалости,"⚜️Спасла раненного бродягу с улицы? Крепись, мужайся и выхаживай больного до полного выздоровления. Как? Он, оказывается, пятый наследник императора Сивольда? Доп...",https://rust.litnet.com/uploads/covers/120/1725563705_73.jpg,https://litnet.com/ru/book/zhelannaya-shesti-b521726,"Фэнтези, Cлавянское фэнтези"
Даха Тараторина,Змеелов,"Ходят враки, что рождён он самим туманом.

Что мёртвый глаз его видит Безлюдье, а сердце, скованное железом, не гонит по телу горячую руду.
Что ходит он по свету непри...",https://rust.litnet.com/uploads/covers/120/1721638099_62.jpg,https://litnet.com/ru/book/zhelannaya-shesti-b521726,"Фэнтези, Cлавянское фэнтези"
Наталья Русинова,Лешакова невеста,"Книга выходит в апреле 2025 года в издательстве ""Астрель-СПб (АСТ) под названием ""Тайна проклятого дара""
**
Однажды простая деревенская девка в запале пообещал...",https://rust.litnet.com/uploads/covers/120/1727514421_88.png,https://litnet.com/ru/book/zhelannaya-shesti-b521726,"Фэнтези, Cлавянское фэнтези"
Северина Рэй,Бесправная жена дракона,"Умерев в своем мире, я попадаю в тело беременной служанки. Теперь я не бездетная старушка, а мама прекрасной дочери князя-дракона и в скором времени сына. Но есть про...",https://rust.litnet.com/uploads/covers/120/1719607428_100.jpg,https://litnet.com/ru/book/zhelannaya-shesti-b521726,"Фэнтези, Cлавянское фэнтези"
Юля Стешенко,"Пушкин, кружка, два ствола","Кто страшнее - упыри, старшеклассники или проверка из области?
В провинциальном городишке разгулялись вурдалаки, и на охоту выезжает профессиональный чистильщик Д...",https://rust.litnet.com/uploads/covers/120/1718114408_89.png,https://litnet.com/ru/book/zhelannaya-shesti-b521726,"Фэнтези, Cлавянское фэнтези"
CaseyLiss,"Хозяйка волшебного леса, или Мама для найденышей!","Ох, далеко не проста жизнь ведьмы-травницы. Особенно, когда ты еще и хозяйка Волшебного леса. Помимо помощи местным жителям, приходится следить за нечистью, которая ...",https://rust.litnet.com/uploads/covers/120/1716577511_26.jpg,https://litnet.com/ru/book/zhelannaya-shesti-b521726,"Фэнтези, Cлавянское фэнтези"
Кристина Ванг,Хозяин багряных болот,"Есть в лесу за селом болота нечистые. В ночь Ивана Купала, раз в двадцать лет становятся они багряными, как кровь. Есть у них и Хозяин — Болотник. Бледный стар...",https://rust.litnet.com/uploads/covers/120/1714069626_13.jpg,https://litnet.com/ru/book/zhelannaya-shesti-b521726,"Фэнтези, Cлавянское фэнтези"
Лисавета Челищева,Звериная страсть,"Выбранная в качестве ритуальной жертвы для упырей, угрожающих поглотить деревню, Шура едва избегает их лап. Этот побег приводит ее в роскошный особняк, населенный ...",https://rust.litnet.com/uploads/covers/120/1713123236_83.png,https://litnet.com/ru/book/zhelannaya-shesti-b521726,"Фэнтези, Cлавянское фэнтези"
