author,title,annotation,img_url,book_url,genre
Надежда Черпинская,"Три ночи с лицемером, или Stolen Сar","Можно ли прожить жизнь всего за три ночи?  Наверное, это нереально.  
Вот только выбора нет. Три ночи – это всё, что отмерило беспощадное мироздание.  
Значит, попытать...",https://rust.litnet.com/uploads/covers/120/1698584148_7.png,https://litnet.com/ru/book/tri-nochi-s-licemerom-ili-stolen-sar-b455857,"Фэнтези, Тёмное фэнтези"
Ди Сёмина,Любовная магия для Тёмного короля,БУКТРЕЙЛЕР 2 книги под одной обложкой! Руби наследница волшедного мира и владеет редким даром любовной магии. На неё открыли охоту слуги Тёмного короля. Но она смог...,https://rust.litnet.com/uploads/covers/120/1706472095_26.jpg,https://litnet.com/ru/book/tri-nochi-s-licemerom-ili-stolen-sar-b455857,"Фэнтези, Тёмное фэнтези"
Ева Рэйн,Принцесса-служанка для лорда Валтора,"Я - дочь короля эльфов, изгнанная из собственных владений узурпатором престола - моим сводным братом. Этот коварный подонок объявил на меня охоту, и я вынуждена скры...",https://rust.litnet.com/uploads/covers/120/1732271773_0.jpg,https://litnet.com/ru/book/tri-nochi-s-licemerom-ili-stolen-sar-b455857,"Фэнтези, Тёмное фэнтези"
Екатерина Слави,"Тайна серого кардинала, или Как я стала злодейкой","Его называют серым кардиналом. Говорят, даже король – марионетка в его руках. В ту ночь, когда магистр Тариен Грим вошел в темное подземелье, где я ждала казни, он ...",https://rust.litnet.com/uploads/covers/120/1715080209_36.jpg,https://litnet.com/ru/book/tri-nochi-s-licemerom-ili-stolen-sar-b455857,"Фэнтези, Тёмное фэнтези"
Анна Осокина,Обреченные. Путь в огонь,"Они убили семью ведьмы Ибриен, а теперь ведут на казнь. Они называют себя светоносцами — орденом, который сражается с дьявольскими отродьями.
Однако постепенно мо...",https://rust.litnet.com/uploads/covers/120/1690803041_88.jpg,https://litnet.com/ru/book/tri-nochi-s-licemerom-ili-stolen-sar-b455857,"Фэнтези, Тёмное фэнтези"
Юрий Погуляй,Счастливые земли,"Много веков назад в Кимании были и гордые королевства, и могучие державы. В городах кипела жизнь, а по дорогам шли богатые караваны. Но помнят об этом только Проклят...",https://rust.litnet.com/uploads/covers/120/1684841837_9.jpg,https://litnet.com/ru/book/tri-nochi-s-licemerom-ili-stolen-sar-b455857,"Фэнтези, Тёмное фэнтези"
Нелли Штерн,Волчья луна или ошибка альфы,"В жестоком мире полуночных волков, где выживает сильнейший, любовь не стоит ничего. Князь отринул заветы своей богини, но Верховная не прощает предательства. Гордо...",https://rust.litnet.com/uploads/covers/120/1682948277_62.jpg,https://litnet.com/ru/book/tri-nochi-s-licemerom-ili-stolen-sar-b455857,"Фэнтези, Тёмное фэнтези"
Дарина Вэб,Колдун. Желанная... Игра,"– Некуда больше бежать! Они по всему городу! Ты же слышишь звуки с улицы.
Вампир слушал наш разговор, а улыбка становилась только шире. Он знал что победа за ним, но...",https://rust.litnet.com/uploads/covers/120/1721881796_5.jpg,https://litnet.com/ru/book/tri-nochi-s-licemerom-ili-stolen-sar-b455857,"Фэнтези, Тёмное фэнтези"
Шарлиз Шелдон,Демон твоих грез,"Знала ли шестилетняя девочка Хелена, что подглядывать за демоном в зеркале нельзя? Догадывалась, но не представляла, чем это для нее обернется. Теперь кадры из его ж...",https://rust.litnet.com/uploads/covers/120/1676283359_28.png,https://litnet.com/ru/book/tri-nochi-s-licemerom-ili-stolen-sar-b455857,"Фэнтези, Тёмное фэнтези"
Майя Олав Глакс,Эстер. Город под запретом,"Призрачный мир угасает в Вусмиоре.

Охваченный Тьмой север склонил голову перед вездесущим лордом Орлом, а его верные эпигоны днем и ночью выискивают и карают непо...",https://rust.litnet.com/uploads/covers/120/1673332204_84.jpg,https://litnet.com/ru/book/tri-nochi-s-licemerom-ili-stolen-sar-b455857,"Фэнтези, Тёмное фэнтези"
"Елена Белильщикова, Анна Витор",Волчонок для Избранной,"– Я никому не отдам ни тебя, ни нашу малышку! – Френсис пылко прижимает меня к стене.
– Я тебе не принадлежу! И это… не твой ребенок, – рычу я, отворачиваясь.
– Запом...",https://rust.litnet.com/uploads/covers/120/1671916057_19.jpg,https://litnet.com/ru/book/tri-nochi-s-licemerom-ili-stolen-sar-b455857,"Фэнтези, Тёмное фэнтези"
Кристина Ванг,Замок Камеристки,Церковь Благого Демиурга сжигала на кострах всех неугодных. И более прочих она желала предать священному огню служанку Его Величества. Камеристка стала их опасней...,https://rust.litnet.com/uploads/covers/120/1699367378_35.jpg,https://litnet.com/ru/book/tri-nochi-s-licemerom-ili-stolen-sar-b455857,"Фэнтези, Тёмное фэнтези"
София Андреевич,Сердце пяти миров,"КНИГА 1
Хозяева Шерберы жестоки, и участь рабыни пяти господ незавидна. Тот, кто завладел ее сердцем, даже не называет ее по имени, а те, кто владеет ее телом, превраща...",https://rust.litnet.com/uploads/covers/120/1705236596_80.png,https://litnet.com/ru/book/tri-nochi-s-licemerom-ili-stolen-sar-b455857,"Фэнтези, Тёмное фэнтези"
