author,title,annotation,img_url,book_url,genre
Ольга Обская,"Мне не нужен муж! Что значит, вы настаиваете?!","Может, кто-то не обрадовался бы, узнав, что ему в наследство досталась заброшенная артефакторная лавка с дурной славой, но я была в восторге. Потому что быстро сообр...",https://rust.litnet.com/uploads/covers/120/1612938068_52.jpg,https://litnet.com/ru/book/mne-ne-nuzhen-muzh-chto-znachit-vy-nastaivaete-b314212,"Фэнтези, Юмористическое фэнтези"
"Натали Мед, Хельга Блум",Женить строптивого. Твоё неизбежное счастье,"Его именем пестрят страницы столичных газет. Он – главный дознаватель и сердцеед королевства.
Мне-то что? Я не собиралась замуж, особенно за такого ловеласа, но п...",https://rust.litnet.com/uploads/covers/120/1748898313_12.jpg,https://litnet.com/ru/book/mne-ne-nuzhen-muzh-chto-znachit-vy-nastaivaete-b314212,"Фэнтези, Юмористическое фэнтези"
Анастасия Марс,Умница в академии драконов,"‍❤️‍БЕСПЛАТНО‍❤️‍ОДНОТОМНИК‍❤️‍

Я хотела наказать одного самоуверенного дракона.
Но одна маленькая ошибка – и вот мы уже связаны меткой истинны...",https://rust.litnet.com/uploads/covers/120/1736099824_34.jpg,https://litnet.com/ru/book/mne-ne-nuzhen-muzh-chto-znachit-vy-nastaivaete-b314212,"Фэнтези, Юмористическое фэнтези"
Мария Боталова,Попала в принцессу толстушку? Исправим!,"Я попаданка! И досталось мне тело принцессы. Вот только несуразную, наивную толстушку во дворце ни во что не ставят и даже подруги насмехаются, а слуги жалеют. Жених ...",https://rust.litnet.com/uploads/covers/120/1728715374_39.jpg,https://litnet.com/ru/book/mne-ne-nuzhen-muzh-chto-znachit-vy-nastaivaete-b314212,"Фэнтези, Юмористическое фэнтези"
"Леся Лис, Аса Чертанова",Собственность ведьмы! Руками не трогать!,"Я совершила ошибку. Банальную, глупую и очень обидную ошибку! Перепутав одно слово в заклинании, привязала к себе вместо низшего демона – Высшего… Да не абы кого, а ...",https://rust.litnet.com/uploads/covers/120/1628288390_17.png,https://litnet.com/ru/book/mne-ne-nuzhen-muzh-chto-znachit-vy-nastaivaete-b314212,"Фэнтези, Юмористическое фэнтези"
Татьяна Очер,Жизнь там 7,"Если в этом мире нет ни одного полезного проклятия, то его просто необходимо создать. А еще добраться раньше положенного времени до собственной магии, попутно пр...",https://rust.litnet.com/uploads/covers/120/1746830074_21.jpg,https://litnet.com/ru/book/mne-ne-nuzhen-muzh-chto-znachit-vy-nastaivaete-b314212,"Фэнтези, Юмористическое фэнтези"
Кристина Юраш,"Принца нет, я за него!","Попала в другой мир, влюбилась в собственного кота, отжала целую империю, а список спасенных принцесс уже зашкаливает! 
Юля принца не дождалась. Сдох, видать, где-то!...",https://rust.litnet.com/uploads/covers/120/1708905413_45.jpg,https://litnet.com/ru/book/mne-ne-nuzhen-muzh-chto-znachit-vy-nastaivaete-b314212,"Фэнтези, Юмористическое фэнтези"
"Кармен Луна, Ульяна Соболева",Навязанная жена наглого лорда Дракона,"Василиса, дизайнер с московским характером и шилом в одном месте, погибает при весьма комичной, но трагической ситуации — вешая шторы в офисе, она летит с восьмог...",https://rust.litnet.com/uploads/covers/120/1747862333_78.jpg,https://litnet.com/ru/book/mne-ne-nuzhen-muzh-chto-znachit-vy-nastaivaete-b314212,"Фэнтези, Юмористическое фэнтези"
Анна Нест,"Допрыгалась, или Муж в наследство","Работать в ночном клубе в костюме кролика – не самое достойное занятие, но кто-то должен был кормить маму, младшую сестру и Тузика. Я честно прыгала по сцене, соби...",https://rust.litnet.com/uploads/covers/120/1747308857_96.jpg,https://litnet.com/ru/book/mne-ne-nuzhen-muzh-chto-znachit-vy-nastaivaete-b314212,"Фэнтези, Юмористическое фэнтези"
Натали Лансон,Царевна (не) Удач,"🔥 БЕСПЛАТНО 🔥
Я загремела в Академию Магии совершенно случайно. Во мне нет ничего примечательного – всего лишь нагрубила главе отряда, отлавливающего на Земле...",https://rust.litnet.com/uploads/covers/120/1610816287_55.png,https://litnet.com/ru/book/mne-ne-nuzhen-muzh-chto-znachit-vy-nastaivaete-b314212,"Фэнтези, Юмористическое фэнтези"
Леся Рысёнок,"Как не остаться старой девой, или дело о сорванных свадьбах","— Готовы ли вы взять эту девушку в жены? — спрашивает храмовый служитель, плавным жестом указывая на меня.
Я замираю в волнении. 
“Скажи: “Да”, — молю я про себя, гл...",https://rust.litnet.com/uploads/covers/120/1745713601_23.jpeg,https://litnet.com/ru/book/mne-ne-nuzhen-muzh-chto-znachit-vy-nastaivaete-b314212,"Фэнтези, Юмористическое фэнтези"
Арина Теплова,Самозванка в Небесной академии,"‍❤️‍БЕСПЛАТНО до завершения книги‍❤️
Я Вероника, девица — бунтарь. Тихое замужество за влиятельным герцогом вызывает у меня тоску и брезгливость. Я жажду...",https://rust.litnet.com/uploads/covers/120/1739723497_14.jpg,https://litnet.com/ru/book/mne-ne-nuzhen-muzh-chto-znachit-vy-nastaivaete-b314212,"Фэнтези, Юмористическое фэнтези"
"Дина Нежина, Анна Пфари",Попаданка в сказку. Проклятье красной розы,"Упала со скалы прямо в сказку? Вот это не повезло! Замок проклят? Да, – это беда.
Меня пленило чудовище? Ну, это ему не повезло, а не мне!
Чудовище приручим, замок рас...",https://rust.litnet.com/uploads/covers/120/1745991132_29.jpg,https://litnet.com/ru/book/mne-ne-nuzhen-muzh-chto-znachit-vy-nastaivaete-b314212,"Фэнтези, Юмористическое фэнтези"
Наталья Буланова,Свадебное агентство в наследство,"“Каждой твари по паре”, - так завещала бабуля, даруя мне свадебное агентство. Только не предупредила, что наследство-то с проклятьем, а иметь дело мне придется ...",https://rust.litnet.com/uploads/covers/120/1743278644_21.jpg,https://litnet.com/ru/book/mne-ne-nuzhen-muzh-chto-znachit-vy-nastaivaete-b314212,"Фэнтези, Юмористическое фэнтези"
Светлана Ершова,"Спасите, мой муж идиот!",Доблестного генерала наградили браком с венценосной особой... Банально? А если генерал – симпатичная девушка и презентовали ей наследного принца? Это уже совсем ...,https://rust.litnet.com/uploads/covers/120/1740723790_16.png,https://litnet.com/ru/book/mne-ne-nuzhen-muzh-chto-znachit-vy-nastaivaete-b314212,"Фэнтези, Юмористическое фэнтези"
Анна Митро,"Дракон, выйди вон!","Вместо пенсии и внуков у меня случился инфаркт. И я попала в тело девицы, которую бросил жених, а отец выгнал из дома.
Что делать? Все, что я умею – это учить детей г...",https://rust.litnet.com/uploads/covers/120/1715406232_50.jpg,https://litnet.com/ru/book/mne-ne-nuzhen-muzh-chto-znachit-vy-nastaivaete-b314212,"Фэнтези, Юмористическое фэнтези"
