author,title,annotation,img_url,book_url,genre
Viktoriya Wood,Истинная для мажора,"Эмма вместе с подругой приехала учиться в престижный университет. Она и не подозревала о том, что столкнется там с сумасшедшей главой сестринства, которая объявит ...",https://rust.litnet.com/uploads/covers/120/1590044513_88.jpeg,https://litnet.com/ru/book/istinnaya-dlya-mazhora-b235504,"Молодежная проза, Молодежная мистика"
Янышева Ольга,Медальон Луны,"БЕСПЛАТНО!!!
«Всё началось с моего зачисления в престижный ВУЗ Москвы, имеющий довольно забавную аббревиатуру – МГЛУ… Ой, нет! Всё началось немного раньше, когда н...",https://rust.litnet.com/uploads/covers/120/1691902262_65.png,https://litnet.com/ru/book/istinnaya-dlya-mazhora-b235504,"Молодежная проза, Молодежная мистика"
"Илона Волынская, Кирилл Кащеев",Взломать графа,"В центре Лондона отравлены отец и дочь. Они выжили, но… их счета опустошены, документы на дом пропали – никаких следов, словно они никогда и ничем не владели. Никто ...",https://rust.litnet.com/uploads/covers/120/1616254182_49.jpg,https://litnet.com/ru/book/istinnaya-dlya-mazhora-b235504,"Молодежная проза, Молодежная мистика"
Xeniaa,Бойся меня,"Череда трагических событий буквально ломала ее изнутри, но все изменилось в тот момент, когда они встретились. История простой души и сверхъестественного человека...",https://rust.litnet.com/uploads/covers/120/1605628903_33.jpeg,https://litnet.com/ru/book/istinnaya-dlya-mazhora-b235504,"Молодежная проза, Молодежная мистика"
Екатерина Гераскина,Мой властный дракон,"— Я думала, вы наемный извозчик. А вы… меня похитили.
— Ты моя на сегодня. Я дрался за тебя и победил, ты убегала — я догонял. Так что закон на моей стороне. В...",https://rust.litnet.com/uploads/covers/120/1711006939_19.png,https://litnet.com/ru/book/istinnaya-dlya-mazhora-b235504,"Молодежная проза, Молодежная мистика"
Грачева Татьяна,Босиком за ветром,"Славку не мучают кошмары, наоборот. Она сама плетет их жуткий узор. Дочь ведьмы, наделенная особой способностью - проникать в чужие сны и подсматривать самые сокров...",https://rust.litnet.com/uploads/covers/120/1708547462_89.jpg,https://litnet.com/ru/book/istinnaya-dlya-mazhora-b235504,"Молодежная проза, Молодежная мистика"
"Зелена Крыж (Елена Крыжановская), Мару Мар",Бал-Маскарад. Капкан для принца,"‍❤️‍Вероника всегда гордилась своей рассудительностью, считая, что принцы - не её уровень женихов. Но... Сердцу не прикажешь! Под маской Девы-Незабудки Вероника ...",https://rust.litnet.com/uploads/covers/120/1744385020_83.jpg,https://litnet.com/ru/book/istinnaya-dlya-mazhora-b235504,"Молодежная проза, Молодежная мистика"
Катарина Каррас,Поцелуй полуночи,"ВЫШЛА В ИЗДАТЕЛЬСТВЕ RUGRAM
Вторая книга трилогии

После трагедии мне предоставился шанс раскрыть тайну древних Охотников и узнать больше о нежити. Но разве невозмож...",https://rust.litnet.com/uploads/covers/120/1693692481_56.jpeg,https://litnet.com/ru/book/istinnaya-dlya-mazhora-b235504,"Молодежная проза, Молодежная мистика"
Кира Иствуд,Цепная лисица,"У каждого человека душа зверя. У каждого зверь свой. С ним можно дружить или его можно ненавидеть, но большинство его даже не видят. Чем сильнее душа, тем больше шанс...",https://rust.litnet.com/uploads/covers/120/1679904383_0.jpg,https://litnet.com/ru/book/istinnaya-dlya-mazhora-b235504,"Молодежная проза, Молодежная мистика"
Ася Оболенская,Другая,"В моей жизни всё идет своим чередом.
Мама считает, что мне нужно переделать маникюр, папа - что пора уже взяться за ум и закончить учебу. Даже брат не остается равнод...",https://rust.litnet.com/uploads/covers/120/1485622402_95.jpg,https://litnet.com/ru/book/istinnaya-dlya-mazhora-b235504,"Молодежная проза, Молодежная мистика"
