author,title,annotation,img_url,book_url,genre
Дина Ареева,"Игры мажоров. ""Сотый"" лицей","— Подумаешь, Топольский! — слышу как возмущается мамина подруга. — Восемнадцать лет прошло, Дашка, думаешь, они помнят эту историю? Откупились и живут себе припева...",https://rust.litnet.com/uploads/covers/120/1713211238_28.jpg,https://litnet.com/ru/book/igry-mazhorov-sotyi-licei-b375877,"Молодежная проза, Подростковая проза"
Валерия Ангелос,Девочка для Бешеного,"— Ты моя на 365 дней, — говорит он и подступает вплотную.
— Это шутка? Ты же сам сказал, что не участвовал в отборе.
— А я тебя выбрал, — криво усмехается. — Без всяког...",https://rust.litnet.com/uploads/covers/120/1637241758_64.png,https://litnet.com/ru/book/igry-mazhorov-sotyi-licei-b375877,"Молодежная проза, Подростковая проза"
"Майя Пивоварова, Александра Пивоварова",Грешник против Дьяволицы,"На первый взгляд Оля ─ обыкновенная девушка-подросток, но за хрупкой внешностью скрывается волевой и непоколебимый характер. Став главой ученического совета она ...",https://rust.litnet.com/uploads/covers/120/1744395554_64.png,https://litnet.com/ru/book/igry-mazhorov-sotyi-licei-b375877,"Молодежная проза, Подростковая проза"
Инна Стужева,"Ты влипла, девочка","❤️ БЕСТСЕЛЛЕР ❤️ Я столкнулась с ним поздно вечером, возвращаясь из гостей, и наша встреча закончилась ужасно.

Думала, что больше никогда не увижу этого красивог...",https://rust.litnet.com/uploads/covers/120/1637594681_85.jpg,https://litnet.com/ru/book/igry-mazhorov-sotyi-licei-b375877,"Молодежная проза, Подростковая проза"
"Эля Пылаева, Янка Рам",Она - новенькая,"Новенькая тянет за кончик своей трости, превращая ее в телескопическую как у слепых. Смотрит мимо меня, словно я не существую, поправляя  темные очки.
- Короче, не ...",https://rust.litnet.com/uploads/covers/120/1625067606_73.jpg,https://litnet.com/ru/book/igry-mazhorov-sotyi-licei-b375877,"Молодежная проза, Подростковая проза"
Мария Зайцева,Чужая,"— Ты зачем трогал эту девочку? 

Отец смотрит на меня жестко, давя взглядом. Кто другой бы от этого давления уже к стене отлетел, но я только плечом дергаю. И встречаю...",https://rust.litnet.com/uploads/covers/120/1737966002_23.png,https://litnet.com/ru/book/igry-mazhorov-sotyi-licei-b375877,"Молодежная проза, Подростковая проза"
Рита Навьер,Это лишь игра,"Смотрю в его глаза, зеленые, холодные, насмешливые, а вспоминаю то, что было позавчера. Как он прижимал меня к себе. Как горячо и взволнованно шептал: «Ленка, тольк...",https://rust.litnet.com/uploads/covers/120/1683303631_88.jpg,https://litnet.com/ru/book/igry-mazhorov-sotyi-licei-b375877,"Молодежная проза, Подростковая проза"
Элли Джелли,Я иду искать,"Измена- это тяжелый удар, глубокое, поганое чувство, раздирающее на куски. Говорят, что время лечит, но ничего подобного. Предателей не нужно прощать, их нужно нак...",https://rust.litnet.com/uploads/covers/120/1739874751_30.png,https://litnet.com/ru/book/igry-mazhorov-sotyi-licei-b375877,"Молодежная проза, Подростковая проза"
Даша Коэн,Девочка-война,"РОМАН ВЫШЕЛ НА БУМАГЕ В ИЗДАТЕЛЬСТВЕ ""АСТ"".

Он - Демид  Громов и он не знает, что такое слово ""нет"". Богатый хам, самоуверенный мерзавец и самый отпетый бабник нашего и...",https://rust.litnet.com/uploads/covers/120/1730305739_6.png,https://litnet.com/ru/book/igry-mazhorov-sotyi-licei-b375877,"Молодежная проза, Подростковая проза"
Ники Сью,Навсегда моя,"БЕСТСЕЛЛЕР! 🔥В один прекрасный день, меня привели в новый дом. Я мечтала о семейных посиделках и родных, с которыми смогу делиться сокровенным. На деле же получила ...",https://rust.litnet.com/uploads/covers/120/1722805239_4.png,https://litnet.com/ru/book/igry-mazhorov-sotyi-licei-b375877,"Молодежная проза, Подростковая проза"
Анфиса Рэйса ,Пышка для Сводного,"– Булка, пышечка… – задумчиво повторила я. – А может, лучше “бомбовозка”? Или “бегемотиха”? Не так ли ты называл меня в первые дни знакомства? Н...",https://rust.litnet.com/uploads/covers/120/1740334434_3.jpg,https://litnet.com/ru/book/igry-mazhorov-sotyi-licei-b375877,"Молодежная проза, Подростковая проза"
Мария Высоцкая ,Тихоня и Хулиган. Его запрет,"Он враг, который станет для нее целым миром. Она его запрет, который постоянно хочется нарушить.
‍❤️‍‍❤️‍‍❤️‍
— Совсем долбанутая? Жить надоело?
—...",https://rust.litnet.com/uploads/covers/120/1727236611_48.jpg,https://litnet.com/ru/book/igry-mazhorov-sotyi-licei-b375877,"Молодежная проза, Подростковая проза"
"Эля Пылаева, Янка Рам",Мы - сводные,Мой сводный - хамло и наглый мажор! Только и ищет повод испортить мне жизнь. Он ненавидит мою мать и прицепом меня. А теперь нас еще отправляют вместе в закрытую мажо...,https://rust.litnet.com/uploads/covers/120/1620417236_38.jpg,https://litnet.com/ru/book/igry-mazhorov-sotyi-licei-b375877,"Молодежная проза, Подростковая проза"
Инна Стужева,Мы влипли,"❤️ БУКТРЕЙЛЕР/ Бестселлер/ ❤️Я столкнулась с ним поздно вечером, возвращаясь из гостей, и наша встреча закончилась ужасно. Не знала тогда, что этот красивый, но на...",https://rust.litnet.com/uploads/covers/120/1637605374_9.jpg,https://litnet.com/ru/book/igry-mazhorov-sotyi-licei-b375877,"Молодежная проза, Подростковая проза"
Даша Коэн,"А что, если я тебя люблю?","💓💓💓
— Это было отвратительно!
— О чём ты, малая? О том, как я целовал ту девчонку?
— Именно.
— А что не так? Я что-то делал неп...",https://rust.litnet.com/uploads/covers/120/1713978600_45.jpg,https://litnet.com/ru/book/igry-mazhorov-sotyi-licei-b375877,"Молодежная проза, Подростковая проза"
Инна Стужева,Он бесит,"Бесплатно Она - беззаботная студентка, окруженная поклонниками и уставшая от безликих скучных свиданий, он - единственный, на кого не действуют ее чары. Поспорить с ...",https://rust.litnet.com/uploads/covers/120/1578137658_99.jpg,https://litnet.com/ru/book/igry-mazhorov-sotyi-licei-b375877,"Молодежная проза, Подростковая проза"
Аля Спирит,Его маленькая Кнопка,"Новенький в классе — это всегда событие.
А когда его сажают за одну парту с тобой — катастрофа.

Он: баскетболист, душа компании и золотой мальчик, у которого о...",https://rust.litnet.com/uploads/covers/120/1747593050_6.png,https://litnet.com/ru/book/igry-mazhorov-sotyi-licei-b375877,"Молодежная проза, Подростковая проза"
Рита Навьер,Подонок. Я тебе объявляю войну!,"Я стою перед новыми одноклассниками.
Один из них, брюнет, смерив меня оценивающим взглядом, бросает с небрежной ухмылкой своим дружкам:
– А она ничего, да? Так еще ...",https://rust.litnet.com/uploads/covers/120/1708807423_21.jpg,https://litnet.com/ru/book/igry-mazhorov-sotyi-licei-b375877,"Молодежная проза, Подростковая проза"
