author,title,annotation,img_url,book_url,genre
ЕВА РИЧЧИ,Сводные. Без шанса на дружбу,"‍❤️‍ История Яна Багирова и Катерины Истоминой ‍❤️‍

Моя мама вышла замуж за хорошего мужчину. Вроде бы — счастливая история. Но, как говорится, в кажд...",https://rust.litnet.com/uploads/covers/120/1750021747_14.jpg,https://litnet.com/ru/book/svodnye-bez-shansa-na-druzhbu-b535271,"Молодежная проза, Студенческий роман"
Аля Драгам,В объятиях льда,"Сегодня всё случится. Понимаю это по нетерпеливым касаниям, по сбившемуся дыханию, по прерывистым фразам. Меня пугает напор моего парня, но сердце делает свой выбор...",https://rust.litnet.com/uploads/covers/120/1730185654_27.jpg,https://litnet.com/ru/book/svodnye-bez-shansa-na-druzhbu-b535271,"Молодежная проза, Студенческий роман"
Елена Безрукова,Плохой для хорошей,"— Ты че здесь делаешь, лупоглазая? 
— Учусь, — изогнула она одну бровь.
В блондинку перекрасилась, в аппетитную, блин, блондинку. Это уже не тот смешной рыжик в школе....",https://rust.litnet.com/uploads/covers/120/1685563338_68.jpg,https://litnet.com/ru/book/svodnye-bez-shansa-na-druzhbu-b535271,"Молодежная проза, Студенческий роман"
Инна Стужева,Он бесит,"Бесплатно Она - беззаботная студентка, окруженная поклонниками и уставшая от безликих скучных свиданий, он - единственный, на кого не действуют ее чары. Поспорить с ...",https://rust.litnet.com/uploads/covers/120/1578137658_99.jpg,https://litnet.com/ru/book/svodnye-bez-shansa-na-druzhbu-b535271,"Молодежная проза, Студенческий роман"
Дарина Вэб,Сводные. Укрощение строптивой,"– А сестрёнка-то – огонь! – облизывается Медведь.

– Губу закатай! Увижу, что подкатываешь, огребёшь! – предупреждаю один раз.

Медведь ржёт, а мне не до ш...",https://rust.litnet.com/uploads/covers/120/1748418577_7.jpg,https://litnet.com/ru/book/svodnye-bez-shansa-na-druzhbu-b535271,"Молодежная проза, Студенческий роман"
Мария Зайцева,Элли и Звери,"Они не сводят с меня глаз. Не отпускают. Как тогда, год назад...
Проигранный спор, обернувшийся неожиданно сладкой расплатой.
И теперь они явно хотят... Продолжения. Х...",https://rust.litnet.com/uploads/covers/120/1597507833_90.jpg,https://litnet.com/ru/book/svodnye-bez-shansa-na-druzhbu-b535271,"Молодежная проза, Студенческий роман"
Аделина Дэвис,"Будешь моей, недотрога","Полина - студентка, которая привыкла жить по указке родителей. Гимнастика, тренерство, учеба - она везде должна быть лучшей. Ее жизнь распланирована на годы вперёд. Н...",https://rust.litnet.com/uploads/covers/120/1747058523_35.png,https://litnet.com/ru/book/svodnye-bez-shansa-na-druzhbu-b535271,"Молодежная проза, Студенческий роман"
Мария Зайцева,Их безумие,"Он – самый плохой парень в городе! С ним нельзя связываться таким хорошим девочкам, как Керри. Нельзя. Ни за что.
Но проблема в том, что он не спрашивает ее мнения н...",https://rust.litnet.com/uploads/covers/120/1726758717_71.png,https://litnet.com/ru/book/svodnye-bez-shansa-na-druzhbu-b535271,"Молодежная проза, Студенческий роман"
Мария Зайцева,Дерзкий,"- Смотри, он покраснел! Ага, рожа красная! 
Кто-то из шутников оказывается рядом, подхватывает меня за подбородок, поднимает вверх, чтоб все смогли полюбоваться красн...",https://rust.litnet.com/uploads/covers/120/1746593097_46.jpg,https://litnet.com/ru/book/svodnye-bez-shansa-na-druzhbu-b535271,"Молодежная проза, Студенческий роман"
Asya Qui,Мышка в клетке,"Медленно выпрямляюсь. В ушах шумит кровь. Поднимаю голову и встречаюсь с ним взглядом.

Он обернулся. Случилось то, чего я боялась с момента, как решила вернуться.

Ст...",https://rust.litnet.com/uploads/covers/120/1745693209_76.jpg,https://litnet.com/ru/book/svodnye-bez-shansa-na-druzhbu-b535271,"Молодежная проза, Студенческий роман"
Маша Брежнева,Больше не будем,"Он всегда мечтал об олимпийском «золоте», но никак не о большой любви. Главный красавчик сборной Илья Сазонов был идеалом для женской половины университета и ...",https://rust.litnet.com/uploads/covers/120/1734686154_41.png,https://litnet.com/ru/book/svodnye-bez-shansa-na-druzhbu-b535271,"Молодежная проза, Студенческий роман"
Ольга Шо,Моя на спор. Богдан Яров.,"❤️- Отпусти мою руку, Богдан!
- Не отпущу,пока мы спокойно не поговорим, а это, - он кивнул на видео в мобильном телефоне, - это ничего не значит, малышка, понимаешь?
- По...",https://rust.litnet.com/uploads/covers/120/1676742453_50.jpg,https://litnet.com/ru/book/svodnye-bez-shansa-na-druzhbu-b535271,"Молодежная проза, Студенческий роман"
Мария Зайцева,Радужная пони для Сома,"- Малышка, боишься подойти? Затопчут? - киваю я на буфет, где дерутся из-за сосисок в тесте юристы, - давай я тебя спасу... Что хочешь? Пиццу? Сосиску? Или все вместе?

Девч...",https://rust.litnet.com/uploads/covers/120/1724516238_84.jpg,https://litnet.com/ru/book/svodnye-bez-shansa-na-druzhbu-b535271,"Молодежная проза, Студенческий роман"
Слава Богатых,Блондинка для мажора,"— Куда ты прешь?! Жить надоело?! 

Из шикарной спортивной машины, которая только что облила меня с ног до головы грязью, выскакивает мажор - высокий парень, на...",https://rust.litnet.com/uploads/covers/120/1743101293_87.png,https://litnet.com/ru/book/svodnye-bez-shansa-na-druzhbu-b535271,"Молодежная проза, Студенческий роман"
Виктория Вашингтон,Золото для Ворона,"Мы вынуждены жить в одной квартире.
Родители думают, что никто лучше Артемия Воронова не позаботится об их  единственной дочке в большом городе. 

Становится оче...",https://rust.litnet.com/uploads/covers/120/1672597938_67.jpg,https://litnet.com/ru/book/svodnye-bez-shansa-na-druzhbu-b535271,"Молодежная проза, Студенческий роман"
Шатен Галина,Мы этого не хотели,"АЛЕКСАНДР:

Я вообще этого не хотел.  Думал, мне ничего не будет стоить: завлечь девчонку, задурить её светлую голову, заставить сделать, что нужно, разбить её серд...",https://rust.litnet.com/uploads/covers/120/1748246750_96.png,https://litnet.com/ru/book/svodnye-bez-shansa-na-druzhbu-b535271,"Молодежная проза, Студенческий роман"
"Рая Барская, Аелла Мэл",Спёр? Теперь женись!,"Он – воплощение власти и контроля. Самоуверенный, как бог, и наглый, как чёрт. Тиран университетского мира, привыкший к безоговорочному подчинению. Его слово – зако...",https://rust.litnet.com/uploads/covers/120/1747765353_31.jpg,https://litnet.com/ru/book/svodnye-bez-shansa-na-druzhbu-b535271,"Молодежная проза, Студенческий роман"
Анель Ромазова,Научи меня плохому,"Ариэль:
«С парнями я общаюсь только вирт.»

Да? Почему так? Обидел кто-то? Покажи мне его, и он дышать мгновенно перестанет.

Нептун:
« Могу помочь в обнулении. ...",https://rust.litnet.com/uploads/covers/120/1745975745_52.jpg,https://litnet.com/ru/book/svodnye-bez-shansa-na-druzhbu-b535271,"Молодежная проза, Студенческий роман"
